SA4_CODE_2021,C16_P_AdD_DL_15_19,C16_P_AdD_DL_20_24,C16_P_AdD_DL_25_34,C16_P_AdD_DL_35_44,C16_P_AdD_DL_45_54,C16_P_AdD_DL_55_64,C16_P_AdD_DL_65_74,C16_P_AdD_DL_75_84,C16_P_AdD_DL_85over,C16_P_AdD_DL_Tot,C16_P_CL_C_III_IV_15_19,C16_P_CL_C_III_IV_20_24,C16_P_CL_C_III_IV_25_34,C16_P_CL_C_III_IV_35_44,C16_P_CL_C_III_IV_45_54,C16_P_CL_C_III_IV_55_64,C16_P_CL_C_III_IV_65_74,C16_P_CL_C_III_IV_75_84,C16_P_CL_C_III_IV_85over,C16_P_CL_C_III_IV_Tot,C16_P_CL_C_I_II_15_19,C16_P_CL_C_I_II_20_24,C16_P_CL_C_I_II_25_34,C16_P_CL_C_I_II_35_44,C16_P_CL_C_I_II_45_54,C16_P_CL_C_I_II_55_64,C16_P_CL_C_I_II_65_74,C16_P_CL_C_I_II_75_84,C16_P_CL_C_I_II_85over,C16_P_CL_C_I_II_Tot,C16_P_CL_CL_nfd_15_19,C16_P_CL_CL_nfd_20_24,C16_P_CL_CL_nfd_25_34,C16_P_CL_CL_nfd_35_44,C16_P_CL_CL_nfd_45_54,C16_P_CL_CL_nfd_55_64,C16_P_CL_CL_nfd_65_74,C16_P_CL_CL_nfd_75_84,C16_P_CL_CL_nfd_85over,C16_P_CL_CL_nfd_Tot,C16_P_CL_Tot_15_19,C16_P_CL_Tot_20_24,C16_P_CL_Tot_25_34,C16_P_CL_Tot_35_44,C16_P_CL_Tot_45_54,C16_P_CL_Tot_55_64,C16_P_CL_Tot_65_74,C16_P_CL_Tot_75_84,C16_P_CL_Tot_85over,C16_P_CL_Tot_Tot,C16_P_LE_ID_15_19,C16_P_LE_ID_20_24,C16_P_LE_ID_25_34,C16_P_LE_ID_35_44,C16_P_LE_ID_45_54,C16_P_LE_ID_55_64,C16_P_LE_ID_65_74,C16_P_LE_ID_75_84,C16_P_LE_ID_85over,C16_P_LE_ID_Tot,C16_P_LE_NS_15_19,C16_P_LE_NS_20_24,C16_P_LE_NS_25_34,C16_P_LE_NS_35_44,C16_P_LE_NS_45_54,C16_P_LE_NS_55_64,C16_P_LE_NS_65_74,C16_P_LE_NS_75_84,C16_P_LE_NS_85over,C16_P_LE_NS_Tot,C16_P_Tot_15_19_yrs,C16_P_Tot_20_24_yrs,C16_P_Tot_25_34_yrs,C16_P_Tot_35_44_yrs,C16_P_Tot_45_54_yrs,C16_P_Tot_55_64_yrs,C16_P_Tot_65_74_yrs,C16_P_Tot_75_84_yrs,C16_P_Tot_85over,C16_P_Tot_Tot,C21_P_Post_Deg_15_19_yrs,C21_P_Post_Deg_20_24_yrs,C21_P_Post_Deg_25_34_yrs,C21_P_Post_Deg_35_44_yrs,C21_P_Post_Deg_45_54_yrs,C21_P_Post_Deg_55_64_yrs,C21_P_Post_Deg_65_74_yrs,C21_P_Post_Deg_75_84_yrs,C21_P_Post_Deg_85over,C21_P_Post_Deg_Tot,C21_P_GrDip_GrCe_15_19,C21_P_GrDip_GrCe_20_24,C21_P_GrDip_GrCe_25_34,C21_P_GrDip_GrCe_35_44,C21_P_GrDip_GrCe_45_54,C21_P_GrDip_GrCe_55_64,C21_P_GrDip_GrCe_65_74,C21_P_GrDip_GrCe_75_84,C21_P_GrDip_GrCe_85over,C21_P_GrDip_GrCe_Tot,C21_P_BD_15_19,C21_P_BD_20_24,C21_P_BD_25_34,C21_P_BD_35_44,C21_P_BD_45_54,C21_P_BD_55_64,C21_P_BD_65_74,C21_P_BD_75_84,C21_P_BD_85over,C21_P_BD_Tot,C21_P_AdD_DL_15_19,C21_P_AdD_DL_20_24,C21_P_AdD_DL_25_34,C21_P_AdD_DL_35_44,C21_P_AdD_DL_45_54,C21_P_AdD_DL_55_64,C21_P_AdD_DL_65_74,C21_P_AdD_DL_75_84,C21_P_AdD_DL_85over,C21_P_AdD_DL_Tot,C21_P_CL_C_III_IV_15_19,C21_P_CL_C_III_IV_20_24,C21_P_CL_C_III_IV_25_34,C21_P_CL_C_III_IV_35_44,C21_P_CL_C_III_IV_45_54,C21_P_CL_C_III_IV_55_64,C21_P_CL_C_III_IV_65_74,C21_P_CL_C_III_IV_75_84,C21_P_CL_C_III_IV_85over,C21_P_CL_C_III_IV_Tot,C21_P_CL_C_I_II_15_19,C21_P_CL_C_I_II_20_24,C21_P_CL_C_I_II_25_34,C21_P_CL_C_I_II_35_44,C21_P_CL_C_I_II_45_54,C21_P_CL_C_I_II_55_64,C21_P_CL_C_I_II_65_74,C21_P_CL_C_I_II_75_84,C21_P_CL_C_I_II_85over,C21_P_CL_C_I_II_Tot,C21_P_CL_CL_nfd_15_19,C21_P_CL_CL_nfd_20_24,C21_P_CL_CL_nfd_25_34,C21_P_CL_CL_nfd_35_44,C21_P_CL_CL_nfd_45_54,C21_P_CL_CL_nfd_55_64,C21_P_CL_CL_nfd_65_74,C21_P_CL_CL_nfd_75_84,C21_P_CL_CL_nfd_85over,C21_P_CL_CL_nfd_Tot,C21_P_CL_Tot_15_19,C21_P_CL_Tot_20_24,C21_P_CL_Tot_25_34,C21_P_CL_Tot_35_44,C21_P_CL_Tot_45_54,C21_P_CL_Tot_55_64,C21_P_CL_Tot_65_74,C21_P_CL_Tot_75_84,C21_P_CL_Tot_85over,C21_P_CL_Tot_Tot,C21_P_LE_ID_15_19,C21_P_LE_ID_20_24,C21_P_LE_ID_25_34,C21_P_LE_ID_35_44,C21_P_LE_ID_45_54,C21_P_LE_ID_55_64,C21_P_LE_ID_65_74,C21_P_LE_ID_75_84,C21_P_LE_ID_85over,C21_P_LE_ID_Tot,C21_P_LE_NS_15_19,C21_P_LE_NS_20_24,C21_P_LE_NS_25_34,C21_P_LE_NS_35_44,C21_P_LE_NS_45_54,C21_P_LE_NS_55_64,C21_P_LE_NS_65_74,C21_P_LE_NS_75_84,C21_P_LE_NS_85over,C21_P_LE_NS_Tot,C21_P_Tot_15_19_yrs,C21_P_Tot_20_24_yrs,C21_P_Tot_25_34_yrs,C21_P_Tot_35_44_yrs,C21_P_Tot_45_54_yrs,C21_P_Tot_55_64_yrs,C21_P_Tot_65_74_yrs,C21_P_Tot_75_84_yrs,C21_P_Tot_85over,C21_P_Tot_Tot
501,59,365,1625,2124,2482,2406,1538,538,146,11290,693,2321,5839,6145,5974,4696,2727,1002,251,29648,414,385,460,390,322,248,118,24,7,2362,74,171,389,588,659,656,494,155,42,3219,1178,2874,6687,7114,6950,5604,3344,1182,301,35229,15,31,145,151,156,171,195,103,34,1001,1215,730,1924,2127,2375,2512,2412,1763,893,15953,2473,4448,13795,16131,15600,13851,9342,4226,1495,81360,0,25,456,743,687,571,502,185,22,3197,6,24,334,616,676,604,415,113,16,2808,0,424,2992,4095,3576,2752,2164,821,200,17015,54,283,1582,2425,2655,2771,2204,893,207,13078,944,2385,6316,6971,6601,5948,3918,1425,310,34820,602,619,606,413,365,306,210,67,18,3205,71,112,259,441,627,663,550,236,44,3005,1618,3123,7174,7824,7590,6913,4684,1731,372,41031,13,33,107,157,155,186,241,140,35,1060,775,590,1688,1944,2138,2086,2109,1576,823,13730,2462,4501,14335,17803,17478,15883,12322,5457,1669,91922
502,68,278,862,1101,1403,1234,1008,470,98,6526,373,1328,3089,2915,3148,2650,2002,1103,260,16864,194,188,233,172,144,121,78,31,6,1160,38,96,234,318,309,361,347,140,42,1884,609,1605,3563,3403,3597,3138,2420,1264,307,19903,13,23,46,85,107,95,153,94,20,623,467,390,883,953,1115,1234,1477,1257,608,8379,1157,2617,6883,7411,7811,6965,5956,3473,1139,43409,0,19,187,341,334,304,224,80,15,1505,6,20,154,228,297,273,219,72,19,1276,0,346,1336,1567,1432,1158,1063,459,94,7454,42,271,932,1318,1505,1654,1358,649,153,7875,499,1307,3442,3383,3504,3477,2686,1343,316,19957,310,340,290,209,153,169,149,52,10,1677,54,69,170,245,299,345,341,218,61,1794,856,1714,3898,3841,3961,3995,3170,1616,383,23430,17,16,56,88,80,123,165,133,36,716,373,423,913,1054,1105,1078,1266,1235,757,8204,1297,2812,7478,8445,8709,8575,7455,4238,1441,50461
503,88,836,2546,2006,2317,2173,1596,816,304,12686,201,973,2711,1596,1711,1424,903,502,188,10207,119,141,142,123,109,92,76,29,23,849,21,106,280,310,361,358,312,153,69,1967,337,1224,3133,2029,2177,1881,1291,686,272,13032,30,77,267,183,191,189,200,102,68,1310,643,1264,3765,2067,1835,1747,1550,1283,928,15082,1127,7591,27641,20123,18319,14603,9491,4706,2162,105767,0,387,5440,5385,4240,3044,2015,826,223,21570,3,101,1221,1353,1465,1180,782,283,54,6439,10,3953,12909,10495,8557,6310,4441,1938,618,49237,75,904,2299,2328,2305,2434,1934,1126,407,13821,462,1138,2525,1945,1698,1678,1102,555,237,11352,288,229,194,135,101,119,79,51,17,1207,41,79,186,228,366,392,374,220,105,1999,793,1446,2905,2314,2163,2194,1557,829,355,14556,24,77,239,226,205,174,227,180,81,1439,348,853,2441,1652,1295,1243,1259,1059,752,10916,1253,7734,27456,23756,20224,16578,12227,6241,2498,117968
504,154,1083,4043,4208,3811,2934,1624,592,146,18591,767,3285,8396,6949,6968,5466,3066,1261,282,36441,422,410,573,420,358,237,118,39,8,2587,75,224,634,790,875,720,497,195,49,4061,1261,3922,9608,8159,8198,6430,3681,1490,345,43092,29,89,334,287,292,287,215,103,40,1669,1190,1531,3731,3324,3086,2555,2281,1755,1160,20617,2661,8703,28603,25562,21883,16520,10037,4605,1832,120403,0,152,2364,3018,1686,1125,667,227,30,9274,0,90,984,1248,1094,825,420,139,22,4831,11,1998,9227,8900,5870,3640,2417,854,170,33085,92,1131,4118,4827,4321,3551,2288,941,193,21462,1071,3302,9681,8411,7482,6533,3998,1612,372,42467,669,761,741,547,436,298,202,59,11,3732,111,210,472,703,842,868,603,274,74,4146,1860,4273,10890,9663,8762,7700,4801,1949,455,50346,26,98,243,347,267,289,254,169,53,1752,755,967,2788,2590,2329,2066,1657,1455,879,15486,2750,8714,30618,30586,24324,19194,12505,5738,1806,136230
505,368,2318,8743,9534,9314,6901,4103,1568,421,43258,1596,6136,16777,14119,14255,10464,6039,2827,713,72924,746,665,1041,866,715,510,271,94,30,4937,148,463,1288,1775,1943,1643,1170,498,178,9112,2494,7261,19109,16768,16915,12616,7478,3414,925,86975,63,202,765,726,705,635,553,294,97,4049,2147,2242,6117,5189,4984,4400,3992,3376,2282,34747,5111,17933,61769,57481,49778,35878,21905,10532,4175,264560,0,424,5670,7233,4943,3040,1672,568,109,23662,11,209,2334,3081,2812,2074,1140,333,52,12046,24,5555,21372,22332,15851,9763,6223,2383,539,84047,235,2421,8171,10299,10411,8464,5807,2379,620,48810,2215,5987,16736,15921,14609,12890,8096,3498,944,80907,1284,1311,1136,915,767,657,463,161,25,6709,218,419,899,1415,1941,1732,1359,711,222,8931,3716,7716,18774,18245,17320,15279,9921,4369,1195,96546,65,175,543,723,720,562,664,422,147,4016,1312,1898,5255,5088,4436,3735,3319,2953,2026,30012,5355,18404,62131,67005,56495,42921,28743,13407,4687,299140
506,362,2663,8327,7461,6681,5489,3259,1258,339,35839,1466,6074,14640,11686,11290,9204,5593,2416,655,63035,781,810,1001,747,598,447,249,61,18,4708,157,434,1135,1445,1502,1323,924,425,135,7487,2403,7311,16777,13874,13397,10974,6767,2905,811,75227,60,243,701,618,545,490,479,251,94,3484,2086,2929,7025,5503,4810,4487,4022,3438,2413,36721,4948,19053,61837,50169,39616,30714,19370,9470,4021,239189,4,468,7341,8879,4721,2743,1545,539,78,26315,9,222,1910,2406,1978,1529,926,273,27,9295,14,5468,21226,20960,12577,7687,5105,1906,470,75407,239,2742,7978,9200,7642,6331,4327,1896,463,40814,2092,6278,15133,13925,12028,10422,7028,2960,780,70645,1366,1566,1248,853,679,538,335,140,21,6748,167,362,815,1109,1402,1331,1084,522,177,6967,3627,8212,17200,15890,14107,12291,8442,3618,976,84363,54,197,579,657,579,504,531,345,114,3564,1493,2300,5900,5284,4289,3726,3205,2898,2125,31217,5448,19613,62135,63278,45892,34798,24081,11477,4257,270971
507,259,1699,5554,6505,6486,4990,2854,1138,354,29834,1280,5194,12903,11216,11126,7868,4531,2206,614,56937,631,688,904,629,526,395,210,57,29,4063,165,351,952,1256,1383,1143,873,403,148,6670,2076,6232,14762,13102,13031,9405,5610,2662,787,67669,40,124,426,502,525,505,405,201,92,2817,1888,2284,5435,4607,4443,3848,3421,3179,2108,31211,4295,14290,44225,42605,37883,28011,17017,8757,3783,200872,0,246,3720,5558,4042,2860,1768,580,107,18885,3,141,1678,2239,2095,1713,987,279,55,9190,11,3878,14912,15961,11480,7432,4987,1916,464,61034,186,1593,5474,7385,7464,6087,4167,1707,499,34559,1810,5239,14189,13042,11974,10095,5894,2683,739,65653,1190,1257,1133,765,633,533,319,115,25,5971,159,322,668,1008,1366,1355,1041,502,162,6572,3158,6812,15990,14810,13965,11976,7253,3302,925,78202,62,134,350,497,480,489,468,318,121,2923,1203,1693,4222,4148,3704,3178,2849,2445,1786,25227,4620,14502,46341,50597,43232,33728,22488,10559,3951,230021
509,50,234,954,1327,1762,1920,1267,447,116,8069,451,1506,3684,3451,3862,3687,2210,812,183,19852,307,251,354,258,226,207,112,36,3,1752,64,135,242,419,447,533,378,130,42,2386,823,1889,4281,4130,4541,4421,2698,974,231,23991,8,31,83,97,124,147,154,98,24,780,915,722,1859,1883,2289,2556,2380,1607,756,14967,1802,3247,9430,10085,11109,11302,7884,3588,1227,59675,0,29,288,390,365,412,339,127,16,1969,0,25,230,318,377,391,305,69,8,1738,0,385,1897,2319,2111,1835,1392,560,123,10617,21,202,917,1354,1714,2047,1675,721,142,8791,532,1382,3905,3745,3869,4092,2806,1010,241,21589,377,408,379,295,277,259,163,40,8,2222,40,62,155,224,384,484,441,161,51,2003,956,1852,4446,4276,4529,4837,3411,1217,287,25812,11,18,69,98,114,128,178,99,36,745,790,658,1619,1741,2129,2360,2292,1622,746,13952,1775,3162,9465,10499,11341,12008,9599,4413,1362,63631
510,19,196,1368,1419,1126,705,176,26,3,5041,209,1182,5353,4235,3238,1866,406,82,5,16575,128,221,422,261,160,83,13,0,0,1290,28,84,319,340,280,183,42,6,0,1277,361,1479,6099,4828,3676,2127,461,90,11,19137,4,24,95,86,72,50,18,3,0,347,940,1101,3904,3102,2664,1696,619,183,58,14270,1334,3206,14817,12124,9069,5546,1532,327,81,48038,0,20,526,511,287,209,71,13,0,1640,0,22,318,342,240,155,54,5,0,1139,0,359,2451,1995,1163,670,228,49,4,6925,12,149,1053,1383,1030,769,255,40,5,4698,205,935,4006,3971,2829,1772,529,104,6,14362,194,265,354,286,148,103,23,0,0,1370,26,59,179,227,210,160,61,13,0,941,421,1253,4541,4486,3189,2040,613,122,6,16666,3,20,64,65,55,47,14,3,0,291,880,1058,3440,3033,2476,1853,717,234,64,13757,1317,2895,12393,11818,8456,5744,1952,465,84,45117
511,33,263,1120,1355,1375,1185,559,209,35,6132,391,1610,4297,3676,3835,2888,1384,453,93,18618,245,280,358,263,232,168,77,25,0,1650,43,114,287,389,356,361,211,91,20,1875,674,2009,4941,4327,4421,3421,1677,568,107,22149,12,27,74,93,91,115,83,41,11,540,1011,929,2444,2202,2360,2102,1576,930,371,13928,1734,3655,11321,10491,10160,8095,4481,1910,564,52414,0,44,442,502,353,245,130,31,4,1744,0,23,251,303,306,242,131,27,7,1300,0,447,2186,2017,1621,1042,592,232,43,8186,23,215,1001,1327,1371,1300,804,262,67,6380,392,1446,4318,3924,3800,3292,1820,619,109,19728,307,458,422,282,231,180,96,30,0,2013,31,79,176,233,297,290,208,82,20,1429,729,1987,4921,4439,4330,3766,2126,735,136,23165,8,30,69,65,101,91,73,59,21,520,871,1069,2465,2377,2359,2195,1646,1060,444,14491,1635,3812,11338,11030,10451,8886,5508,2404,724,55784
