SA4_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
501,4544,8957,374,417,788,5654,6000,11650,576,1168,1745,856,981,1837,164,234,399,1596,2383,3986,4771,5113,9884,81396,84777,166175,7099,5588,12682,93266,95478,188747
502,3648,7147,265,313,574,4503,4749,9248,443,772,1216,736,784,1518,125,236,366,1304,1792,3095,3444,3616,7062,44945,48985,93925,3592,3055,6648,51981,55656,107641
503,3796,7360,281,274,548,4445,4926,9364,658,1479,2129,840,1053,1900,146,237,387,1644,2769,4406,2858,3888,6743,81952,84052,166007,5213,4301,9519,90023,92241,182267
504,4616,9019,346,358,701,5767,6469,12238,708,1503,2215,834,959,1797,185,297,481,1727,2759,4488,6266,7015,13284,122367,125029,247390,9470,6433,15905,138103,138477,276573
505,11195,21148,607,746,1353,12571,15092,27668,1707,3579,5289,2124,2664,4790,329,515,842,4160,6758,10928,11604,14105,25711,257468,268486,525954,13993,11645,25636,283065,294236,577297
506,8930,17185,600,817,1412,10793,12436,23222,1357,2729,4087,1762,2158,3922,421,727,1145,3540,5614,9154,11099,12587,23685,236866,239650,476522,16177,13081,29260,264142,265318,529466
507,8306,16043,570,655,1223,10034,11332,21356,1352,2759,4118,1717,2016,3728,348,561,908,3417,5336,8752,9853,11357,21210,194443,204228,398679,13567,9954,23520,217863,225539,443407
509,3563,7276,417,416,829,4893,4841,9724,471,850,1327,801,866,1671,143,171,310,1415,1887,3308,3627,3976,7603,58659,57922,116576,7331,5667,12994,69617,67565,137175
510,243,552,86,76,164,505,443,949,35,61,97,38,20,58,14,29,48,87,110,204,966,926,1894,37921,34620,72541,9233,6456,15688,48120,42002,90128
511,1924,3942,341,272,618,2811,2724,5542,275,497,772,376,389,772,83,129,213,734,1015,1749,2471,2563,5036,50308,48145,98450,8800,6470,15273,61579,57178,118758
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,38,297,196,25,218,456,63,514
599,21,86,47,16,63,111,41,155,5,5,8,4,0,4,10,12,15,19,17,30,135,107,236,2288,2040,4327,2222,1277,3492,4645,3424,8055
