SA4_CODE_2021,Afghanistan_C11_M,Afghanistan_C11_F,Afghanistan_C11_P,Afghanistan_C16_M,Afghanistan_C16_F,Afghanistan_C16_P,Afghanistan_C21_M,Afghanistan_C21_F,Afghanistan_C21_P,Aust_C11_M,Aust_C11_F,Aust_C11_P,Aust_C16_M,Aust_C16_F,Aust_C16_P,Aust_C21_M,Aust_C21_F,Aust_C21_P,Bangladesh_C11_M,Bangladesh_C11_F,Bangladesh_C11_P,Bangladesh_C16_M,Bangladesh_C16_F,Bangladesh_C16_P,Bangladesh_C21_M,Bangladesh_C21_F,Bangladesh_C21_P,Canada_C11_M,Canada_C11_F,Canada_C11_P,Canada_C16_M,Canada_C16_F,Canada_C16_P,Canada_C21_M,Canada_C21_F,Canada_C21_P,China_C11_M,China_C11_F,China_C11_P,China_C16_M,China_C16_F,China_C16_P,China_C21_M,China_C21_F,China_C21_P,Croatia_C11_M,Croatia_C11_F,Croatia_C11_P,Croatia_C16_M,Croatia_C16_F,Croatia_C16_P,Croatia_C21_M,Croatia_C21_F,Croatia_C21_P,Egypt_C11_M,Egypt_C11_F,Egypt_C11_P,Egypt_C16_M,Egypt_C16_F,Egypt_C16_P,Egypt_C21_M,Egypt_C21_F,Egypt_C21_P,Fiji_C11_M,Fiji_C11_F,Fiji_C11_P,Fiji_C16_M,Fiji_C16_F,Fiji_C16_P,Fiji_C21_M,Fiji_C21_F,Fiji_C21_P,Germany_C11_M,Germany_C11_F,Germany_C11_P,Germany_C16_M,Germany_C16_F,Germany_C16_P,Germany_C21_M,Germany_C21_F,Germany_C21_P,Greece_C11_M,Greece_C11_F,Greece_C11_P,Greece_C16_M,Greece_C16_F,Greece_C16_P,Greece_C21_M,Greece_C21_F,Greece_C21_P,Hong_Kong_C11_M,Hong_Kong_C11_F,Hong_Kong_C11_P,Hong_Kong_C16_M,Hong_Kong_C16_F,Hong_Kong_C16_P,Hong_Kong_C21_M,Hong_Kong_C21_F,Hong_Kong_C21_P,India_C11_M,India_C11_F,India_C11_P,India_C16_M,India_C16_F,India_C16_P,India_C21_M,India_C21_F,India_C21_P,Indonesia_C11_M,Indonesia_C11_F,Indonesia_C11_P,Indonesia_C16_M,Indonesia_C16_F,Indonesia_C16_P,Indonesia_C21_M,Indonesia_C21_F,Indonesia_C21_P,Iran_C11_Cens_M,Iran_C11_Cens_F,Iran_C11_Cens_P,Iran_C16_Cens_M,Iran_C16_Cens_F,Iran_C16_Cens_P,Iran_C21_Cens_M,Iran_C21_Cens_F,Iran_C21_Cens_P,Iraq_C11_M,Iraq_C11_F,Iraq_C11_P,Iraq_C16_M,Iraq_C16_F,Iraq_C16_P,Iraq_C21_M,Iraq_C21_F,Iraq_C21_P,Ireland_C11_M,Ireland_C11_F,Ireland_C11_P,Ireland_C16_M,Ireland_C16_F,Ireland_C16_P,Ireland_C21_M,Ireland_C21_F,Ireland_C21_P,Italy_C11_M,Italy_C11_F,Italy_C11_P,Italy_C16_M,Italy_C16_F,Italy_C16_P,Italy_C21_M,Italy_C21_F,Italy_C21_P,Japan_C11_M,Japan_C11_F,Japan_C11_P,Japan_C16_M,Japan_C16_F,Japan_C16_P,Japan_C21_M,Japan_C21_F,Japan_C21_P,Korea_C11_M,Korea_C11_F,Korea_C11_P,Korea_C16_M,Korea_C16_F,Korea_C16_P,Korea_C21_M,Korea_C21_F,Korea_C21_P,Lebanon_C11_M,Lebanon_C11_F,Lebanon_C11_P,Lebanon_C16_M,Lebanon_C16_F,Lebanon_C16_P,Lebanon_C21_M,Lebanon_C21_F,Lebanon_C21_P,Malaysia_C11_M,Malaysia_C11_F,Malaysia_C11_P,Malaysia_C16_M,Malaysia_C16_F,Malaysia_C16_P,Malaysia_C21_M,Malaysia_C21_F,Malaysia_C21_P,Nepal_C11_M,Nepal_C11_F,Nepal_C11_P,Nepal_C16_M,Nepal_C16_F,Nepal_C16_P,Nepal_C21_M,Nepal_C21_F,Nepal_C21_P,Netherlands_C11_M,Netherlands_C11_F
501,50,28,78,75,39,110,86,35,124,59861,60168,120023,63840,64755,128593,69634,70872,140508,17,13,31,29,26,59,20,19,47,107,135,242,119,165,284,170,245,412,75,95,174,111,171,288,139,228,368,40,22,61,31,24,53,29,19,50,17,3,22,23,8,34,29,19,48,19,25,45,18,23,43,45,31,72,327,414,743,339,436,783,362,527,886,32,28,57,28,25,56,27,25,54,29,40,75,40,49,94,36,61,106,256,201,454,392,357,749,481,411,892,51,110,159,73,154,224,85,209,300,15,12,26,33,27,59,32,22,56,17,16,33,29,26,53,27,24,49,268,262,527,316,334,648,352,358,717,508,440,945,508,431,939,472,391,863,35,62,96,40,101,139,47,117,162,129,57,185,172,123,295,101,115,214,30,16,43,21,17,34,25,22,48,94,125,220,111,156,260,148,208,359,4,4,12,22,18,44,42,41,80,322,315
502,4,6,5,9,6,12,9,9,19,28242,29443,57685,31604,32902,64505,35488,37662,73150,7,0,13,13,16,33,9,10,23,73,78,149,84,96,173,93,119,216,43,67,109,62,125,189,57,153,212,30,21,47,31,26,58,27,29,55,16,12,26,23,16,36,17,11,32,7,9,20,14,21,36,21,26,48,159,197,354,160,231,389,181,242,427,12,12,29,9,13,25,17,16,32,16,26,43,24,35,61,24,36,57,203,169,368,311,292,608,351,332,689,36,70,106,50,130,181,74,221,298,14,12,20,54,48,103,31,34,69,0,0,3,4,0,3,8,4,10,158,158,317,260,246,502,260,235,492,152,82,237,165,89,259,154,101,253,8,32,43,7,44,50,14,52,68,18,24,36,44,54,97,32,45,75,0,0,4,0,0,5,5,0,6,71,116,183,92,130,225,102,150,259,3,0,10,18,15,37,26,23,53,252,252
503,20,9,31,35,20,57,42,15,51,43938,45836,89780,46789,48026,94811,53311,54198,107511,122,90,216,120,88,205,97,63,162,405,469,875,394,461,855,413,538,958,870,1061,1934,1621,1850,3469,1756,2327,4079,116,115,227,103,136,236,111,140,252,90,70,153,77,67,145,99,81,182,37,46,90,36,51,87,38,35,76,437,520,961,429,511,946,425,533,956,215,252,466,161,215,373,147,182,333,382,402,786,439,524,967,474,545,1025,1552,1212,2762,1659,1474,3136,1828,1649,3474,302,519,819,327,537,863,430,745,1176,232,220,449,362,327,686,402,382,782,54,23,77,83,44,128,59,22,81,1261,1008,2266,1020,951,1972,987,921,1913,957,1002,1956,1046,1005,2055,911,878,1794,284,492,779,391,625,1015,436,683,1117,329,388,720,535,605,1140,343,477,811,30,28,59,30,25,60,43,34,72,1249,1444,2690,1272,1586,2859,1356,1809,3170,178,104,286,231,169,400,285,298,584,347,359
504,218,129,347,440,217,658,496,352,843,69552,69231,138785,76563,75273,151833,87146,86004,173150,101,80,179,131,110,234,125,109,230,173,193,366,201,212,411,237,261,501,678,794,1475,931,1273,2200,916,1358,2271,396,407,803,346,356,703,311,339,643,91,75,168,104,98,203,120,95,216,46,56,99,59,78,130,63,74,138,568,611,1179,560,586,1147,561,634,1197,165,155,314,154,157,313,140,153,296,202,232,439,271,318,592,278,347,623,2304,1976,4282,3755,3480,7233,4570,4319,8893,188,335,525,239,463,703,302,595,897,183,141,317,300,235,534,352,310,661,292,233,524,345,297,637,413,377,794,617,498,1112,905,773,1682,944,782,1726,1465,1299,2761,1390,1239,2628,1247,1161,2413,75,228,304,94,280,373,95,311,407,110,134,239,149,199,346,155,251,406,58,46,103,69,56,124,65,57,127,886,1085,1973,1012,1256,2271,1111,1354,2467,65,47,110,157,149,306,256,255,511,517,493
505,526,430,951,865,520,1384,696,558,1250,135496,140470,275960,145658,149700,295363,163502,167855,331349,119,93,209,144,136,283,153,131,290,544,664,1206,596,739,1329,645,835,1475,1321,1591,2906,1962,2544,4510,1985,2891,4881,675,666,1339,583,610,1201,583,630,1218,392,398,791,452,438,894,482,493,976,79,83,162,86,99,186,103,112,218,1199,1375,2580,1154,1397,2553,1177,1467,2643,633,671,1299,544,550,1097,499,519,1013,501,538,1039,607,651,1260,611,720,1328,3509,3027,6533,5423,4816,10233,6091,5617,11706,425,787,1216,459,930,1389,555,1208,1773,562,527,1093,895,840,1736,1029,1011,2035,563,479,1041,672,571,1244,726,660,1383,2408,2217,4621,3360,3098,6459,3543,3363,6907,2926,2746,5673,2915,2690,5604,2840,2703,5552,222,582,806,266,717,978,295,840,1135,175,279,450,324,443,763,331,487,816,131,119,248,128,113,243,147,135,285,1721,2149,3869,2078,2485,4564,2288,2859,5150,54,51,104,186,159,346,297,261,563,909,946
506,785,574,1358,1751,851,2598,1800,1342,3133,124435,125393,249827,132758,131299,264062,148433,146743,295176,356,316,664,703,626,1329,831,785,1613,432,439,868,406,437,848,427,513,933,3246,3736,6980,5514,6104,11622,5148,6260,11409,264,259,517,231,210,446,223,213,434,178,169,346,270,240,512,357,285,649,114,124,235,134,153,288,150,181,329,935,1019,1950,862,951,1808,848,937,1788,110,109,218,102,105,202,90,100,189,706,638,1347,956,946,1904,983,1067,2047,6056,4943,10998,10480,9191,19671,13716,12552,26269,2032,2395,4427,2172,2819,4987,2403,3378,5782,532,407,940,872,687,1557,840,711,1551,417,369,789,567,518,1080,547,499,1049,1347,1111,2455,1648,1444,3092,1434,1281,2715,1621,1510,3133,1600,1474,3072,1469,1338,2804,220,569,791,240,619,859,248,697,942,705,777,1489,1426,1388,2816,1246,1437,2684,217,179,392,252,185,438,271,221,493,5061,5900,10966,6109,7061,13168,6593,7752,14347,168,138,302,635,518,1154,1119,1008,2129,1226,1230
507,40,25,59,48,29,83,56,35,91,108617,112394,221010,119774,122950,242723,137381,140795,278175,67,59,130,147,137,282,194,164,356,430,497,927,431,571,1004,503,701,1201,1062,1197,2254,1759,2166,3923,1826,2551,4376,971,935,1911,840,823,1663,846,851,1696,125,148,263,151,132,279,181,151,332,77,95,178,121,140,263,130,136,264,761,961,1715,820,1015,1837,896,1145,2047,90,90,180,80,90,163,77,75,156,428,477,900,498,557,1057,548,636,1186,1643,1569,3217,3039,2746,5789,3678,3522,7200,965,1345,2307,975,1467,2443,1203,1904,3112,298,278,577,498,481,978,564,556,1124,45,43,90,113,113,229,112,108,215,946,916,1860,1261,1147,2407,1379,1277,2656,2046,1921,3964,1974,1871,3844,1891,1823,3715,171,402,568,198,487,677,172,543,709,355,385,738,554,590,1148,588,655,1244,77,75,147,83,88,174,81,92,172,2034,2446,4483,2349,2785,5136,2646,3234,5880,34,24,62,121,120,241,177,203,377,768,737
509,61,39,96,157,39,197,96,43,140,51082,49215,100298,50538,48050,98586,51111,49037,100151,3,5,11,37,8,50,15,9,24,73,119,195,83,111,192,107,147,249,172,112,279,180,98,274,71,113,180,22,25,49,21,29,46,22,16,39,12,3,19,20,18,41,26,11,32,7,11,19,14,10,26,57,8,73,290,386,676,295,399,697,270,424,696,26,10,30,27,9,33,17,6,23,24,26,48,30,26,58,28,26,51,127,145,272,260,241,497,251,222,471,140,73,220,50,111,165,45,142,189,6,8,11,66,14,77,41,13,57,4,6,5,18,6,25,22,8,26,152,136,286,164,173,331,169,175,343,231,177,410,229,151,380,217,156,367,22,30,48,16,25,46,20,44,70,23,22,49,23,15,38,18,28,39,3,0,7,10,3,14,11,3,18,78,92,170,104,111,209,129,103,233,3,3,5,9,14,24,20,14,37,394,375
510,978,0,978,3,4,6,12,4,19,35290,28441,63740,34925,28487,63411,31830,28704,60535,11,5,16,37,22,65,23,12,34,72,60,128,61,80,139,44,88,130,295,65,351,178,114,286,155,182,338,49,24,73,39,18,58,31,15,44,17,0,18,25,0,24,18,3,22,29,28,58,54,33,89,67,42,109,158,135,295,155,145,296,113,130,244,14,6,17,9,5,17,11,8,19,28,23,52,31,44,75,22,33,51,320,182,503,458,279,739,417,312,726,89,88,178,101,148,253,98,183,287,188,3,193,32,5,37,15,14,32,26,4,27,9,0,12,10,3,11,258,116,377,344,158,498,209,151,360,57,27,84,88,39,126,70,54,125,23,47,72,29,61,88,6,44,51,74,62,135,87,56,144,28,26,56,9,6,18,10,4,18,11,3,17,124,103,225,132,103,232,82,100,184,5,0,13,27,15,40,43,23,66,98,66
511,5,6,12,19,5,21,18,10,33,46553,43395,89948,44090,41176,85263,43483,40686,84169,17,14,29,22,13,33,23,12,29,76,101,174,69,105,172,59,118,177,107,83,190,161,113,278,133,133,272,62,40,110,47,48,91,42,41,80,19,15,32,20,15,35,23,16,35,72,63,136,104,76,178,65,85,149,188,250,434,199,260,453,181,253,436,18,9,34,22,14,35,12,10,25,13,18,35,26,22,48,23,23,46,287,203,486,369,326,692,410,316,728,75,101,172,62,102,163,75,162,236,50,31,86,31,15,47,39,24,64,4,3,11,3,4,10,8,6,16,206,133,337,201,189,387,151,141,290,152,141,292,139,130,270,124,118,244,11,27,43,14,28,48,10,37,47,23,19,42,30,28,58,32,38,66,3,0,6,6,0,8,3,3,10,84,72,156,79,91,170,107,117,223,8,8,16,16,8,30,34,28,56,189,150
597,0,0,0,0,0,0,0,0,0,212,22,235,182,13,191,131,24,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,0,4,0,0,0,14,0,14,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,3,0,3,0,0,0,11,13,25,2433,1803,4238,2137,1377,3512,2708,2061,4775,0,0,0,0,0,0,0,0,0,17,13,25,8,16,23,9,13,24,11,17,34,20,26,46,9,8,19,3,0,5,0,0,0,7,0,6,4,0,4,7,0,7,4,0,0,0,0,3,0,0,0,0,0,0,34,40,82,27,27,52,29,18,46,3,0,3,0,0,0,0,0,0,3,7,7,7,14,16,0,5,4,30,13,33,20,11,31,16,10,30,5,3,18,9,3,15,8,9,15,7,0,7,0,0,5,11,0,9,0,0,0,0,0,0,6,0,6,79,51,131,29,19,45,16,20,31,19,14,28,23,13,33,23,20,41,4,11,14,9,6,12,0,0,0,5,0,8,11,4,10,0,3,4,3,0,9,0,0,0,0,0,0,12,19,29,20,16,35,12,5,13,0,0,3,0,0,0,4,0,0,24,20
