SA4_CODE_2021,C16_15_19_N_mar_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Mar_RegM_M,C16_20_24_Mar_RegM_F,C16_20_24_Mar_RegM_P,C16_20_24_Mar_DFM_M,C16_20_24_Mar_DFM_F,C16_20_24_Mar_DFM_P,C16_20_24_N_mar_M,C16_20_24_N_mar_F,C16_20_24_N_mar_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Mar_RegM_M,C16_25_29_Mar_RegM_F,C16_25_29_Mar_RegM_P,C16_25_29_Mar_DFM_M,C16_25_29_Mar_DFM_F,C16_25_29_Mar_DFM_P,C16_25_29_N_mar_M,C16_25_29_N_mar_F,C16_25_29_N_mar_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Mar_RegM_M,C16_30_34_Mar_RegM_F,C16_30_34_Mar_RegM_P,C16_30_34_Mar_DFM_M,C16_30_34_Mar_DFM_F,C16_30_34_Mar_DFM_P,C16_30_34_N_mar_M,C16_30_34_N_mar_F,C16_30_34_N_mar_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Mar_RegM_M,C16_35_39_Mar_RegM_F,C16_35_39_Mar_RegM_P,C16_35_39_Mar_DFM_M,C16_35_39_Mar_DFM_F,C16_35_39_Mar_DFM_P,C16_35_39_N_mar_M,C16_35_39_N_mar_F,C16_35_39_N_mar_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Mar_RegM_M,C16_40_44_Mar_RegM_F,C16_40_44_Mar_RegM_P,C16_40_44_Mar_DFM_M,C16_40_44_Mar_DFM_F,C16_40_44_Mar_DFM_P,C16_40_44_N_mar_M,C16_40_44_N_mar_F,C16_40_44_N_mar_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Mar_RegM_M,C16_45_49_Mar_RegM_F,C16_45_49_Mar_RegM_P,C16_45_49_Mar_DFM_M,C16_45_49_Mar_DFM_F,C16_45_49_Mar_DFM_P,C16_45_49_N_mar_M,C16_45_49_N_mar_F,C16_45_49_N_mar_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Mar_RegM_M,C16_50_54_Mar_RegM_F,C16_50_54_Mar_RegM_P,C16_50_54_Mar_DFM_M,C16_50_54_Mar_DFM_F,C16_50_54_Mar_DFM_P,C16_50_54_N_mar_M,C16_50_54_N_mar_F,C16_50_54_N_mar_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Mar_RegM_M,C16_55_59_Mar_RegM_F,C16_55_59_Mar_RegM_P,C16_55_59_Mar_DFM_M,C16_55_59_Mar_DFM_F,C16_55_59_Mar_DFM_P,C16_55_59_N_mar_M,C16_55_59_N_mar_F,C16_55_59_N_mar_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Mar_RegM_M,C16_60_64_Mar_RegM_F,C16_60_64_Mar_RegM_P,C16_60_64_Mar_DFM_M,C16_60_64_Mar_DFM_F,C16_60_64_Mar_DFM_P,C16_60_64_N_mar_M,C16_60_64_N_mar_F,C16_60_64_N_mar_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_69_Mar_RegM_M,C16_65_69_Mar_RegM_F,C16_65_69_Mar_RegM_P,C16_65_69_Mar_DFM_M,C16_65_69_Mar_DFM_F,C16_65_69_Mar_DFM_P,C16_65_69_N_mar_M,C16_65_69_N_mar_F,C16_65_69_N_mar_P,C16_65_69_Tot_M,C16_65_69_Tot_F,C16_65_69_Tot_P,C16_70_74_Mar_RegM_M,C16_70_74_Mar_RegM_F,C16_70_74_Mar_RegM_P,C16_70_74_Mar_DFM_M,C16_70_74_Mar_DFM_F,C16_70_74_Mar_DFM_P,C16_70_74_N_mar_M,C16_70_74_N_mar_F,C16_70_74_N_mar_P,C16_70_74_Tot_M,C16_70_74_Tot_F,C16_70_74_Tot_P,C16_75_79_Mar_RegM_M,C16_75_79_Mar_RegM_F,C16_75_79_Mar_RegM_P,C16_75_79_Mar_DFM_M,C16_75_79_Mar_DFM_F,C16_75_79_Mar_DFM_P,C16_75_79_N_mar_M,C16_75_79_N_mar_F,C16_75_79_N_mar_P,C16_75_79_Tot_M,C16_75_79_Tot_F,C16_75_79_Tot_P,C16_80_84_Mar_RegM_M,C16_80_84_Mar_RegM_F,C16_80_84_Mar_RegM_P,C16_80_84_Mar_DFM_M,C16_80_84_Mar_DFM_F,C16_80_84_Mar_DFM_P,C16_80_84_N_mar_M,C16_80_84_N_mar_F,C16_80_84_N_mar_P,C16_80_84_Tot_M,C16_80_84_Tot_F,C16_80_84_Tot_P,C16_85_over_Mar_RegM_M,C16_85_over_Mar_RegM_F,C16_85_over_Mar_RegM_P,C16_85_over_Mar_DFM_M,C16_85_over_Mar_DFM_F,C16_85_over_Mar_DFM_P,C16_85_over_N_mar_M,C16_85_over_N_mar_F,C16_85_over_N_mar_P,C16_85_over_Tot_M,C16_85_over_Tot_F,C16_85_over_Tot_P,C16_Tot_Marr_reg_marr_M,C16_Tot_Marr_reg_marr_F,C16_Tot_Marr_reg_marr_P,C16_Tot_Mar_de_fa_mar_M,C16_Tot_Mar_de_fa_mar_F,C16_Tot_Mar_de_fa_mar_P,C16_Tot_N_mar_M,C16_Tot_N_mar_F,C16_Tot_N_mar_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_15_19_Mar_RegM_M,C21_15_19_Mar_RegM_F,C21_15_19_Mar_RegM_P,C21_15_19_Mar_DFM_M,C21_15_19_Mar_DFM_F,C21_15_19_Mar_DFM_P,C21_15_19_N_mar_M,C21_15_19_N_mar_F,C21_15_19_N_mar_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Mar_RegM_M,C21_20_24_Mar_RegM_F,C21_20_24_Mar_RegM_P,C21_20_24_Mar_DFM_M
501,9414,5040,4576,9615,119,265,383,618,961,1585,2681,2107,4788,3421,3337,6751,776,1347,2123,1091,1278,2364,1827,1478,3304,3694,4100,7800,1857,2726,4588,966,1051,2009,1279,1235,2511,4102,5012,9111,2609,3099,5705,810,850,1663,1040,1144,2182,4463,5087,9554,2977,3445,6428,765,840,1608,1113,1339,2452,4859,5628,10486,3180,3519,6699,741,787,1530,1195,1510,2703,5115,5816,10925,3080,3336,6410,706,687,1393,1281,1432,2717,5067,5451,10517,3266,3432,6698,502,530,1030,1193,1471,2665,4958,5429,10389,3096,3174,6269,442,331,768,1110,1388,2498,4652,4896,9544,3189,2877,6060,261,207,470,977,1306,2280,4424,4393,8820,2273,1899,4168,156,109,272,656,1079,1737,3087,3092,6174,1595,1144,2738,77,52,125,442,1041,1484,2117,2237,4353,908,606,1521,28,18,46,338,922,1256,1272,1549,2822,605,247,856,15,11,29,335,1039,1381,961,1300,2264,29522,31132,60662,7243,7830,15077,20453,22926,43379,57223,61898,119122,4,9,10,49,118,166,4974,4699,9682,5032,4824,9860,82,162,241,663
502,5216,2699,2665,5364,80,159,236,386,591,977,1770,1461,3231,2235,2210,4445,442,766,1199,578,664,1244,920,896,1813,1938,2323,4263,957,1283,2239,502,554,1061,646,698,1345,2102,2536,4640,1081,1433,2513,367,433,793,573,631,1206,2018,2499,4518,1429,1654,3086,359,379,740,621,783,1401,2410,2820,5233,1509,1701,3207,346,387,736,654,889,1544,2512,2980,5489,1583,1718,3299,344,356,705,675,853,1527,2605,2922,5528,1550,1740,3294,237,247,489,632,884,1521,2425,2876,5307,1639,1797,3437,181,199,382,624,855,1484,2451,2849,5298,1893,1884,3780,183,160,343,635,843,1479,2715,2889,5603,1678,1516,3197,114,85,203,462,782,1243,2253,2391,4644,1394,1065,2465,81,54,134,342,768,1114,1822,1893,3714,811,556,1372,26,25,51,274,685,962,1112,1273,2382,488,223,713,15,7,16,285,732,1020,785,964,1751,16536,17503,34042,3769,4255,8021,11782,14334,26113,32086,36087,68177,0,0,0,38,62,103,2753,2663,5414,2793,2723,5519,45,101,145,392
503,7594,3828,3843,7671,100,205,305,503,773,1276,4663,4381,9043,5269,5358,10628,803,1393,2194,1670,1970,3636,4215,3516,7728,6681,6880,13562,2423,2974,5398,1451,1312,2756,2586,2158,4743,6457,6439,12899,2813,3200,6012,816,673,1491,1502,1358,2859,5132,5228,10357,3021,3348,6366,553,554,1111,1031,1182,2209,4605,5084,9687,3247,3500,6748,498,496,993,1101,1265,2367,4846,5260,10111,2843,3014,5855,494,449,940,1130,1290,2424,4470,4752,9217,2718,2646,5363,445,362,807,1063,1392,2453,4222,4398,8626,2446,2315,4763,304,241,546,1022,1301,2319,3778,3855,7630,2189,1949,4141,214,144,356,850,1294,2140,3251,3380,6632,1647,1287,2936,125,74,199,611,1055,1668,2386,2414,4796,1121,890,2011,68,41,110,451,995,1452,1643,1932,3569,767,520,1289,40,13,50,299,960,1259,1103,1490,2597,582,266,845,20,6,22,387,1415,1796,985,1682,2667,26729,27505,54234,7219,7143,14363,24714,27342,52057,58653,61992,120650,5,0,4,24,51,69,4325,4164,8492,4351,4217,8571,59,132,187,537
504,14130,7443,6868,14309,223,592,820,839,1330,2172,6268,5141,11407,7332,7064,14394,1789,3109,4901,1892,2256,4150,4236,3342,7574,7921,8702,16627,4219,5137,9358,1727,1679,3412,2784,2296,5077,8731,9115,17846,4497,5056,9555,1169,1257,2423,1991,1931,3918,7652,8240,15898,4697,5104,9802,1034,1076,2114,1906,2239,4151,7640,8417,16056,4830,4965,9797,999,951,1948,1974,2360,4334,7804,8273,16077,4606,4687,9290,822,814,1636,1936,2244,4181,7366,7749,15109,4228,4152,8380,605,581,1190,1707,2254,3961,6538,6991,13525,3736,3562,7299,425,335,767,1476,2084,3561,5643,5983,11627,3358,3034,6397,305,227,528,1209,1861,3063,4869,5123,9989,2464,2012,4482,161,121,283,799,1495,2292,3425,3628,7056,1762,1298,3063,87,50,139,568,1291,1856,2414,2644,5060,1022,640,1669,28,12,39,456,1106,1562,1510,1759,3267,631,253,888,17,15,37,411,1269,1677,1064,1538,2600,42082,43615,85700,10157,10837,20993,35100,37647,72749,87348,92096,179436,4,9,7,61,87,154,7685,7016,14705,7747,7115,14860,145,329,475,849
505,31483,16290,15523,31808,355,1017,1374,1444,2512,3955,14131,11770,25901,15928,15299,31227,3349,5741,9090,4206,5180,9386,9670,7324,16995,17228,18245,35472,8813,11139,19954,3890,3595,7487,5849,4869,10722,18549,19608,38162,10383,11815,22196,2276,2357,4634,3892,3898,7792,16555,18068,34624,11329,12387,23714,2049,1911,3962,3689,4138,7822,17065,18436,35499,11514,11976,23482,1761,1785,3552,3702,4538,8240,16978,18294,35270,10607,10642,21250,1405,1323,2732,3404,4618,8027,15421,16583,32007,9575,9457,19035,1035,947,1978,2947,4443,7394,13560,14846,28412,8391,8064,16451,752,609,1360,2428,4134,6559,11571,12802,24371,7812,6937,14745,505,391,903,1947,3950,5896,10263,11279,21540,5515,4601,10111,272,185,462,1371,3142,4512,7158,7932,15092,3940,2997,6942,138,92,232,1035,3049,4080,5115,6134,11251,2481,1686,4166,63,39,103,840,2678,3519,3382,4407,7789,1602,702,2307,48,23,66,880,2985,3863,2524,3710,6238,95665,99193,194855,19943,21161,41107,71983,80809,152795,187590,201160,388750,8,13,20,85,169,254,16804,15621,32422,16896,15798,32689,240,629,874,1440
506,27143,14279,13297,27576,482,1303,1789,1688,2622,4312,14932,11779,26703,17097,15705,32803,3775,6468,10247,3635,4169,7810,10469,7497,17961,17884,18142,36023,9191,11271,20459,3013,2929,5943,6414,4866,11276,18613,19069,37683,9962,10618,20578,1954,1952,3901,4259,3820,8076,16174,16385,32557,9281,9640,18920,1582,1627,3203,3657,3786,7440,14518,15047,29565,8891,9139,18033,1550,1527,3078,3624,3985,7613,14068,14658,28724,8282,8394,16676,1293,1243,2538,3453,3958,7412,13023,13601,26625,7546,7731,15276,978,935,1909,3132,4108,7237,11655,12769,24427,7234,7051,14283,710,597,1305,2573,3919,6494,10519,11560,22080,6817,5875,12694,513,390,904,2165,3611,5773,9501,9873,19375,4629,3667,8301,266,175,443,1506,2863,4367,6407,6704,13108,3321,2453,5771,123,95,209,1091,2711,3806,4530,5255,9786,1937,1240,3178,59,26,82,759,2334,3094,2760,3600,6357,1265,602,1866,37,18,55,928,2739,3665,2232,3366,5592,82621,85487,168109,17528,18569,36090,73103,74970,148071,173256,179025,352275,0,15,18,113,202,312,14379,13599,27980,14493,13820,28314,353,835,1187,1688
507,22936,11860,11379,23246,239,610,849,1473,2366,3841,9705,8612,18313,11417,11587,23011,2334,4092,6425,3092,3664,6751,6209,5105,11311,11630,12859,24487,6004,7873,13882,2665,2677,5347,3898,3538,7439,12568,14097,26667,7418,8473,15891,1779,1857,3639,2805,2879,5678,11999,13206,25211,7869,8574,16442,1567,1658,3226,2677,3205,5881,12109,13434,25552,7853,8507,16361,1457,1471,2928,2806,3525,6331,12114,13501,25615,7402,7659,15061,1218,1183,2398,2711,3532,6242,11329,12381,23708,6845,6828,13680,910,872,1777,2425,3379,5802,10187,11079,21259,6023,6078,12098,670,540,1211,2008,3100,5111,8699,9716,18416,5554,5062,10614,443,334,780,1619,2855,4474,7620,8254,15873,4129,3389,7519,249,164,414,1203,2371,3571,5580,5925,11503,3025,2330,5357,110,65,175,905,2302,3204,4036,4701,8740,2009,1301,3307,66,42,103,710,2083,2793,2778,3424,6208,1232,607,1840,36,22,56,858,2614,3475,2121,3243,5371,67941,71408,139342,15830,17109,32936,52287,60283,112574,136058,148795,284852,8,0,8,100,180,283,12523,11857,24382,12630,12039,24669,164,375,539,1435
509,5674,3086,2744,5827,81,177,258,470,638,1108,2071,1390,3458,2621,2206,4824,595,953,1548,736,837,1570,1315,1000,2314,2644,2797,5440,1282,1761,3048,588,728,1315,911,796,1706,2785,3286,6067,1685,1997,3678,529,551,1084,723,751,1470,2940,3294,6233,1974,2266,4245,548,586,1133,851,846,1695,3379,3697,7075,2220,2510,4724,550,584,1135,1090,1049,2141,3858,4143,7997,2429,2630,5061,531,538,1068,1254,1083,2334,4219,4252,8466,2627,2801,5432,517,485,1003,1230,1136,2365,4376,4422,8799,2700,2715,5416,376,296,675,1149,1067,2219,4226,4079,8306,2711,2398,5105,256,204,463,1133,1036,2170,4104,3634,7739,1975,1701,3669,134,92,219,702,923,1621,2800,2711,5515,1422,1031,2456,77,55,130,532,940,1478,2029,2025,4060,839,495,1335,36,24,61,355,816,1167,1235,1333,2563,501,234,736,19,5,24,363,857,1221,877,1098,1979,23054,23674,46721,5402,5723,11124,16711,16328,33031,45163,45715,90883,0,9,7,71,121,188,2964,2664,5627,3035,2794,5829,77,154,232,480
510,3419,1887,1721,3612,81,162,242,480,736,1217,1316,1127,2441,1876,2024,3903,560,923,1482,972,1065,2040,1135,1067,2200,2667,3057,5723,1354,1643,2995,901,952,1854,811,878,1689,3071,3473,6542,1422,1564,2986,623,647,1265,664,653,1316,2709,2860,5569,1388,1344,2733,570,507,1080,685,613,1294,2644,2464,5107,1149,1072,2223,480,455,939,657,607,1257,2287,2134,4420,1010,941,1958,381,364,745,674,592,1265,2076,1893,3965,882,752,1632,305,249,550,665,594,1266,1850,1588,3440,614,456,1074,188,146,329,511,493,1001,1312,1092,2407,340,228,568,82,36,114,328,276,603,740,541,1282,174,121,294,32,16,46,201,168,371,408,305,717,73,36,109,17,9,31,102,106,216,200,156,353,31,9,38,0,3,8,57,76,130,89,92,178,10,4,13,0,0,0,39,47,89,55,52,107,9112,9275,18389,5086,5290,10376,9666,8887,18554,23866,23452,47318,11,27,41,51,88,134,1896,1721,3616,1958,1834,3788,93,111,206,407
511,5789,3077,2927,6001,103,197,299,599,870,1470,1994,1499,3495,2694,2562,5257,632,1005,1636,946,1109,2054,1376,1125,2503,2957,3233,6194,1388,1788,3173,804,793,1603,991,904,1894,3185,3478,6667,1535,1864,3399,565,592,1161,765,785,1554,2875,3248,6119,1742,1965,3707,583,602,1182,872,858,1728,3198,3423,6624,1878,2013,3889,544,566,1109,1063,919,1980,3487,3497,6983,1896,1977,3872,475,481,951,1089,984,2076,3459,3444,6907,1865,1852,3720,404,367,768,1061,858,1918,3330,3079,6405,1640,1618,3260,262,238,497,888,804,1692,2790,2657,5449,1490,1257,2748,198,121,328,781,729,1506,2469,2111,4581,1060,865,1928,95,65,157,560,639,1201,1717,1567,3287,698,524,1221,43,38,80,393,540,928,1129,1099,2228,415,254,663,23,19,43,209,461,667,649,733,1381,239,100,341,11,3,15,198,421,619,446,525,964,16596,17288,33883,5618,5991,11609,15250,14292,29549,37465,37586,75050,7,15,23,65,135,193,2795,2448,5247,2870,2593,5465,65,130,195,549
