SA4_CODE_2021,Managers_C11_M,Managers_C11_F,Managers_C11_P,Managers_C16_M,Managers_C16_F,Managers_C16_P,Managers_C21_M,Managers_C21_F,Managers_C21_P,Professionals_C11_M,Professionals_C11_F,Professionals_C11_P,Professionals_C16_M,Professionals_C16_F,Professionals_C16_P,Professionals_C21_M,Professionals_C21_F,Professionals_C21_P,Tech_trad_wkrs_C11_M,Tech_trad_wkrs_C11_F,Tech_trad_wkrs_C11_P,Tech_trad_wkrs_C16_M,Tech_trad_wkrs_C16_F,Tech_trad_wkrs_C16_P,Tech_trad_wkrs_C21_M,Tech_trad_wkrs_C21_F,Tech_trad_wkrs_C21_P,Com_pers_S_work_C11_Cens_M,Com_pers_S_work_C11_Cens_F,Com_pers_S_work_C11_Cens_P,Com_pers_S_work_C16_Cens_M,Com_pers_S_work_C16_Cens_F,Com_pers_S_work_C16_Cens_P,Com_pers_S_work_C21_Cens_M,Com_pers_S_work_C21_Cens_F,Com_pers_S_work_C21_Cens_P,Cler_admin_work_C11_M,Cler_admin_work_C11_F,Cler_admin_work_C11_P,Cler_admin_work_C16_M,Cler_admin_work_C16_F,Cler_admin_work_C16_P,Cler_admin_work_C21_M,Cler_admin_work_C21_F,Cler_admin_work_C21_P,Sales_workers_C11_M,Sales_workers_C11_F,Sales_workers_C11_P,Sales_workers_C16_M,Sales_workers_C16_F,Sales_workers_C16_P,Sales_workers_C21_M,Sales_workers_C21_F,Sales_workers_C21_P,Mach_oper_driv_C11_M,Mach_oper_driv_C11_F,Mach_oper_driv_C11_P,Mach_oper_driv_C16_M,Mach_oper_driv_C16_F,Mach_oper_driv_C16_P,Mach_oper_driv_C21_M,Mach_oper_driv_C21_F,Mach_oper_driv_C21_P,Labourers_C11_M,Labourers_C11_F,Labourers_C11_P,Labourers_C16_M,Labourers_C16_F,Labourers_C16_P,Labourers_C21_M,Labourers_C21_F,Labourers_C21_P,Inadeq_descr_Ns_C11_M,Inadeq_descr_Ns_C11_F,Inadeq_descr_Ns_C11_P,Inadeq_descr_Ns_C16_M,Inadeq_descr_Ns_C16_F,Inadeq_descr_Ns_C16_P,Inadeq_descr_Ns_C21_M,Inadeq_descr_Ns_C21_F,Inadeq_descr_Ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
501,6147,3393,9546,5930,3697,9626,6390,4315,10706,4281,5742,10018,4308,6814,11124,4902,8427,13330,12228,1949,14182,12159,2114,14274,13081,2650,15727,1236,5296,6529,1524,6482,8007,2045,7996,10045,1321,7206,8531,1267,7174,8439,1393,7504,8902,2000,4718,6714,2230,5111,7339,2279,4950,7226,6308,625,6939,6538,595,7131,7260,1027,8283,6404,3987,10384,6250,4254,10505,6898,4873,11780,642,378,1017,790,420,1211,916,543,1458,40569,33287,73856,40998,36662,77660,45161,42292,87452
502,2045,1129,3174,2084,1361,3443,2426,1800,4220,1760,2480,4246,1814,3178,4998,2147,3807,5961,5901,930,6835,6348,1017,7367,6837,1408,8240,730,2787,3519,928,3448,4370,1216,4674,5890,629,3362,3997,717,3483,4199,740,3699,4434,963,2461,3426,1139,2678,3813,1191,2838,4029,3215,323,3542,3567,449,4019,4207,732,4937,2582,1371,3954,2618,1632,4248,2932,1792,4721,351,167,513,417,237,654,505,257,759,18180,15017,33200,19634,17484,37121,22193,21005,43190
503,8409,4322,12729,8908,4826,13735,10265,6092,16353,17091,15186,32279,17194,16638,33836,20352,20166,40518,5477,1410,6892,5235,1500,6732,5370,1771,7141,2524,4214,6730,2863,4827,7695,3504,6547,10053,2771,7515,10289,2692,6850,9546,2905,7320,10223,2688,3373,6053,2643,3483,6135,2678,3580,6258,1540,156,1694,1470,164,1637,2090,279,2376,2778,1260,4040,2883,1587,4467,3268,1876,5147,639,378,1020,728,528,1256,797,587,1379,43910,37815,81724,44628,40406,85031,51236,48215,99451
504,7595,4070,11665,7985,4874,12858,9144,6258,15403,8871,10249,19120,9548,12180,21726,11848,15261,27107,16095,2863,18963,16929,3111,20043,18385,3886,22271,3275,7669,10941,3872,9803,13669,4764,12639,17397,4076,13587,17664,4111,13278,17391,4525,14008,18537,3721,6495,10215,4145,7012,11159,4198,7230,11430,7907,996,8902,8516,1084,9593,10203,1502,11700,6625,3840,10465,7136,4391,11524,7976,4964,12937,1037,634,1673,1212,810,2021,1428,1017,2449,59213,50404,109612,63456,56536,119990,72472,66763,139231
505,18839,9244,28080,19812,10730,30547,22591,13629,36219,24690,27410,52097,25177,31599,56777,29973,38785,68763,35231,5567,40800,36099,6210,42306,36986,7351,44341,7166,16906,24069,8377,20351,28726,10168,25781,35946,8438,30518,38948,8193,29040,37238,8769,30052,38821,8829,14673,23501,9609,15706,25312,9312,15372,24687,11974,1379,13352,12491,1412,13905,15018,2063,17081,14115,7173,21288,15012,7953,22971,16287,9025,25320,2033,1298,3337,2554,1611,4169,2782,1997,4782,131308,114164,245475,137331,124615,261943,151897,144065,295961
506,14853,7591,22438,14928,8400,23328,16922,10309,27228,20541,21687,42226,21274,24702,45976,26474,30826,57300,30045,5177,35233,31142,5524,36667,32722,6914,39636,6005,14367,20371,7135,17528,24664,8676,22717,31393,8301,26086,34391,7955,23865,31819,8617,24517,33138,7017,11898,18916,7861,12779,20641,7691,12569,20262,15734,1902,17636,16756,1974,18725,19648,2910,22556,12974,7477,20445,14195,8370,22563,15345,9611,24953,2083,1205,3289,2312,1401,3709,2855,1831,4683,117559,97387,214945,123548,104536,228087,138946,122205,261148
507,13149,6605,19757,13853,7651,21504,16082,10044,26124,16734,19554,36285,18045,23123,41166,22048,29273,51324,25129,4075,29202,25864,4639,30504,28393,5783,34174,5009,12218,17225,5854,14703,20558,7274,19293,26572,5704,19931,25631,5508,19536,25041,6089,20884,26970,5273,10153,15428,5900,11277,17179,6168,11232,17400,10314,1104,11417,11125,1231,12355,13095,1937,15035,9944,5247,15195,10686,5901,16592,11816,6946,18759,1587,942,2530,1968,1163,3128,2132,1406,3543,92841,79833,172671,98802,89226,188022,113099,106804,219901
509,9472,4516,13987,8444,4275,12719,8354,4378,12740,2673,4475,7143,2591,4608,7201,2712,5245,7952,7309,1524,8835,7222,1502,8716,7326,1577,8898,1222,4021,5245,1345,4403,5744,1467,4988,6452,880,5511,6394,819,5387,6207,816,5363,6175,1363,2756,4123,1495,2828,4324,1439,2785,4225,4616,552,5166,4646,599,5247,4871,786,5653,4715,2776,7492,4973,2985,7958,5162,3296,8458,553,342,893,596,339,934,627,434,1060,32798,26477,59276,32132,26923,59053,32776,28844,61621
510,2868,1580,4448,2716,1725,4444,2472,1966,4436,3385,3588,6979,3030,3698,6725,2546,4091,6639,9878,973,10852,9821,1002,10819,7590,1213,8804,1224,2340,3559,1351,2740,4093,1382,3092,4474,1165,4341,5504,1000,3552,4553,857,3503,4363,507,1487,1991,626,1538,2169,652,1458,2110,6077,902,6979,5599,993,6587,4324,1053,5375,3681,1819,5507,3445,1716,5157,2568,1689,4257,676,289,959,678,310,993,641,367,1006,29455,17321,46775,28271,17270,45544,23035,18436,41467
511,5089,2698,7789,4432,2606,7030,4380,2757,7135,3201,4242,7442,2960,4445,7406,2933,4897,7827,9500,1408,10909,8224,1302,9532,8370,1418,9786,1242,3700,4941,1239,3950,5189,1418,4473,5890,1000,5593,6591,879,4974,5853,864,5037,5900,1126,2942,4070,1255,2924,4183,1277,2687,3967,7020,841,7857,6087,800,6882,6045,1092,7145,4227,2678,6903,3628,2494,6122,3648,2599,6243,568,335,903,652,327,976,649,392,1039,32968,24444,57413,29355,23820,53176,29577,25355,54931
597,9,0,8,8,3,9,9,0,9,53,0,55,72,6,81,32,0,33,74,6,74,82,8,81,77,11,83,4,9,12,4,4,3,0,4,9,0,0,6,7,0,8,10,0,10,0,0,0,0,0,0,0,0,0,41,0,41,31,0,31,25,0,31,128,3,130,100,0,102,86,15,98,4,0,4,13,0,13,12,0,6,310,18,328,321,15,332,246,29,277
599,111,62,171,70,41,109,57,49,107,244,219,457,124,119,234,115,139,257,475,58,537,302,47,347,232,34,272,73,165,231,61,96,161,51,172,223,52,184,239,34,82,112,36,112,150,53,96,147,27,58,89,29,47,77,296,39,334,236,36,272,182,31,213,293,126,417,234,151,390,169,120,292,29,18,51,33,18,55,19,11,33,1619,972,2595,1127,643,1772,899,715,1614
