SA4_CODE_2021,C21_650_799_CF_1C,C21_650_799_CF_2C,C21_650_799_CF_3C,C21_650_799_CF_4mC,C21_650_799_Tot,C21_800_999_CF_1C,C21_800_999_CF_2C,C21_800_999_CF_3C,C21_800_999_CF_4mC,C21_800_999_Tot,C21_1000_1499_CF_1C,C21_1000_1499_CF_2C,C21_1000_1499_CF_3C,C21_1000_1499_CF_4mC,C21_1000_1499_Tot,C21_1500_1999_CF_1C,C21_1500_1999_CF_2C,C21_1500_1999_CF_3C,C21_1500_1999_CF_4mC,C21_1500_1999_Tot,C21_2000_2499_CF_1C,C21_2000_2499_CF_2C,C21_2000_2499_CF_3C,C21_2000_2499_CF_4mC,C21_2000_2499_Tot,C21_2500_2999_CF_1C,C21_2500_2999_CF_2C,C21_2500_2999_CF_3C,C21_2500_2999_CF_4mC,C21_2500_2999_Tot,C21_3000_3999_CF_1C,C21_3000_3999_CF_2C,C21_3000_3999_CF_3C,C21_3000_3999_CF_4mC,C21_3000_3999_Tot,C21_4000more_CF_1C,C21_4000more_CF_2C,C21_4000more_CF_3C,C21_4000more_Cou_fa_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_CF_1C,C21_Par_inc_st_CF_2C,C21_Par_inc_st_CF_3C,C21_Par_inc_st_CF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_CF_1Ch,C21_All_inc_ns_CF_2C,C21_All_inc_ns_CF_3C,C21_All_inc_ns_CF_4mC,C21_All_inc_ns_Tot,C21_Tot_CF_1C,C21_Tot_CF_2C,C21_Tot_CF_3C,C21_Tot_CF_4mC,C21_Tot_Tot
501,102,69,30,14,216,165,117,40,22,341,750,557,249,103,1660,866,931,384,110,2292,957,1307,473,144,2889,842,1161,431,115,2548,1112,1598,607,128,3443,888,1259,517,165,2830,1101,1445,632,221,3400,62,60,25,14,157,6989,8574,3418,1044,20035
502,68,46,20,4,135,101,59,28,18,209,435,264,114,44,845,406,405,155,67,1030,513,500,239,87,1337,415,518,169,46,1143,612,804,289,80,1783,576,836,303,76,1790,712,889,382,146,2126,35,33,12,3,81,3946,4407,1726,576,10656
503,51,32,12,0,106,69,49,18,0,140,353,201,57,9,619,447,317,80,10,854,605,510,138,27,1271,493,504,133,31,1159,1049,1237,300,34,2623,3088,5118,2012,306,10527,562,714,319,90,1685,24,36,13,0,84,6875,8804,3096,514,19293
504,155,155,37,37,384,252,198,92,44,589,1300,1068,359,173,2898,1507,1546,517,221,3780,1922,2165,646,220,4950,1628,1867,567,176,4249,2308,2741,827,221,6101,2033,2946,942,295,6221,1538,1707,737,335,4313,91,99,36,24,248,12966,14659,4833,1790,34242
505,326,260,107,55,755,481,392,148,89,1106,2268,1788,634,311,5003,2805,2821,965,318,6910,3655,3959,1259,366,9245,3232,3946,1159,295,8624,4918,7015,1921,427,14278,5503,9694,3066,657,18923,2917,3818,1557,526,8821,227,210,58,46,537,26846,34245,11005,3205,75306
506,348,279,138,74,838,592,453,185,121,1352,2571,2153,775,432,5927,2893,3155,1043,454,7538,3570,3969,1360,477,9379,2824,3506,1021,333,7684,3971,5235,1689,466,11360,3983,6052,2043,565,12641,2493,3045,1273,535,7347,151,153,40,40,385,23936,28393,9748,3602,65678
507,238,170,43,34,490,342,246,79,44,719,1579,1186,389,172,3327,2054,2012,718,256,5041,2679,3016,1056,322,7073,2404,2955,898,237,6491,3764,4879,1535,360,10531,4142,6737,2353,522,13755,2356,3056,1313,433,7159,129,118,51,15,313,19999,24598,8513,2436,55548
509,101,46,36,19,202,136,82,43,25,291,538,464,255,99,1351,555,657,300,138,1647,614,761,313,113,1811,539,612,278,80,1514,637,778,316,107,1839,511,629,291,81,1515,764,898,498,179,2333,46,31,29,11,116,4555,5051,2391,870,12872
510,79,55,39,20,195,66,49,38,28,175,150,106,71,54,378,174,163,75,49,467,318,303,155,56,829,293,334,143,61,833,514,743,340,98,1699,779,1137,513,148,2579,355,477,219,116,1170,48,57,19,17,128,2914,3516,1672,679,8781
511,54,45,23,21,138,93,52,21,20,188,317,249,108,53,733,428,409,163,71,1070,556,637,253,89,1532,444,572,235,66,1315,680,877,363,111,2037,706,872,362,114,2055,634,747,357,150,1884,41,44,12,12,114,4043,4561,1937,723,11267
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
