SA4_CODE_2021,C11_CFNC_MR_0_299,C11_CFNC_MR_300_449,C11_CFNC_MR_450_599,C11_CFNC_MR_600_799,C11_CFNC_MR_800_999,C11_CFNC_MR_1000_1399,C11_CFNC_MR_1400_1799,C11_CFNC_MR_1800_2399,C11_CFNC_MR_2400_2999,C11_CFNC_MR_3000_3999,C11_CFNC_MR_4000over,C11_CFNC_MR_NS,C11_CFNC_Tot,C11_CF_Cu15DS_MR_0_299,C11_CF_Cu15DS_MR_300_449,C11_CF_Cu15DS_MR_450_599,C11_CF_Cu15DS_MR_600_799,C11_CF_Cu15DS_MR_800_999,C11_CF_Cu15DS_MR_1000_1399,C11_CF_Cu15DS_MR_1400_1799,C11_CF_Cu15DS_MR_1800_2399,C11_CF_Cu15DS_MR_2400_2999,C11_CF_Cu15DS_MR_3000_3999,C11_CF_Cu15DS_MR_4000over,C11_CF_Cu15DS_MR_NS,C11_CF_Cu15DS_Tot,C11_CF_Cu15NDS_MR_0_299,C11_CF_Cu15NDS_MR_300_449,C11_CF_Cu15NDS_MR_450_599,C11_CF_Cu15NDS_MR_600_799,C11_CF_Cu15NDS_MR_800_999,C11_CF_Cu15NDS_MR_1000_1399,C11_CF_Cu15NDS_MR_1400_1799,C11_CF_Cu15NDS_MR_1800_2399,C11_CF_Cu15NDS_MR_2400_2999,C11_CF_Cu15NDS_MR_3000_3999,C11_CF_Cu15NDS_MR_4000over,C11_CF_Cu15NDS_MR_NS,C11_CF_Cu15NDS_Tot,C11_CF_NCu15DS_MR_0_299,C11_CF_NCu15DS_MR_300_449,C11_CF_NCu15DS_MR_450_599,C11_CF_NCu15DS_MR_600_799,C11_CF_NCu15DS_MR_800_999,C11_CF_NCu15DS_MR_1000_1399,C11_CF_NCu15DS_MR_1400_1799,C11_CF_NCu15DS_MR_1800_2399,C11_CF_NCu15DS_MR_2400_2999,C11_CF_NCu15DS_MR_3000_3999,C11_CF_NCu15DS_MR_4000over,C11_CF_NCu15DS_MR_NS,C11_CF_NCu15DS_Tot,C11_CF_NDCO_MR_0_299,C11_CF_NDCO_MR_300_449,C11_CF_NDCO_MR_450_599,C11_CF_NDCO_MR_600_799,C11_CF_NDCO_MR_800_999,C11_CF_NDCO_MR_1000_1399,C11_CF_NDCO_MR_1400_1799,C11_CF_NDCO_MR_1800_2399,C11_CF_NDCO_MR_2400_2999,C11_CF_NDCO_MR_3000_3999,C11_CF_NDCO_MR_4000over,C11_CF_NDCO_MR_NS,C11_CF_NDCO_Tot,C11_CF_Tot_MR_0_299,C11_CF_Tot_MR_300_449,C11_CF_Tot_MR_450_599,C11_CF_Tot_MR_600_799,C11_CF_Tot_MR_800_999,C11_CF_Tot_MR_1000_1399,C11_CF_Tot_MR_1400_1799,C11_CF_Tot_MR_1800_2399,C11_CF_Tot_MR_2400_2999,C11_CF_Tot_MR_3000_3999,C11_CF_Tot_MR_4000over,C11_CF_Tot_MR_NS,C11_CF_Tot_Tot,C11_1PF_Cu15DS_MR_0_299,C11_1PF_Cu15DS_MR_300_449,C11_1PF_Cu15DS_MR_450_599,C11_1PF_Cu15DS_MR_600_799,C11_1PF_Cu15DS_MR_800_999,C11_1PF_Cu15DS_MR_1000_1399,C11_1PF_Cu15DS_MR_1400_1799,C11_1PF_Cu15DS_MR_1800_2399,C11_1PF_Cu15DS_MR_2400_2999,C11_1PF_Cu15DS_MR_3000_3999,C11_1PF_Cu15DS_MR_4000over,C11_1PF_Cu15DS_MR_NS,C11_1PF_Cu15DS_Tot,C11_1PF_CU15_NDS_MR_0_299,C11_1PF_CU15_NDS_MR_300_449,C11_1PF_CU15_NDS_MR_450_599,C11_1PF_CU15_NDS_MR_600_799,C11_1PF_CU15_NDS_MR_800_999,C11_1PF_CU15_NDS_MR_1000_1399,C11_1PF_CU15_NDS_MR_1400_1799,C11_1PF_CU15_NDS_MR_1800_2399,C11_1PF_CU15_NDS_MR_2400_2999,C11_1PF_CU15_NDS_MR_3000_3999,C11_1PF_CU15_NDS_MR_4000over,C11_1PF_CU15_NDS_MR_NS,C11_1PF_CU15_NDS_Tot,C11_1PF_NCu15DS_MR_0_299,C11_1PF_NCu15DS_MR_300_449,C11_1PF_NCu15DS_MR_450_599,C11_1PF_NCu15DS_MR_600_799,C11_1PF_NCu15DS_MR_800_999,C11_1PF_NCu15DS_MR_1000_1399,C11_1PF_NCu15DS_MR_1400_1799,C11_1PF_NCu15DS_MR_1800_2399,C11_1PF_NCu15DS_MR_2400_2999,C11_1PF_NCu15DS_MR_3000_3999,C11_1PF_NCu15DS_MR_4000over,C11_1PF_NCu15DS_MR_NS,C11_1PF_NCu15DS_Tot,C11_1PF_NDCO_MR_0_299,C11_1PF_NDCO_MR_300_449,C11_1PF_NDCO_MR_450_599,C11_1PF_NDCO_MR_600_799,C11_1PF_NDCO_MR_800_999,C11_1PF_NDCO_MR_1000_1399,C11_1PF_NDCO_MR_1400_1799,C11_1PF_NDCO_MR_1800_2399,C11_1PF_NDCO_MR_2400_2999,C11_1PF_NDCO_MR_3000_3999,C11_1PF_NDCO_MR_4000over,C11_1PF_NDCO_MR_NS,C11_1PF_NDCO_Tot,C11_1PF_Tot_MR_0_299,C11_1PF_Tot_MR_300_449,C11_1PF_Tot_MR_450_599,C11_1PF_Tot_MR_600_799,C11_1PF_Tot_MR_800_999,C11_1PF_Tot_MR_1000_1399,C11_1PF_Tot_MR_1400_1799,C11_1PF_Tot_MR_1800_2399,C11_1PF_Tot_MR_2400_2999,C11_1PF_Tot_MR_3000_3999,C11_1PF_Tot_MR_4000over,C11_1PF_Tot_MR_NS,C11_1PF_Tot_Tot,C11_Tot_MR_0_299,C11_Tot_MR_300_449,C11_Tot_MR_450_599,C11_Tot_MR_600_799,C11_Tot_MR_800_999,C11_Tot_MR_1000_1399,C11_Tot_MR_1400_1799,C11_Tot_MR_1800_2399,C11_Tot_MR_2400_2999,C11_Tot_MR_3000_3999,C11_Tot_MR_4000over,C11_Tot_MR_NS,C11_Tot_Tot,C16_CFNC_MR_0_299,C16_CFNC_MR_300_449,C16_CFNC_MR_450_599,C16_CFNC_MR_600_799,C16_CFNC_MR_800_999,C16_CFNC_MR_1000_1399,C16_CFNC_MR_1400_1799,C16_CFNC_MR_1800_2399,C16_CFNC_MR_2400_2999,C16_CFNC_MR_3000_3999,C16_CFNC_MR_4000over,C16_CFNC_MR_NS,C16_CFNC_Tot,C16_CF_Cu15DS_MR_0_299,C16_CF_Cu15DS_MR_300_449,C16_CF_Cu15DS_MR_450_599,C16_CF_Cu15DS_MR_600_799,C16_CF_Cu15DS_MR_800_999,C16_CF_Cu15DS_MR_1000_1399,C16_CF_Cu15DS_MR_1400_1799,C16_CF_Cu15DS_MR_1800_2399,C16_CF_Cu15DS_MR_2400_2999,C16_CF_Cu15DS_MR_3000_3999,C16_CF_Cu15DS_MR_4000over,C16_CF_Cu15DS_MR_NS,C16_CF_Cu15DS_Tot,C16_CF_Cu15NDS_MR_0_299,C16_CF_Cu15NDS_MR_300_449,C16_CF_Cu15NDS_MR_450_599,C16_CF_Cu15NDS_MR_600_799,C16_CF_Cu15NDS_MR_800_999,C16_CF_Cu15NDS_MR_1000_1399,C16_CF_Cu15NDS_MR_1400_1799,C16_CF_Cu15NDS_MR_1800_2399,C16_CF_Cu15NDS_MR_2400_2999,C16_CF_Cu15NDS_MR_3000_3999,C16_CF_Cu15NDS_MR_4000over,C16_CF_Cu15NDS_MR_NS,C16_CF_Cu15NDS_Tot,C16_CF_NCu15DS_MR_0_299,C16_CF_NCu15DS_MR_300_449,C16_CF_NCu15DS_MR_450_599,C16_CF_NCu15DS_MR_600_799,C16_CF_NCu15DS_MR_800_999
501,318,151,151,303,316,749,791,1069,680,462,266,299,5548,30,19,25,47,70,188,195,279,160,119,62,58,1249,126,85,105,165,276,963,1108,1757,1048,654,325,283,6905,40,23,29,60,67,186,146,164,97,83,42,45,974,63,43,43,67,92,204,211,238,119,110,70,77,1327,252,169,200,341,512,1534,1659,2443,1423,968,503,460,10458,6,0,3,14,18,38,38,26,12,14,8,10,189,35,14,22,61,84,172,147,146,71,50,13,53,891,4,10,10,29,24,58,33,38,22,16,0,15,268,24,19,23,29,48,91,69,61,27,19,3,40,464,76,49,63,134,183,366,284,278,133,94,33,121,1809,648,366,414,782,1007,2651,2734,3789,2232,1520,798,875,17814,411,182,158,280,336,904,1042,1395,614,461,243,273,6297,36,13,17,37,66,206,287,382,157,120,68,60,1449,142,77,75,132,206,887,1458,2392,1002,689,289,249,7603,36,30,17,35,60
502,208,100,85,115,132,350,341,612,398,312,177,178,3014,6,9,15,10,21,70,86,144,101,73,60,19,609,33,18,21,40,78,314,389,757,544,362,183,126,2864,10,9,12,27,37,91,89,115,75,59,47,32,588,35,21,15,37,43,95,117,132,104,83,49,54,780,91,53,58,118,178,563,671,1150,823,574,332,222,4843,5,3,5,3,12,19,11,24,11,7,6,3,110,10,14,15,33,37,77,69,81,40,19,18,30,451,11,5,0,17,9,25,23,21,12,7,3,6,148,22,14,10,19,18,53,49,44,19,13,6,30,302,47,29,33,74,78,185,154,176,84,49,29,66,1006,346,190,175,308,381,1093,1167,1943,1311,939,547,473,8866,260,83,92,145,143,474,630,896,398,296,195,145,3745,12,8,10,13,31,73,114,244,127,70,46,32,784,48,23,16,54,89,334,679,1261,553,317,131,122,3610,33,4,11,27,21
503,242,46,48,81,125,308,332,592,435,622,956,197,3973,40,11,15,23,22,50,57,117,62,124,291,61,871,171,44,39,63,77,284,316,608,464,851,1736,217,4866,74,32,20,37,46,125,129,172,108,177,351,68,1344,42,13,13,26,20,71,48,86,52,74,153,42,644,330,99,84,147,169,531,549,985,686,1225,2536,388,7719,9,5,6,5,3,10,13,15,7,12,28,6,106,18,7,9,9,15,42,38,54,42,46,75,29,384,25,14,6,21,14,39,29,36,23,39,53,29,334,33,7,3,10,22,36,50,38,19,32,43,21,308,84,30,21,46,52,122,131,144,94,120,203,83,1131,651,175,156,272,340,964,1013,1722,1204,1973,3689,664,12822,332,90,64,78,116,345,395,692,524,692,908,132,4368,57,12,11,7,24,61,59,137,85,179,403,69,1102,219,43,46,67,100,291,272,693,573,1043,1984,202,5529,101,19,21,28,33
504,358,188,156,329,359,948,938,1629,1478,1225,542,367,8512,74,31,35,73,108,264,276,431,274,223,138,80,2014,173,111,101,229,347,1206,1543,2590,1807,1502,620,376,10606,72,45,46,102,114,328,295,367,217,213,124,121,2033,107,68,64,132,137,367,345,378,228,204,142,141,2323,427,254,248,529,704,2165,2456,3770,2527,2145,1026,719,16970,13,5,15,24,30,75,50,48,21,24,9,16,333,46,34,39,66,124,239,246,271,160,103,56,73,1458,23,17,13,46,46,101,74,90,33,27,25,26,523,62,53,46,91,76,171,167,201,91,57,20,74,1119,147,118,110,226,276,587,541,609,306,211,112,191,3434,932,561,512,1082,1340,3700,3941,6006,4306,3586,1677,1280,28918,553,191,165,287,328,1045,1271,2780,1764,1154,534,366,10435,62,28,31,49,77,248,359,632,355,288,125,89,2342,258,79,89,142,238,1046,1699,3948,2505,1563,680,419,12672,107,48,36,80,112
505,833,334,317,566,641,1666,1777,3117,3121,2764,1492,714,17334,144,65,63,150,186,519,578,842,635,744,491,232,4649,433,210,221,460,684,2213,2921,5216,4208,3910,2279,877,23629,202,129,101,229,271,707,698,962,640,699,537,250,5429,268,137,108,244,306,689,692,841,558,535,387,307,5071,1050,546,487,1074,1449,4124,4893,7861,6037,5883,3693,1667,38774,20,19,12,35,54,105,104,109,49,30,38,25,602,106,54,57,133,183,419,459,536,331,224,131,124,2754,51,35,42,76,90,239,230,180,105,89,46,62,1247,127,84,80,160,162,360,283,317,145,111,75,142,2050,307,196,195,407,484,1120,1078,1144,633,459,291,350,6650,2186,1077,994,2047,2577,6905,7744,12121,9793,9107,5476,2735,62754,1014,381,307,525,623,1840,2340,4746,3243,2362,1325,657,19365,137,72,50,110,169,477,594,1258,854,818,508,212,5267,623,197,193,382,502,1983,3173,7349,5306,4363,2383,819,27280,300,115,109,193,251
506,675,317,291,552,650,1743,1803,3175,2447,2043,1120,687,15512,91,60,56,128,169,485,513,715,484,433,311,156,3589,331,168,184,363,628,1980,2672,4485,3309,2451,1332,616,18513,153,78,87,162,207,529,518,652,417,452,291,174,3724,183,130,114,227,308,692,629,752,407,388,245,263,4342,759,436,435,879,1304,3690,4333,6605,4617,3727,2181,1201,30173,19,12,17,44,43,107,93,99,42,52,25,28,575,88,68,50,118,169,454,411,450,243,191,94,116,2446,48,41,37,72,80,165,158,178,69,70,43,66,1027,83,93,69,141,197,330,308,293,133,102,71,119,1928,244,205,169,370,488,1061,972,1019,488,417,231,326,5976,1681,958,899,1799,2444,6491,7106,10795,7557,6190,3519,2222,51672,938,328,314,507,665,1772,2395,4439,2564,1788,989,578,17273,137,47,49,98,134,437,607,1078,694,550,313,170,4314,546,162,186,300,468,1923,3458,6776,3983,2830,1479,648,22754,218,83,85,145,193
507,572,244,209,386,456,1286,1324,2493,2107,1784,978,514,12344,79,56,49,100,135,368,454,644,398,437,306,115,3132,298,143,137,322,419,1637,2255,3935,3014,2449,1458,598,16661,141,76,81,156,171,464,441,673,387,436,351,167,3529,168,94,98,182,194,541,496,646,363,335,229,197,3546,690,366,361,760,919,3020,3640,5890,4148,3664,2344,1077,26870,13,12,14,24,34,108,76,83,44,33,20,18,476,70,52,39,117,130,348,372,427,210,137,82,104,2086,39,39,21,52,58,148,120,121,69,68,44,57,828,97,67,55,85,112,245,199,201,108,81,58,98,1400,216,165,136,277,333,837,768,838,437,312,204,276,4794,1474,776,713,1415,1707,5141,5728,9224,6693,5758,3521,1869,44007,800,299,231,390,456,1434,1949,3600,2112,1637,1002,460,14365,72,42,45,69,111,370,508,903,593,488,377,126,3706,368,149,143,228,364,1526,2706,6044,3431,2761,1638,563,19912,219,85,67,133,179
509,438,209,172,330,346,640,523,576,325,273,165,249,4247,29,18,24,52,73,167,115,153,67,47,44,46,835,248,94,134,231,325,739,644,808,384,313,167,181,4266,40,18,8,47,45,92,77,87,39,43,26,28,550,57,47,29,55,70,144,96,101,53,43,24,61,786,372,173,195,380,513,1146,935,1149,539,447,261,311,6432,7,0,9,17,15,16,18,12,12,4,5,8,113,37,37,53,100,67,131,64,64,17,25,14,25,637,4,10,7,16,20,39,24,21,3,0,5,6,147,39,28,22,40,22,58,37,25,10,4,10,19,318,84,79,96,170,123,238,139,120,41,37,35,61,1224,897,459,463,885,978,2025,1601,1839,902,753,463,625,11900,438,190,160,324,339,729,606,735,325,278,147,237,4499,41,19,17,36,54,139,141,177,85,67,31,30,836,205,81,73,163,223,717,766,919,401,288,158,152,4137,32,21,12,34,49
510,53,32,21,17,24,77,60,121,105,175,239,64,983,0,8,4,6,6,12,14,28,10,23,19,11,140,54,48,14,23,24,83,68,160,137,219,235,40,1103,9,9,3,4,5,3,14,19,12,21,23,8,111,18,14,0,10,7,12,12,25,12,19,42,21,201,84,75,24,37,38,116,110,234,166,276,308,78,1553,4,0,0,0,0,0,4,0,0,4,0,3,18,7,4,3,6,9,20,12,9,9,14,24,12,127,0,0,0,0,6,0,3,5,4,0,0,0,19,5,3,4,0,3,6,12,9,3,11,8,7,75,16,8,5,4,19,30,23,25,22,29,30,22,240,152,105,50,55,85,221,198,376,293,479,584,167,2771,46,9,13,16,21,75,93,156,113,167,145,53,919,3,4,0,4,0,10,17,18,12,34,29,11,147,22,17,13,7,11,61,91,183,184,263,191,49,1091,3,5,0,5,4
511,199,88,84,158,164,488,491,677,355,311,172,215,3410,23,9,16,24,37,107,114,146,73,78,37,24,690,106,47,61,145,198,588,656,968,575,430,186,193,4148,12,15,17,15,35,76,90,103,48,58,19,24,512,39,22,24,42,55,143,132,146,66,65,34,70,842,179,89,116,231,324,917,995,1351,762,628,270,325,6191,0,5,5,8,12,25,10,25,4,3,4,8,108,27,19,26,52,65,106,87,94,47,25,16,38,592,7,3,3,11,8,29,16,17,7,4,0,11,120,26,14,14,27,28,55,25,35,17,8,5,21,273,58,45,45,96,112,209,141,170,75,40,31,79,1096,444,217,247,490,603,1612,1630,2195,1192,978,473,609,10702,205,90,97,140,190,541,551,722,362,235,149,181,3466,15,10,16,19,36,120,121,195,103,78,39,30,778,95,40,43,90,160,571,732,1135,535,386,133,122,4043,19,11,4,11,38
