SA4_CODE_2021,Pre_sch_C11_M,Pre_sch_C11_F,Pre_sch_C11_P,Pre_sch_C16_M,Pre_sch_C16_F,Pre_sch_C16_P,Pre_sch_C21_M,Pre_sch_C21_F,Pre_sch_C21_P,Prim_Govt_C11_M,Prim_Govt_C11_F,Prim_Govt_C11_P,Prim_Govt_C16_M,Prim_Govt_C16_F,Prim_Govt_C16_P,Prim_Govt_C21_M,Prim_Govt_C21_F,Prim_Govt_C21_P,Prim_Cath_C11_M,Prim_Cath_C11_F,Prim_Cath_C11_P,Prim_Cath_C16_M,Prim_Cath_C16_F,Prim_Cath_C16_P,Prim_Cath_C21_M,Prim_Cath_C21_F,Prim_Cath_C21_P,Pri_Oth_No_Gov_C11_M,Pri_Oth_No_Gov_C11_F,Pri_Oth_No_Gov_C11_P,Pri_Oth_No_Gov_C16_M,Pri_Oth_No_Gov_C16_F,Pri_Oth_No_Gov_C16_P,Pri_Oth_No_Gov_C21_M,Pri_Oth_No_Gov_C21_F,Pri_Oth_No_Gov_C21_P,Primary_Tot_Prim_C11_M,Primary_Tot_Prim_C11_F,Primary_Tot_Prim_C11_P,Primary_Tot_Prim_C16_M,Primary_Tot_Prim_C16_F,Primary_Tot_Prim_C16_P,Primary_Tot_Prim_C21_M,Primary_Tot_Prim_C21_F,Primary_Tot_Prim_C21_P,Sec_Govern_C11_M,Sec_Govern_C11_F,Sec_Govern_C11_P,Sec_Govern_C16_M,Sec_Govern_C16_F,Sec_Govern_C16_P,Sec_Govern_C21_M,Sec_Govern_C21_F,Sec_Govern_C21_P,Sec_Catholic_C11_M,Sec_Catholic_C11_F,Sec_Catholic_C11_P,Sec_Catholic_C16_M,Sec_Catholic_C16_F,Sec_Catholic_C16_P,Sec_Catholic_C21_M,Sec_Catholic_C21_F,Sec_Catholic_C21_P,Sec_Oth_Non_Gov_C11_M,Sec_Oth_Non_Gov_C11_F,Sec_Oth_Non_Gov_C11_P,Sec_Oth_Non_Gov_C16_M,Sec_Oth_Non_Gov_C16_F,Sec_Oth_Non_Gov_C16_P,Sec_Oth_Non_Gov_C21_M,Sec_Oth_Non_Gov_C21_F,Sec_Oth_Non_Gov_C21_P,Sec_Tot_Sec_C11_M,Sec_Tot_Sec_C11_F,Sec_Tot_Sec_C11_P,Sec_Tot_Sec_C16_M,Sec_Tot_Sec_C16_F,Sec_Tot_Sec_C16_P,Sec_Tot_Sec_C21_M,Sec_Tot_Sec_C21_F,Sec_Tot_Sec_C21_P,Tert_Voc_TPTP_FTS_15_24_C11_M,Tert_Voc_TPTP_FTS_15_24_C11_F,Tert_Voc_TPTP_FTS_15_24_C11_P,Tert_Voc_TPTP_FTS_15_24_C16_M,Tert_Voc_TPTP_FTS_15_24_C16_F,Tert_Voc_TPTP_FTS_15_24_C16_P,Tert_Voc_TPTP_FTS_15_24_C21_M,Tert_Voc_TPTP_FTS_15_24_C21_F,Tert_Voc_TPTP_FTS_15_24_C21_P,Tert_Voc_TPTP_FTS_25ove_C11_M,Tert_Voc_TPTP_FTS_25ove_C11_F,Tert_Voc_TPTP_FTS_25ove_C11_P,Tert_Voc_TPTP_FTS_25ove_C16_M,Tert_Voc_TPTP_FTS_25ove_C16_F,Tert_Voc_TPTP_FTS_25ove_C16_P,Tert_Voc_TPTP_FTS_25ove_C21_M,Tert_Voc_TPTP_FTS_25ove_C21_F,Tert_Voc_TPTP_FTS_25ove_C21_P,Tert_Voc_TPTP_PTS_15_24_C11_M,Tert_Voc_TPTP_PTS_15_24_C11_F,Tert_Voc_TPTP_PTS_15_24_C11_P,Tert_Voc_TPTP_PTS_15_24_C16_M,Tert_Voc_TPTP_PTS_15_24_C16_F,Tert_Voc_TPTP_PTS_15_24_C16_P,Tert_Voc_TPTP_PTS_15_24_C21_M,Tert_Voc_TPTP_PTS_15_24_C21_F,Tert_Voc_TPTP_PTS_15_24_C21_P,Tert_Voc_TPTP_PTS_25ov_C11_M,Tert_Voc_TPTP_PTS_25ov_C11_F,Tert_Voc_TPTP_PTS_25ov_C11_P,Tert_Voc_TPTP_PTS_25ov_C16_M,Tert_Voc_TPTP_PTS_25ov_C16_F,Tert_Voc_TPTP_PTS_25ov_C16_P,Tert_Voc_TPTP_PTS_25ov_C21_M,Tert_Voc_TPTP_PTS_25ov_C21_F,Tert_Voc_TPTP_PTS_25ov_C21_P,Tert_Voc_F_Pt_stu_st_ns_C11_M,Tert_Voc_F_Pt_stu_st_ns_C11_F,Tert_Voc_F_Pt_stu_st_ns_C11_P,Tert_Voc_F_Pt_stu_st_ns_C16_M,Tert_Voc_F_Pt_stu_st_ns_C16_F,Tert_Voc_F_Pt_stu_st_ns_C16_P,Tert_Voc_F_Pt_stu_st_ns_C21_M,Tert_Voc_F_Pt_stu_st_ns_C21_F,Tert_Voc_F_Pt_stu_st_ns_C21_P,Tert_Voc_Tot_C11_M,Tert_Voc_Tot_C11_F,Tert_Voc_Tot_C11_P,Tert_Voc_Tot_C16_M,Tert_Voc_Tot_C16_F,Tert_Voc_Tot_C16_P,Tert_Voc_Tot_C21_M,Tert_Voc_Tot_C21_F,Tert_Voc_Tot_C21_P,Tert_U_Ft_s_15_24_C11_M,Tert_U_Ft_s_15_24_C11_F,Tert_U_Ft_s_15_24_C11_P,Tert_U_Ft_s_15_24_C16_M,Tert_U_Ft_s_15_24_C16_F,Tert_U_Ft_s_15_24_C16_P,Tert_U_Ft_s_15_24_C21_M,Tert_U_Ft_s_15_24_C21_F,Tert_U_Ft_s_15_24_C21_P,Tert_U_Ft_s_25over_C11_M,Tert_U_Ft_s_25over_C11_F,Tert_U_Ft_s_25over_C11_P,Tert_U_Ft_s_25over_C16_M,Tert_U_Ft_s_25over_C16_F,Tert_U_Ft_s_25over_C16_P,Tert_U_Ft_s_25over_C21_M,Tert_U_Ft_s_25over_C21_F,Tert_U_Ft_s_25over_C21_P,Tert_U_Pt_s_15_24_C11_M,Tert_U_Pt_s_15_24_C11_F,Tert_U_Pt_s_15_24_C11_P,Tert_U_Pt_s_15_24_C16_M,Tert_U_Pt_s_15_24_C16_F,Tert_U_Pt_s_15_24_C16_P,Tert_U_Pt_s_15_24_C21_M,Tert_U_Pt_s_15_24_C21_F,Tert_U_Pt_s_15_24_C21_P,Tert_U_Pt_s_25over_C11_M,Tert_U_Pt_s_25over_C11_F,Tert_U_Pt_s_25over_C11_P,Tert_U_Pt_s_25over_C16_M,Tert_U_Pt_s_25over_C16_F,Tert_U_Pt_s_25over_C16_P,Tert_U_Pt_s_25over_C21_M,Tert_U_Pt_s_25over_C21_F,Tert_U_Pt_s_25over_C21_P,Tert_U_F_Pt_s_s_ns_C11_M,Tert_U_F_Pt_s_s_ns_C11_F,Tert_U_F_Pt_s_s_ns_C11_P,Tert_U_F_Pt_s_s_ns_C16_M,Tert_U_F_Pt_s_s_ns_C16_F,Tert_U_F_Pt_s_s_ns_C16_P,Tert_U_F_Pt_s_s_ns_C21_M,Tert_U_F_Pt_s_s_ns_C21_F,Tert_U_F_Pt_s_s_ns_C21_P,Tert_U_Tot_C11_M,Tert_U_Tot_C11_F,Tert_U_Tot_C11_P,Tert_U_Tot_C16_M,Tert_U_Tot_C16_F,Tert_U_Tot_C16_P,Tert_U_Tot_C21_M,Tert_U_Tot_C21_F,Tert_U_Tot_C21_P,Tert_Tot_Tert_C11_M,Tert_Tot_Tert_C11_F,Tert_Tot_Tert_C11_P,Tert_Tot_Tert_C16_M,Tert_Tot_Tert_C16_F,Tert_Tot_Tert_C16_P,Tert_Tot_Tert_C21_M,Tert_Tot_Tert_C21_F,Tert_Tot_Tert_C21_P,Ot_ty_Ed_Ins_Ft_st_C11_M,Ot_ty_Ed_Ins_Ft_st_C11_F
501,1272,1207,2474,1146,1014,2164,1539,1510,3047,5229,4830,10060,5515,5179,10690,5555,4991,10548,1550,1569,3118,1516,1525,3041,1578,1496,3076,968,944,1917,1058,1024,2087,1110,1015,2126,7751,7347,15098,8092,7729,15817,8259,7512,15773,3015,2767,5783,4087,3894,7980,4336,4119,8454,792,872,1664,1119,1188,2308,1261,1383,2647,880,791,1672,998,988,1985,993,1070,2061,4683,4429,9118,6199,6074,12266,6593,6582,13171,318,354,667,232,289,523,292,265,555,105,281,389,118,294,415,143,389,537,618,373,990,519,293,812,713,395,1109,387,890,1275,343,837,1182,516,1159,1680,22,19,40,16,13,35,17,5,22,1452,1910,3360,1228,1731,2957,1676,2216,3896,186,418,608,196,462,660,199,499,700,99,334,434,152,444,597,154,472,627,43,127,164,58,147,202,67,151,219,296,670,973,294,872,1163,342,981,1327,0,7,10,0,11,11,0,3,3,626,1566,2187,698,1935,2633,761,2114,2877,2078,3468,5550,1921,3666,5588,2442,4337,6783,77,90
502,544,530,1073,543,504,1052,790,781,1571,2294,2153,4448,2719,2558,5280,2729,2782,5509,655,684,1336,642,700,1338,694,708,1402,660,640,1299,688,676,1365,749,714,1461,3607,3473,7082,4047,3932,7979,4177,4211,8391,1121,1080,2203,1636,1524,3161,1999,1849,3853,405,399,802,540,604,1144,610,689,1304,564,596,1160,753,805,1554,800,803,1600,2091,2075,4163,2934,2930,5859,3410,3348,6758,179,208,392,173,208,382,189,225,414,45,160,204,62,199,263,84,251,335,296,148,447,280,168,447,375,229,603,180,342,519,168,322,489,277,598,872,6,5,10,7,3,11,5,0,10,707,862,1568,690,898,1584,934,1304,2235,262,458,719,401,618,1018,361,724,1085,65,194,258,105,324,431,110,353,461,38,68,104,64,123,192,73,140,213,128,347,476,154,443,597,215,485,700,0,6,7,3,3,7,5,5,5,496,1072,1559,731,1507,2242,761,1701,2465,1199,1927,3131,1422,2406,3829,1699,3007,4706,35,68
503,966,953,1921,972,862,1836,1449,1238,2691,3264,2975,6234,4072,3710,7788,4432,4230,8665,997,980,1974,919,890,1812,814,842,1657,1155,1199,2353,1077,1147,2225,1031,974,1999,5412,5154,10567,6071,5754,11822,6281,6051,12333,1021,985,2005,1609,1559,3171,2441,2160,4602,858,994,1854,974,1024,1994,1060,1137,2195,1825,2070,3895,2366,2476,4841,2368,2379,4743,3704,4045,7751,4943,5056,10005,5873,5677,11550,365,322,692,300,278,583,351,367,719,369,427,791,439,589,1032,471,681,1155,238,146,379,167,138,309,249,188,434,460,638,1099,397,608,1002,551,892,1439,11,14,23,3,5,13,5,8,14,1439,1546,2983,1313,1619,2936,1626,2140,3763,3905,4310,8215,4078,4233,8310,3947,4649,8597,1367,1342,2707,1768,1656,3427,1741,1844,3582,322,408,732,356,404,755,460,542,1001,1178,1556,2735,1229,1587,2815,1337,1836,3172,33,20,52,26,32,59,14,16,28,6801,7643,14440,7456,7910,15368,7499,8889,16383,8235,9191,17427,8766,9536,18306,9128,11029,20160,227,254
504,1621,1525,3145,1540,1481,3024,2707,2395,5101,6027,5441,11463,7053,6360,13411,8154,7451,15603,1871,1778,3645,2210,2106,4314,2175,2115,4292,1636,1565,3201,1739,1656,3391,1657,1588,3246,9528,8781,18313,11007,10113,21114,12012,11185,23201,3329,3082,6408,4267,4097,8371,5050,4597,9643,1699,1807,3508,2047,1946,3992,2162,2057,4218,1646,1551,3201,2035,1826,3862,2249,2036,4292,6685,6444,13125,8358,7866,16218,9471,8710,18183,633,566,1200,624,511,1136,606,596,1208,337,495,833,433,592,1019,501,868,1368,798,403,1206,644,380,1027,833,494,1332,768,1079,1844,648,1128,1776,976,1637,2615,26,30,55,27,30,56,9,12,28,2564,2572,5138,2371,2642,5010,2934,3605,6544,1699,2246,3944,2105,2653,4751,2106,2736,4842,501,688,1189,748,1042,1785,867,1229,2095,231,368,600,356,463,819,403,555,953,772,1312,2084,925,1570,2497,1045,1833,2877,11,23,28,30,32,57,17,12,31,3210,4639,7849,4153,5762,9916,4434,6364,10804,5774,7212,12983,6525,8399,14927,7388,9997,17383,208,212
505,3695,3507,7206,3525,3259,6787,5319,4908,10229,14241,13365,27604,16332,15341,31681,17713,16404,34114,4158,4079,8237,4776,4672,9446,4544,4530,9075,2903,2860,5758,3192,3148,6342,3523,3460,6974,21301,20303,41600,24309,23161,47468,25817,24453,50267,7216,6671,13885,10006,9208,19218,11900,11058,22956,3832,3769,7598,4100,4211,8317,4240,4255,8495,3885,4012,7896,4375,4403,8769,4684,4527,9209,14924,14457,29384,18482,17826,36302,20842,19868,40705,1442,1251,2692,1252,1163,2412,1350,1276,2625,735,1108,1840,873,1340,2216,981,1707,2688,1648,815,2463,1430,674,2109,1721,924,2647,1468,2106,3568,1445,2159,3608,1851,3161,5009,75,41,119,58,38,101,20,17,40,5357,5329,10685,5065,5379,10441,5929,7088,13017,5282,6809,12086,6261,7192,13457,5718,7443,13159,1271,1880,3148,2010,2663,4672,2035,2855,4889,665,959,1616,858,1145,2001,1061,1304,2361,1993,3055,5044,2102,3411,5516,2305,3943,6241,60,61,119,41,81,116,28,30,58,9256,12764,22017,11274,14492,25765,11144,15571,26712,14616,18088,32706,16340,19868,36206,17106,22695,39803,453,476
506,3101,2884,5982,3075,2926,5996,4827,4551,9380,12266,11392,23650,14320,13372,27694,16557,15457,32018,2682,2637,5322,3264,3072,6333,3359,3218,6579,2625,2522,5144,3080,3033,6112,3498,3512,7010,17574,16545,34117,20668,19481,40142,23459,22224,45678,6653,6313,12964,9423,8943,18368,11245,10580,21826,2883,2599,5484,3228,2859,6089,3473,2930,6403,2469,2627,5094,3040,3119,6154,3327,3429,6761,12003,11542,23545,15694,14928,30619,18071,16967,35032,1538,1281,2822,1494,1277,2769,1557,1310,2865,789,1177,1963,1150,1606,2757,1292,2020,3310,1488,835,2326,1215,741,1956,1600,953,2548,1485,2199,3684,1377,2124,3496,1946,3274,5220,71,49,117,46,35,79,29,35,61,5369,5545,10912,5274,5783,11056,6420,7590,14009,6316,7251,13570,7174,7733,14897,6276,7657,13930,2100,2071,4168,2976,3087,6067,2779,3322,6094,547,780,1324,740,941,1687,964,1215,2179,1750,2586,4342,1915,2863,4778,2105,3309,5412,56,54,107,45,67,114,23,30,56,10771,12745,23518,12853,14696,27543,12147,15534,27678,16145,18287,34432,18125,20477,38598,18603,23153,41757,504,558
507,2775,2578,5353,2553,2534,5084,4160,3824,7987,11198,10388,21582,13460,12263,25720,14494,13775,28275,2500,2582,5083,2875,3039,5913,3002,3097,6097,1773,1841,3612,1940,2038,3976,2016,2091,4109,15470,14809,30272,18278,17331,35613,19542,18982,38530,5222,4843,10065,7374,6986,14359,8999,8415,17418,2748,3075,5824,3303,3618,6925,3708,3945,7653,2366,2443,4808,2593,2589,5183,2874,2736,5610,10337,10358,20699,13268,13199,26466,15598,15120,30718,839,830,1677,949,775,1718,852,844,1694,375,644,1015,500,814,1316,597,1109,1713,1311,640,1950,984,591,1578,1469,843,2319,1008,1676,2686,922,1511,2433,1389,2510,3902,38,24,63,31,28,61,27,20,41,3578,3816,7388,3390,3723,7109,4337,5331,9671,3751,4867,8617,4163,5281,9442,4021,5600,9616,1043,1523,2570,1458,2211,3668,1442,2300,3741,415,649,1062,564,769,1328,798,975,1774,1418,2294,3717,1563,2678,4243,1829,3226,5057,34,44,75,26,44,67,15,30,47,6660,9376,16041,7776,10979,18753,8102,12121,20225,10239,13191,23433,11158,14706,25867,12460,17481,29941,403,279
509,1004,1042,2044,845,715,1567,964,915,1876,4981,4657,9639,4327,4204,8532,3927,3702,7629,670,668,1334,696,673,1363,688,707,1400,529,549,1074,572,599,1169,589,608,1203,6177,5867,12043,5593,5475,11063,5212,5024,10238,2559,2314,4873,2948,2741,5690,2928,2754,5685,310,386,696,377,359,739,437,464,901,591,498,1084,632,634,1265,653,793,1441,3456,3199,6658,3955,3734,7690,4021,4013,8042,199,215,416,195,157,353,195,174,366,82,202,294,65,150,215,78,197,279,385,293,679,301,251,553,454,246,700,364,975,1346,267,668,935,294,801,1091,11,18,24,8,10,18,9,5,16,1049,1704,2754,843,1240,2076,1031,1425,2450,119,188,308,152,256,405,151,286,438,59,167,227,71,190,257,88,225,314,25,71,92,39,80,121,45,127,175,196,509,700,176,483,666,195,632,826,5,8,12,5,4,12,0,6,3,399,942,1342,442,1011,1453,482,1276,1754,1450,2650,4095,1285,2249,3531,1505,2696,4204,129,93
510,681,621,1305,685,598,1284,842,751,1587,3313,3082,6390,3394,3234,6624,3549,3331,6880,749,768,1515,636,625,1263,671,606,1275,154,138,290,173,184,358,205,161,362,4213,3976,8195,4206,4045,8252,4419,4109,8534,1212,1022,2229,1862,1635,3496,1890,1846,3735,298,323,622,309,327,637,386,394,785,89,91,182,106,102,207,110,148,259,1601,1433,3031,2278,2060,4338,2389,2388,4777,93,56,151,63,46,110,92,77,172,41,59,101,56,62,120,70,101,171,211,200,406,165,162,321,199,161,356,409,614,1021,409,568,975,353,639,988,16,6,22,10,20,27,8,0,10,767,930,1701,698,855,1555,729,977,1700,32,120,152,35,88,131,44,116,155,47,134,181,74,150,226,68,190,255,33,82,111,14,60,71,26,61,86,335,505,845,357,565,926,263,546,806,0,7,8,10,0,7,0,4,4,453,848,1295,490,870,1361,400,911,1311,1222,1777,3001,1190,1726,2920,1126,1890,3017,42,35
511,966,930,1897,745,700,1442,961,985,1951,4067,4021,8092,3839,3633,7471,3471,3165,6636,1020,974,1992,984,1027,2012,910,907,1818,524,533,1064,498,483,984,433,462,899,5617,5527,11146,5323,5146,10467,4824,4552,9372,1840,1770,3614,2233,2085,4319,2127,1987,4116,800,877,1681,922,999,1919,883,950,1833,396,461,853,459,482,941,413,426,839,3037,3104,6145,3612,3566,7178,3428,3372,6796,159,153,311,134,179,312,157,183,334,47,127,171,49,150,204,96,135,233,421,269,691,263,281,542,398,281,689,337,642,979,282,676,955,405,841,1243,14,9,24,12,11,21,6,6,16,978,1200,2183,737,1292,2024,1060,1450,2505,183,182,365,161,200,356,121,211,328,91,153,243,139,190,324,124,241,364,41,95,136,38,100,139,45,104,144,260,492,756,248,561,812,264,620,880,6,8,10,0,8,9,8,4,11,588,923,1515,578,1057,1637,554,1174,1731,1569,2129,3693,1320,2343,3664,1620,2629,4244,48,58
