SA4_CODE_2021,C21_85_over_UOL_SE_Tot,C21_85_over_LPE_NS,C21_85_over_Tot,C21_Tot_SEO,C21_Tot_UOL_SE_Vw_w,C21_Tot_UOL_SE_Nw_Na,C21_Tot_UOL_SE_P_E_n,C21_Tot_UOL_SE_Tot,C21_Tot_LPE_NS,C21_Tot_Tot
501,246,402,3986,163920,11681,1325,171,13174,11654,188747
502,140,419,3095,94318,6576,566,68,7207,6114,107641
503,865,374,4406,136054,33694,3561,352,37607,8602,182267
504,914,489,4488,202437,51162,8325,623,60111,14029,276573
505,2173,807,10928,434382,103800,16147,1149,121092,21825,577297
506,1403,1134,9154,350367,132319,19251,1718,153286,25811,529466
507,1456,897,8752,348470,65698,7682,785,74154,20785,443407
509,149,376,3308,116589,6983,992,126,8102,12491,137175
510,48,42,204,59297,14465,1233,313,16010,14816,90128
511,90,257,1749,92630,10458,989,167,11616,14510,118758
597,0,0,0,232,59,3,0,68,219,514
599,0,18,30,4079,497,56,9,562,3411,8055
