SA4_CODE_2021,C21_20_24_Mar_DFM_F,C21_20_24_Mar_DFM_P,C21_20_24_N_mar_M,C21_20_24_N_mar_F,C21_20_24_N_mar_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_29_Mar_RegM_M,C21_25_29_Mar_RegM_F,C21_25_29_Mar_RegM_P,C21_25_29_Mar_DFM_M,C21_25_29_Mar_DFM_F,C21_25_29_Mar_DFM_P,C21_25_29_N_mar_M,C21_25_29_N_mar_F,C21_25_29_N_mar_P,C21_25_29_Tot_M,C21_25_29_Tot_F,C21_25_29_Tot_P,C21_30_34_Mar_RegM_M,C21_30_34_Mar_RegM_F,C21_30_34_Mar_RegM_P,C21_30_34_Mar_DFM_M,C21_30_34_Mar_DFM_F,C21_30_34_Mar_DFM_P,C21_30_34_N_mar_M,C21_30_34_N_mar_F,C21_30_34_N_mar_P,C21_30_34_Tot_M,C21_30_34_Tot_F,C21_30_34_Tot_P,C21_35_39_Mar_RegM_M,C21_35_39_Mar_RegM_F,C21_35_39_Mar_RegM_P,C21_35_39_Mar_DFM_M,C21_35_39_Mar_DFM_F,C21_35_39_Mar_DFM_P,C21_35_39_N_mar_M,C21_35_39_N_mar_F,C21_35_39_N_mar_P,C21_35_39_Tot_M,C21_35_39_Tot_F,C21_35_39_Tot_P,C21_40_44_Mar_RegM_M,C21_40_44_Mar_RegM_F,C21_40_44_Mar_RegM_P,C21_40_44_Mar_DFM_M,C21_40_44_Mar_DFM_F,C21_40_44_Mar_DFM_P,C21_40_44_N_mar_M,C21_40_44_N_mar_F,C21_40_44_N_mar_P,C21_40_44_Tot_M,C21_40_44_Tot_F,C21_40_44_Tot_P,C21_45_49_Mar_RegM_M,C21_45_49_Mar_RegM_F,C21_45_49_Mar_RegM_P,C21_45_49_Mar_DFM_M,C21_45_49_Mar_DFM_F,C21_45_49_Mar_DFM_P,C21_45_49_N_mar_M,C21_45_49_N_mar_F,C21_45_49_N_mar_P,C21_45_49_Tot_M,C21_45_49_Tot_F,C21_45_49_Tot_P,C21_50_54_Mar_RegM_M,C21_50_54_Mar_RegM_F,C21_50_54_Mar_RegM_P,C21_50_54_Mar_DFM_M,C21_50_54_Mar_DFM_F,C21_50_54_Mar_DFM_P,C21_50_54_N_mar_M,C21_50_54_N_mar_F,C21_50_54_N_mar_P,C21_50_54_Tot_M,C21_50_54_Tot_F,C21_50_54_Tot_P,C21_55_59_Mar_RegM_M,C21_55_59_Mar_RegM_F,C21_55_59_Mar_RegM_P,C21_55_59_Mar_DFM_M,C21_55_59_Mar_DFM_F,C21_55_59_Mar_DFM_P,C21_55_59_N_mar_M,C21_55_59_N_mar_F,C21_55_59_N_mar_P,C21_55_59_Tot_M,C21_55_59_Tot_F,C21_55_59_Tot_P,C21_60_64_Mar_RegM_M,C21_60_64_Mar_RegM_F,C21_60_64_Mar_RegM_P,C21_60_64_Mar_DFM_M,C21_60_64_Mar_DFM_F,C21_60_64_Mar_DFM_P,C21_60_64_N_mar_M,C21_60_64_N_mar_F,C21_60_64_N_mar_P,C21_60_64_Tot_M,C21_60_64_Tot_F,C21_60_64_Tot_P,C21_65_69_Mar_RegM_M,C21_65_69_Mar_RegM_F,C21_65_69_Mar_RegM_P,C21_65_69_Mar_DFM_M,C21_65_69_Mar_DFM_F,C21_65_69_Mar_DFM_P,C21_65_69_N_mar_M,C21_65_69_N_mar_F,C21_65_69_N_mar_P,C21_65_69_Tot_M,C21_65_69_Tot_F,C21_65_69_Tot_P,C21_70_74_Mar_RegM_M,C21_70_74_Mar_RegM_F,C21_70_74_Mar_RegM_P,C21_70_74_Mar_DFM_M,C21_70_74_Mar_DFM_F,C21_70_74_Mar_DFM_P,C21_70_74_N_mar_M,C21_70_74_N_mar_F,C21_70_74_N_mar_P,C21_70_74_Tot_M,C21_70_74_Tot_F,C21_70_74_Tot_P,C21_75_79_Mar_RegM_M,C21_75_79_Mar_RegM_F,C21_75_79_Mar_RegM_P,C21_75_79_Mar_DFM_M,C21_75_79_Mar_DFM_F,C21_75_79_Mar_DFM_P,C21_75_79_N_mar_M,C21_75_79_N_mar_F,C21_75_79_N_mar_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Mar_RegM_M,C21_80_84_Mar_RegM_F,C21_80_84_Mar_RegM_P,C21_80_84_Mar_DFM_M,C21_80_84_Mar_DFM_F,C21_80_84_Mar_DFM_P,C21_80_84_N_mar_M,C21_80_84_N_mar_F,C21_80_84_N_mar_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Mar_RegM_M,C21_85_over_Mar_RegM_F,C21_85_over_Mar_RegM_P,C21_85_over_Mar_DFM_M,C21_85_over_Mar_DFM_F,C21_85_over_Mar_DFM_P,C21_85_over_N_mar_M,C21_85_over_N_mar_F,C21_85_over_N_mar_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Marr_reg_marr_M,C21_Tot_Marr_reg_marr_F,C21_Tot_Marr_reg_marr_P,C21_Tot_Mar_de_fa_mar_M,C21_Tot_Mar_de_fa_mar_F,C21_Tot_Mar_de_fa_mar_P,C21_Tot_N_mar_M,C21_Tot_N_mar_F,C21_Tot_N_mar_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
501,971,1634,2823,2085,4911,3568,3217,6780,614,1030,1645,1155,1414,2571,1917,1630,3544,3685,4071,7759,1653,2385,4039,1198,1320,2521,1422,1303,2732,4280,5011,9285,2500,3347,5843,932,1041,1977,1220,1383,2607,4654,5773,10431,2893,3338,6230,775,801,1574,1242,1528,2772,4910,5672,10578,3048,3445,6493,742,822,1560,1341,1593,2933,5132,5862,10991,3110,3460,6572,688,796,1490,1423,1729,3152,5221,5987,11212,3153,3425,6573,663,662,1326,1400,1671,3068,5208,5760,10970,3441,3574,7019,559,534,1090,1285,1757,3043,5288,5867,11158,3297,3222,6528,430,292,717,1240,1688,2921,4962,5197,10162,3249,2841,6090,250,195,454,1102,1608,2713,4607,4648,9253,2162,1700,3860,128,89,214,666,1334,2000,2949,3117,6072,1311,823,2137,63,45,104,445,1156,1599,1819,2023,3845,742,344,1081,26,4,29,464,1303,1767,1227,1647,2879,31262,33112,64376,8317,9111,17433,22966,26462,49426,62544,68683,131232
502,597,984,1818,1662,3480,2250,2359,4609,312,576,891,627,854,1482,1180,1002,2178,2122,2433,4554,845,1267,2113,585,659,1244,762,859,1625,2192,2784,4981,1214,1561,2778,489,547,1037,721,865,1581,2423,2979,5397,1171,1579,2750,371,424,800,673,802,1472,2214,2812,5022,1443,1708,3152,344,398,741,782,920,1701,2568,3025,5596,1570,1785,3358,365,368,739,733,1077,1810,2668,3236,5905,1728,1928,3655,332,376,711,833,1004,1841,2895,3307,6207,1842,2067,3907,278,240,518,715,1139,1854,2842,3447,6286,1959,2105,4069,218,205,415,808,1122,1931,2988,3427,6413,2185,2032,4222,198,147,350,759,1145,1901,3140,3323,6462,1690,1402,3092,100,75,173,528,982,1517,2317,2466,4785,1177,778,1950,63,42,105,384,875,1260,1624,1697,3319,647,318,964,30,19,47,412,971,1383,1087,1301,2388,17832,19220,37044,4433,5018,9449,13855,17084,30941,36118,41317,77442
503,813,1350,4524,4704,9222,5114,5644,10758,583,1058,1639,1726,2041,3771,4070,3672,7742,6382,6771,13155,2159,2831,4994,1792,1754,3546,2686,2388,5075,6638,6974,13611,3276,3799,7074,1085,933,2022,1884,1653,3537,6243,6385,12630,3336,3591,6931,716,595,1306,1341,1387,2733,5393,5575,10970,3396,3518,6918,548,537,1087,1177,1426,2600,5122,5483,10604,3386,3536,6922,546,502,1048,1254,1466,2717,5183,5502,10683,2951,2956,5906,528,421,947,1248,1495,2741,4721,4871,9595,2738,2608,5342,398,310,702,1109,1568,2670,4240,4477,8723,2431,2287,4714,303,212,514,990,1416,2410,3721,3916,7639,2233,1927,4159,180,117,298,894,1459,2348,3300,3503,6807,1601,1258,2857,115,55,174,569,1162,1737,2286,2476,4763,1028,705,1734,59,19,77,383,1028,1417,1471,1755,3225,772,367,1138,33,9,43,435,1450,1890,1244,1829,3072,29946,30561,60513,8583,8379,16956,26890,30441,57331,65417,69379,134796
504,1403,2257,6609,5533,12143,7609,7266,14872,1357,2448,3806,2124,2549,4672,4657,3744,8398,8139,8746,16885,3930,5471,9401,2189,2384,4568,3222,2660,5879,9337,10512,19857,5507,6198,11700,1593,1544,3140,2503,2434,4931,9603,10168,19774,4923,5389,10310,1174,1266,2438,2056,2201,4257,8153,8858,17008,4710,5029,9742,987,1033,2021,2038,2602,4636,7732,8669,16400,4808,4981,9790,921,915,1834,2158,2639,4796,7890,8540,16428,4677,4667,9350,772,683,1460,2022,2631,4658,7478,7993,15468,4265,4152,8414,544,492,1033,1798,2547,4346,6605,7187,13795,3730,3404,7129,362,288,648,1510,2378,3888,5601,6072,11669,3284,2801,6083,234,157,391,1215,2227,3444,4726,5186,9918,2261,1731,3986,115,92,211,809,1625,2431,3186,3446,6633,1406,891,2295,58,38,86,580,1415,1997,2036,2340,4378,814,391,1200,21,14,36,539,1567,2100,1372,1969,3335,45810,47889,93699,12003,12956,24960,39405,43218,82621,97211,104060,201273
505,2382,3823,14333,12582,26913,16015,15590,31605,2343,4152,6494,4179,5352,9527,9497,7712,17207,16011,17213,33225,7399,10484,17885,4589,4876,9467,6113,5419,11534,18105,20775,38877,11474,13426,24899,3394,3203,6595,4701,4919,9621,19571,21545,41113,11395,12543,23939,2084,2251,4337,3933,4505,8445,17421,19303,36721,11505,12295,23805,1861,1816,3677,4045,4912,8961,17415,19030,36445,11370,11693,23062,1610,1617,3227,4007,5161,9172,16988,18472,35461,10348,10397,20743,1325,1159,2483,3566,5119,8679,15237,16677,31912,9572,9367,18940,895,797,1696,3111,5009,8120,13571,15178,28752,8565,8131,16691,605,491,1101,2584,4763,7343,11747,13394,25139,7899,6700,14595,373,274,647,2217,4728,6948,10490,11707,22187,5251,4067,9318,205,137,337,1534,3781,5315,6989,7981,14971,3285,2225,5510,89,62,150,1030,3301,4333,4398,5590,9990,2070,986,3059,59,28,88,1139,3727,4868,3269,4748,8014,102720,107109,209833,22781,24623,47406,78619,91260,169872,204118,222989,427112
506,2615,4302,14691,12337,27024,16728,15791,32519,2836,5119,7951,3786,4499,8285,10797,7777,18574,17420,17392,34811,7796,10879,18677,3504,3625,7130,6812,5436,12246,18116,19942,38055,11737,13360,25091,2490,2536,5023,4929,4482,9413,19161,20371,39528,10962,11372,22333,1724,1737,3461,4138,4247,8384,16819,17357,34178,9674,9911,19585,1536,1506,3040,3836,4213,8050,15050,15628,30680,8978,8961,17936,1454,1441,2898,3896,4419,8319,14323,14826,29149,8296,8227,16519,1123,1045,2170,3619,4487,8103,13038,13761,26793,7560,7526,15085,859,755,1615,3307,4588,7899,11728,12869,24596,7109,6726,13835,567,464,1030,2627,4390,7023,10306,11581,21888,6511,5399,11911,415,269,683,2290,4120,6408,9214,9790,19003,4236,3105,7340,186,107,296,1527,3235,4766,5952,6452,12400,2644,1742,4385,76,64,134,1052,2771,3827,3770,4578,8349,1617,761,2379,44,15,56,1052,3095,4154,2715,3867,6587,90307,93934,184240,19561,20883,40441,78957,83203,162163,188826,198021,386848
507,2290,3725,10227,9340,19564,11827,12000,23827,1650,2967,4618,3472,4335,7808,6933,5662,12593,12059,12957,25014,5262,7488,12747,3460,3643,7099,4408,4196,8602,13132,15320,28453,8066,9780,17849,2430,2510,4941,3492,3762,7248,13988,16055,30041,8246,9190,17434,1735,1827,3561,3033,3561,6593,13017,14572,27588,8209,8810,17022,1507,1635,3138,3101,3776,6877,12823,14219,27044,8085,8573,16656,1378,1372,2748,3133,4056,7187,12592,14002,26594,7536,7742,15275,1149,1079,2230,2913,4100,7013,11599,12917,24516,7033,6900,13929,842,766,1607,2622,3846,6466,10490,11505,21996,6262,6090,12350,571,465,1039,2182,3705,5883,9011,10261,19269,5592,4969,10565,397,274,669,1809,3486,5291,7798,8729,16529,4023,3018,7047,204,123,321,1283,2759,4041,5510,5902,11407,2475,1669,4140,84,52,142,918,2485,3400,3473,4206,7681,1601,754,2357,46,28,72,1044,3009,4053,2697,3784,6479,74211,78325,152543,18812,20566,39377,59614,69582,129195,152634,168479,321111
509,655,1128,1908,1332,3241,2463,2140,4604,505,774,1280,736,874,1610,1380,1051,2434,2621,2699,5320,1138,1519,2655,728,777,1509,947,795,1735,2816,3093,5907,1575,2004,3581,573,627,1195,805,813,1617,2952,3440,6397,1737,2010,3745,474,531,1007,794,817,1619,3004,3360,6367,1921,2210,4128,511,549,1062,972,974,1947,3397,3736,7134,2182,2433,4620,523,528,1045,1145,1168,2313,3846,4127,7978,2451,2698,5146,474,524,996,1332,1202,2532,4251,4425,8675,2693,2786,5478,467,401,871,1312,1293,2600,4470,4478,8945,2639,2597,5238,317,225,548,1210,1234,2444,4169,4064,8228,2483,2135,4614,243,147,388,1105,1179,2282,3827,3456,7281,1718,1313,3031,89,68,159,685,1010,1694,2493,2395,4884,1062,698,1756,56,27,88,467,901,1367,1583,1631,3215,654,300,954,17,11,28,437,992,1427,1100,1299,2401,22826,23646,46473,5749,6076,11823,17452,17418,34864,46030,47134,93167
510,603,1007,1238,1105,2346,1741,1821,3554,339,589,929,872,1036,1911,1090,1117,2207,2311,2743,5048,1056,1406,2465,989,1090,2077,908,888,1789,2951,3386,6333,1470,1725,3199,788,789,1582,764,755,1517,3022,3277,6294,1314,1275,2581,538,501,1037,710,648,1362,2561,2423,4988,1149,1118,2270,441,432,876,654,593,1246,2245,2141,4388,985,921,1908,400,376,775,699,652,1348,2086,1948,4033,846,747,1591,321,254,573,663,572,1236,1829,1574,3399,718,574,1292,219,158,376,524,532,1051,1455,1262,2716,418,270,690,109,77,190,369,379,745,896,724,1625,221,154,379,44,20,70,226,241,466,492,419,913,110,71,185,23,14,35,109,138,250,243,225,466,40,19,64,10,0,11,63,79,144,113,101,219,14,6,13,0,7,0,40,54,89,55,58,110,8788,9017,17806,5211,5451,10662,9943,9472,19416,23944,23935,47881
511,879,1424,1869,1476,3341,2478,2482,4959,471,724,1199,1009,1099,2105,1411,1178,2588,2889,3002,5889,1067,1521,2592,802,883,1688,966,898,1868,2838,3302,6141,1541,1804,3349,645,643,1286,864,819,1683,3055,3263,6315,1443,1724,3168,491,543,1034,858,830,1688,2794,3099,5888,1585,1749,3333,517,553,1070,983,887,1873,3084,3189,6278,1740,1840,3582,452,508,952,1089,990,2084,3282,3339,6621,1743,1801,3546,439,402,844,1103,1011,2113,3288,3213,6499,1791,1730,3520,382,302,681,1080,932,2008,3252,2969,6215,1457,1417,2874,218,180,402,894,879,1775,2568,2474,5049,1336,1067,2408,137,95,233,733,784,1517,2205,1943,4152,913,677,1587,67,49,114,448,661,1106,1429,1381,2810,503,355,852,29,20,48,302,498,799,837,868,1706,296,142,442,20,10,28,246,514,762,562,664,1227,15955,16695,32649,5819,6287,12113,15640,14808,30442,37415,37787,75203
