SA4_CODE_2021,C16_OD_H_f_a_s_o_NPUR_5,C16_OD_H_f_a_s_o_NPUR_6mor,C16_OD_H_f_a_s_o_Tot,C16_OD_Tot_NPUR_1,C16_OD_Tot_NPUR_2,C16_OD_Tot_NPUR_3,C16_OD_Tot_NPUR_4,C16_OD_Tot_NPUR_5,C16_OD_Tot_NPUR_6mor,C16_OD_Tot_Tot,C16_DS_ns_NPUR_1,C16_DS_ns_NPUR_2,C16_DS_ns_NPUR_3,C16_DS_ns_NPUR_4,C16_DS_ns_NPUR_5,C16_DS_ns_NPUR_6more,C16_Dwg_st_NS_Tot,C16_Tot_NPUR_1,C16_Tot_NPUR_2,C16_Tot_NPUR_3,C16_Tot_NPUR_4,C16_Tot_NPUR_5,C16_Tot_NPUR_6more,C16_Tot_Tot,C21_Se_h_NPUR_1,C21_Se_h_NPUR_2,C21_Se_h_NPUR_3,C21_Se_h_NPUR_4,C21_Se_h_NPUR_5,C21_Se_h_NPUR_6more,C21_Se_h_Tot,C21_SDRTHT1S_NPUR_1,C21_SDRTHT1S_NPUR_2,C21_SDRTHT1S_NPUR_3,C21_SDRTHT1S_NPUR_4,C21_SDRTHT1S_NPUR_5,C21_SDRTHT1S_NPUR_6mor,C21_SDRTHT1S_Tot,C21_SDRTHT2S_NPUR_1,C21_SDRTHT2S_NPUR_2,C21_SDRTHT2S_NPUR_3,C21_SDRTHT2S_NPUR_4,C21_SDRTHT2S_NPUR_5,C21_SDRTHT2S_NPUR_6mor,C21_SDRTHT2S_Tot,C21_SDRTHT_Tot_NPUR_1,C21_SDRTHT_Tot_NPUR_2,C21_SDRTHT_Tot_NPUR_3,C21_SDRTHT_Tot_NPUR_4,C21_SDRTHT_Tot_NPUR_5,C21_SDRTHT_Tot_NPUR_6mor,C21_SDRTHT_Tot_Tot,C21_F_a_1_2SB_NPUR_1,C21_F_a_1_2SB_NPUR_2,C21_F_a_1_2SB_NPUR_3,C21_F_a_1_2SB_NPUR_4,C21_F_a_1_2SB_NPUR_5,C21_F_a_1_2SB_NPUR_6mor,C21_F_a_1_2SB_Tot,C21_F_a_I_a_3SB_NPUR_1,C21_F_a_I_a_3SB_NPUR_2,C21_F_a_I_a_3SB_NPUR_3,C21_F_a_I_a_3SB_NPUR_4,C21_F_a_I_a_3SB_NPUR_5,C21_F_a_I_a_3SB_NPUR_6mor,C21_F_a_In_a_3_st_b_Tot,C21_F_a_4_8SB_NPUR_1,C21_F_a_4_8SB_NPUR_2,C21_F_a_4_8SB_NPUR_3,C21_F_a_4_8SB_NPUR_4,C21_F_a_4_8SB_NPUR_5,C21_F_a_4_8SB_NPUR_6mor,C21_F_a_4_8SB_Tot,C21_F_a_9mor_s_b_NPUR_1,C21_F_a_9mor_s_b_NPUR_2,C21_F_a_9mor_s_b_NPUR_3,C21_F_a_9mor_s_b_NPUR_4,C21_F_a_9mor_s_b_NPUR_5,C21_F_a_9m_s_b_NPUR_6mor,C21_F_a_9mor_st_bl_Tot,C21_F_a_AH_NPUR_1,C21_F_a_AH_NPUR_2,C21_F_a_AH_NPUR_3,C21_F_a_AH_NPUR_4,C21_F_a_AH_NPUR_5,C21_F_a_AH_NPUR_6mor,C21_F_a_AH_Tot,C21_F_a_Tot_NPUR_1,C21_F_a_Tot_NPUR_2,C21_F_a_Tot_NPUR_3,C21_F_a_Tot_NPUR_4,C21_F_a_Tot_NPUR_5,C21_F_a_Tot_NPUR_6mor,C21_F_a_Tot_Tot,C21_OD_CCH_NPUR_1,C21_OD_CCH_NPUR_2,C21_OD_CCH_NPUR_3,C21_OD_CCH_NPUR_4,C21_OD_CCH_NPUR_5,C21_OD_CCH_NPUR_6mor,C21_OD_CCH_Tot,C21_OD_IHTSO_NPUR_1,C21_OD_IHTSO_NPUR_2,C21_OD_IHTSO_NPUR_3,C21_OD_IHTSO_NPUR_4,C21_OD_IHTSO_NPUR_5,C21_OD_IHTSO_NPUR_6mor,C21_OD_IHTSO_Tot,C21_OD_H_f_a_s_o_NPUR_1,C21_OD_H_f_a_s_o_NPUR_2,C21_OD_H_f_a_s_o_NPUR_3,C21_OD_H_f_a_s_o_NPUR_4,C21_OD_H_f_a_s_o_NPUR_5,C21_OD_H_f_a_s_o_NPUR_6mor,C21_OD_H_f_a_s_o_Tot,C21_OD_Tot_NPUR_1,C21_OD_Tot_NPUR_2,C21_OD_Tot_NPUR_3,C21_OD_Tot_NPUR_4,C21_OD_Tot_NPUR_5,C21_OD_Tot_NPUR_6mor,C21_OD_Tot_Tot,C21_DS_ns_NPUR_1,C21_DS_ns_NPUR_2,C21_DS_ns_NPUR_3,C21_DS_ns_NPUR_4,C21_DS_ns_NPUR_5,C21_DS_ns_NPUR_6more,C21_Dwg_st_NS_Tot,C21_Tot_NPUR_1,C21_Tot_NPUR_2,C21_Tot_NPUR_3,C21_Tot_NPUR_4,C21_Tot_NPUR_5,C21_Tot_NPUR_6more,C21_Tot_Tot
501,0,0,78,520,386,44,29,13,0,997,115,99,34,30,17,10,292,15167,23575,9381,9430,3982,1617,63150,13802,24099,9243,9554,4080,1694,62464,2935,1316,323,160,44,27,4809,305,294,78,61,18,6,767,3241,1612,408,224,60,30,5577,435,174,46,13,3,4,670,65,31,8,4,0,0,104,13,18,0,0,0,0,30,12,20,0,0,0,0,32,23,14,3,7,0,3,51,545,256,54,23,12,5,891,430,229,22,31,10,4,724,29,14,6,0,3,0,54,20,22,9,3,0,5,57,479,265,33,35,13,10,831,99,58,20,14,4,6,200,18165,26287,9752,9847,4172,1742,69965
502,3,0,11,243,134,14,6,4,0,398,36,29,11,6,4,0,79,9085,14207,5174,4812,1975,946,36195,7948,13897,5312,5080,2171,1025,35441,2223,1237,180,67,22,10,3736,518,430,77,47,9,3,1085,2737,1665,256,113,31,13,4824,290,108,16,14,0,0,431,62,106,16,9,0,0,189,77,101,17,7,0,0,197,46,88,14,8,0,0,155,20,17,6,0,0,0,39,487,423,77,31,4,0,1017,258,109,4,7,0,0,387,11,5,0,0,4,0,16,9,0,0,0,0,0,8,273,115,6,10,0,6,415,24,16,0,0,0,0,45,11472,16118,5655,5231,2217,1047,41734
503,3,4,98,55,43,16,8,3,4,125,86,57,26,21,3,0,190,19543,22269,9130,9015,3521,870,64350,5850,11536,5880,7876,3120,734,34991,1929,1410,582,401,119,25,4461,2334,2554,1073,635,140,25,6767,4261,3960,1651,1033,263,50,11231,2420,1527,383,189,47,4,4566,3869,2370,554,220,41,13,7067,4423,3204,690,252,42,7,8624,2662,2497,642,229,35,9,6071,16,10,4,5,0,0,37,13387,9604,2270,894,175,35,26364,4,0,0,0,0,0,4,0,0,0,0,0,0,0,25,28,8,8,0,0,79,28,28,8,8,0,0,77,62,19,7,5,0,0,95,23592,25151,9817,9822,3554,822,72762
504,5,0,50,172,110,18,10,11,4,324,74,73,23,25,12,9,212,19416,29449,15222,14877,5826,3106,87896,16100,28021,15577,15384,6176,3276,84526,4201,2470,965,595,161,84,8471,1348,1053,385,206,45,24,3066,5547,3527,1350,801,208,106,11539,1109,582,134,56,14,0,1897,561,290,72,23,0,0,949,342,150,39,11,0,0,548,182,111,26,10,0,0,325,55,28,9,12,5,0,109,2249,1166,286,106,21,5,3826,141,68,0,0,0,3,215,4,0,0,0,0,0,7,14,8,9,3,0,0,41,163,82,19,5,0,6,269,51,32,23,13,0,0,117,24102,32816,17246,16313,6409,3391,100273
505,4,4,41,231,109,22,15,7,6,387,106,94,48,47,14,4,308,40825,62124,32767,34804,13357,5729,189600,28669,53794,30442,34419,13074,5472,165877,13375,9611,3577,2172,564,223,29523,2647,2778,1256,828,185,57,7752,16017,12390,4835,2999,753,282,37275,2793,1429,333,142,23,3,4725,766,477,107,23,6,3,1384,631,514,98,33,5,0,1284,60,70,22,4,0,0,159,88,55,15,14,12,10,194,4338,2545,572,223,47,18,7746,197,69,8,4,0,0,285,15,16,6,0,0,0,37,11,19,9,6,0,0,39,222,108,17,11,4,0,360,63,38,9,10,4,4,128,49311,68875,35877,37660,13877,5781,211386
506,12,13,179,217,135,49,32,16,15,461,147,126,69,51,24,21,428,38360,55186,29478,28448,12038,6611,170128,28861,47572,27341,29108,12235,6528,151648,8545,5641,2381,1527,543,248,18880,2767,2841,1070,655,165,74,7577,11315,8481,3453,2180,711,323,26458,2012,1138,441,287,75,23,3975,1345,796,201,80,10,4,2426,1181,895,179,56,11,0,2326,849,901,180,69,9,0,2009,94,64,26,15,8,10,213,5479,3794,1027,511,101,36,10952,379,180,8,5,0,4,579,12,0,6,0,0,0,18,50,61,21,13,8,3,155,439,245,30,19,7,7,753,115,63,27,18,9,0,239,46211,60154,31881,31827,13074,6904,190049
507,6,5,128,269,179,36,37,14,9,545,188,130,40,41,6,8,421,31768,46997,24421,25133,9736,4061,142115,24507,43687,24389,25908,10202,4267,132967,7117,4485,1442,929,230,69,14277,1858,1641,659,431,115,28,4727,8979,6126,2107,1354,340,97,19004,2157,878,182,62,10,0,3302,1387,722,164,63,6,0,2344,1564,1268,230,69,11,3,3143,300,231,34,10,6,0,584,76,76,27,27,9,3,213,5493,3175,632,228,47,8,9581,346,197,16,9,0,0,562,3,0,0,0,3,0,9,41,37,3,6,3,0,98,395,239,15,10,4,0,666,97,59,17,11,11,3,195,39468,53286,27162,27518,10603,4378,162413
509,3,0,146,398,232,25,27,11,3,701,136,151,47,35,28,15,409,13699,19127,6242,5913,2912,1452,49337,12861,18744,6046,5646,2809,1421,47530,1389,508,130,73,28,17,2147,85,43,8,8,3,0,144,1479,550,138,83,29,19,2297,109,32,6,5,3,0,154,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,3,11,15,0,0,0,0,34,121,49,9,6,3,5,192,317,135,14,4,6,4,472,35,16,3,5,0,0,59,28,23,9,0,3,0,66,378,176,23,12,5,4,602,113,88,22,18,3,9,248,14949,19610,6238,5764,2858,1451,50866
510,8,0,170,649,428,63,51,21,7,1217,139,86,21,12,9,6,282,5613,7109,3748,3998,1999,1471,23938,3538,5306,3229,3700,1896,1339,19013,1028,691,298,214,86,54,2374,276,235,90,54,29,10,689,1305,927,386,266,115,65,3064,359,207,58,33,10,5,677,95,69,12,3,0,0,173,58,38,10,9,0,0,114,85,42,8,4,0,0,137,4,0,0,0,0,0,9,601,354,85,46,13,7,1107,352,284,38,25,12,5,712,35,15,8,0,5,0,66,24,38,18,10,12,4,109,405,339,67,40,25,11,883,191,112,26,17,14,8,374,6039,7039,3795,4066,2068,1431,24437
511,12,10,159,671,366,55,44,20,13,1162,167,110,24,40,16,11,363,10728,13887,5756,5648,2637,1412,40069,8417,12498,5156,4971,2316,1226,34576,2020,933,290,177,55,30,3509,261,265,79,58,23,7,685,2283,1197,362,232,76,38,4191,439,136,41,18,9,0,647,16,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,4,0,0,0,19,465,150,37,18,9,0,681,465,312,40,16,15,13,860,29,24,5,0,0,3,59,35,27,13,12,4,0,89,522,360,59,32,17,19,1009,178,106,26,29,24,14,382,11867,14312,5646,5278,2440,1295,40843
