SA4_CODE_2021,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sam_BP_B_OS,C11_Sam_Fa_O_B_OS,C11_Sam_Mo_O_B_OS,C11_Sam_BP_B_Aus,C11_Sam_Birthplac_ns,C11_Sam_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_Tot_resp,C11_Tot_P_BP_B_OS,C11_Tot_P_Fa_O_B_OS,C11_Tot_P_Mo_O_B_OS,C11_Tot_P_BP_B_Aus,C11_Tot_P_Bplace_NS,C11_Tot_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS
501,991,7197,5480,49022,1531,64211,3,19,3,267,14,310,644,45,61,122,29,902,199,59,33,168,4,458,1522,441,316,753,45,3075,18769,7027,5445,37163,1621,70020,901,17,91,11,21,1039,327,55,49,250,8,685,1425,520,357,2707,83,5089,179,96,30,306,12,628,99,31,13,32,0,174,452,47,48,58,19,634,2825,1076,826,9243,329,14300,2675,1093,389,4414,182,8754,166,0,14,5,5,195,89,7,8,16,0,121,163,34,23,98,5,316,76,36,18,39,0,171,1271,163,101,34,43,1617,1110,416,267,90,37,1916,647,130,98,301,15,1184,161,19,29,42,3,260,34,9,8,0,0,47,3677,1406,1120,8205,242,14654,51,12,13,12,0,80,1172,64,71,28,17,1353,151,34,28,175,13,396,65,15,13,10,3,103,88,8,7,6,10,117,592,156,83,393,18,1244,3987,807,616,1120,122,6654,574,198,169,1878,7860,10675,37292,13160,9572,86768,11312,158106,1152,8149
502,534,3728,2928,23578,837,31598,0,3,9,142,8,164,412,24,25,75,17,559,146,45,22,95,5,312,949,233,164,335,34,1717,13797,3713,2893,17194,906,38499,479,8,57,17,19,578,184,28,19,138,7,376,752,200,186,1270,60,2473,63,42,8,94,0,206,75,17,3,29,3,123,311,29,16,24,7,385,1900,538,389,4070,168,7075,722,308,137,1098,53,2317,48,6,4,0,0,61,11,4,0,7,0,23,16,7,0,17,0,40,74,33,18,39,8,161,816,89,77,44,23,1037,624,185,121,28,24,981,236,39,32,118,0,426,88,15,21,31,4,159,100,5,5,0,3,116,2701,785,606,3648,175,7909,28,3,0,10,0,36,690,46,27,0,8,772,99,11,14,97,4,223,32,3,4,7,0,52,38,3,4,0,0,48,518,90,60,137,13,820,2328,418,274,473,76,3575,403,125,113,971,4736,6353,24277,6675,5057,40631,6653,83294,726,4532
503,1096,7050,5275,29204,709,43326,0,8,10,110,0,130,8004,230,299,187,137,8855,584,154,80,431,10,1271,1620,450,263,506,26,2866,19478,6190,4461,23740,822,54685,755,19,91,3,14,887,982,105,79,227,14,1413,2064,452,333,1912,44,4799,1084,324,150,792,19,2378,268,45,44,66,3,432,3319,168,114,97,55,3755,5780,1389,981,9087,269,17507,4330,1156,441,2681,138,8744,738,6,14,13,13,778,117,10,27,55,3,217,485,51,32,118,10,695,134,44,15,74,5,263,323,22,18,15,9,384,1097,289,198,41,22,1641,1127,149,91,261,32,1668,373,42,39,63,7,525,35,4,0,0,0,43,5085,1430,1018,7039,177,14746,396,30,13,40,16,493,1311,110,113,18,15,1566,488,40,50,103,9,689,420,40,35,19,0,523,1110,3,29,3,20,1171,725,148,86,309,15,1285,12725,1246,1017,1163,288,16440,815,124,115,720,10894,12677,64864,12901,9238,56157,13195,156350,1336,7489
504,2069,10077,7718,47799,1644,69310,7,45,24,607,57,739,5801,169,223,221,123,6527,1349,290,137,605,34,2416,2449,692,365,871,83,4460,29766,8921,6821,31906,1786,79199,2197,41,174,25,89,2526,764,85,84,237,26,1192,2317,604,430,2580,121,6052,762,243,94,513,26,1645,369,57,39,65,7,543,4470,225,166,152,82,5093,5131,1541,1060,8646,341,16716,6433,1896,854,4484,294,13960,242,0,9,11,0,272,187,45,15,18,8,268,626,88,38,149,27,936,419,112,58,159,13,761,1940,155,98,52,112,2364,1833,538,315,96,47,2815,1856,232,127,402,46,2662,305,37,32,66,19,460,123,12,15,0,0,151,6385,1812,1374,7223,325,17118,901,53,27,43,31,1050,1620,126,103,27,27,1904,429,59,38,134,30,688,484,49,32,21,11,597,3966,53,76,28,113,4230,911,191,162,386,32,1676,17266,1738,1173,1483,582,22235,1821,294,249,1806,12167,16336,89565,18530,13364,81419,17018,219894,2815,11330
505,4861,21101,16067,91592,2739,136352,0,49,24,639,55,769,11866,271,463,414,185,13200,2438,536,215,1114,62,4357,5049,1293,776,1591,116,8825,86620,17753,13943,60412,3526,182257,3195,77,306,39,92,3705,1661,188,158,525,51,2578,5532,1126,804,4723,211,12396,2592,687,295,1365,103,5038,887,133,51,112,22,1209,9102,338,251,240,167,10105,16521,3164,2278,18446,729,41138,13875,4049,1771,9199,556,29444,475,12,34,19,7,552,448,92,40,63,23,676,4388,520,275,910,136,6229,519,143,85,212,22,984,3714,343,253,55,141,4508,4172,1116,648,139,121,6195,3463,387,268,587,80,4790,903,64,88,149,15,1219,273,29,11,5,5,323,18019,3454,2714,14272,628,39092,1671,113,39,66,43,1928,8554,325,272,53,103,9297,1420,128,112,351,47,2063,761,94,60,40,8,966,7010,88,96,76,220,7491,3129,426,277,789,68,4692,40433,3354,2798,2888,1160,50630,4150,461,478,2839,21899,29834,228502,37778,27748,157831,31102,482951,6265,23074
506,3861,18831,14623,86885,2911,127118,3,68,30,1062,69,1234,27230,420,613,423,471,29158,994,264,143,581,33,2020,5774,1544,1032,2281,156,10787,62243,16916,13306,58970,3249,154689,4496,50,336,36,100,5019,1445,157,142,487,35,2266,4159,1065,757,4551,208,10736,755,231,117,503,29,1641,630,109,50,106,16,913,12616,384,248,225,204,13670,10732,2781,1950,16071,573,32109,7820,2467,1134,6416,361,18193,1627,8,38,17,31,1723,695,116,74,84,30,1007,185,39,27,144,3,398,401,141,55,149,9,752,3438,271,214,70,139,4137,3462,950,565,158,103,5246,2229,315,207,648,56,3454,614,62,60,133,12,881,379,23,8,9,24,437,12766,3472,2589,13388,534,32748,525,31,30,51,9,645,3587,228,162,68,66,4102,921,90,69,263,21,1367,1677,74,41,32,24,1846,1600,48,49,10,30,1728,2028,376,283,680,44,3413,42799,2983,2386,2797,1184,52144,3637,510,408,3095,24407,32049,194706,33159,25049,147653,33057,433627,5566,19793
507,3038,16875,12815,77538,2609,112871,3,29,25,493,23,569,12722,279,371,343,234,13953,3169,692,284,1189,100,5430,3735,1085,686,1549,89,7148,56905,14762,11784,53916,2911,140286,2943,44,255,21,92,3351,1283,156,149,456,32,2074,3749,953,677,4346,178,9902,638,203,89,530,24,1477,409,70,54,101,7,634,4269,240,154,110,83,4858,9284,2551,1821,15505,562,29716,9376,2820,1258,7314,422,21194,834,9,20,10,28,896,320,39,35,73,0,462,226,36,24,82,3,368,388,113,57,169,19,743,3592,350,226,86,101,4357,2879,752,537,135,77,4383,1586,250,185,412,24,2456,477,57,45,100,10,691,276,31,13,10,12,338,12713,3232,2377,12612,566,31503,1461,76,37,61,10,1648,3722,259,199,57,59,4294,1028,103,77,288,32,1524,658,67,24,27,15,784,584,27,21,8,12,637,1975,386,229,682,51,3327,21925,2746,2175,2569,604,30026,2098,420,351,2669,16593,22130,142391,30146,22179,134363,23662,352746,3904,18633
509,791,5508,4732,43966,1253,56248,0,14,4,499,35,543,520,16,44,119,27,721,133,38,15,160,5,351,1583,440,267,776,42,3103,14014,5601,4472,31806,1271,57164,963,9,72,13,31,1085,224,37,39,159,8,466,1158,335,325,2649,74,4544,88,36,18,122,0,266,89,21,15,15,3,148,268,29,22,33,4,357,1941,807,576,7070,193,10587,1091,487,196,1879,64,3716,43,0,8,10,0,56,5,3,5,17,0,29,30,8,7,33,0,81,58,18,10,19,4,108,706,109,85,41,49,993,755,288,200,40,22,1303,573,113,66,229,13,991,94,6,19,55,0,178,14,11,0,8,0,23,2901,1105,883,6833,187,11907,67,7,5,5,4,81,635,54,41,18,0,750,114,11,23,104,5,257,33,5,5,8,0,47,82,3,4,0,4,90,436,92,85,322,4,947,2989,589,470,970,107,5127,480,184,140,1674,6395,8873,27406,9915,7791,75259,9072,129439,912,5579
510,437,2772,2340,24844,815,31213,16,148,21,11127,96,11417,772,59,67,265,29,1196,148,50,26,74,10,309,605,238,134,304,17,1304,6719,2251,1880,13898,534,25277,912,16,81,40,27,1066,198,16,13,85,10,326,656,219,167,1529,67,2638,79,22,24,105,4,242,52,16,12,24,0,105,583,28,26,37,8,685,1631,412,351,4175,111,6680,455,253,105,882,33,1729,129,3,3,0,8,148,43,4,4,20,4,80,76,21,3,13,0,114,57,39,14,53,0,166,1158,80,95,35,30,1386,1017,191,155,38,21,1432,179,62,46,96,0,391,37,13,12,39,5,105,73,12,0,8,0,88,1958,507,381,3366,108,6314,56,3,0,12,3,71,500,29,32,14,0,576,117,17,7,49,4,202,65,11,6,0,4,81,67,8,0,0,0,73,234,52,30,155,3,466,3258,483,379,1123,94,5335,263,59,62,1166,15775,17328,18314,4949,3915,50108,17408,94682,572,2750
511,648,4328,3441,40141,1401,49961,0,31,20,3343,71,3466,476,36,42,163,19,741,237,72,32,175,10,515,889,299,194,461,34,1881,9849,3764,3092,25649,1057,43414,895,8,112,23,51,1096,220,19,20,152,10,412,958,312,264,2490,72,4096,91,45,22,128,0,291,90,23,14,35,0,170,583,42,27,42,9,701,1810,690,515,7161,218,10383,910,444,182,2077,81,3691,41,0,3,0,0,40,8,11,3,9,0,37,74,22,13,27,0,135,38,42,10,33,4,118,1828,124,117,54,88,2212,1046,254,190,52,34,1576,267,69,41,180,12,568,66,18,10,46,5,147,137,8,3,0,8,152,2575,895,635,5517,157,9776,51,6,8,8,0,74,926,39,39,10,10,1021,129,29,9,125,5,310,63,7,4,3,0,75,311,4,16,0,9,340,302,92,48,257,16,710,3709,533,455,1134,148,5979,473,162,117,1942,9898,12590,24216,7655,5871,69951,12663,120363,745,4216
