SA4_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
501,162,99,160,255,190,202,391,188,347,534,194,419,610,327,572,898,4,5,10,7,9,16,8,9,17,267,449,710,308,579,887,522,784,1303,6319,5439,11761,7707,7357,15068,7095,5635,12726,22366,22344,44709,25371,26420,51789,26444,26358,52802
502,108,63,127,192,97,141,238,78,184,264,118,325,440,209,365,575,4,4,7,10,3,11,8,0,8,121,262,383,192,454,647,317,507,816,3568,3287,6852,3725,3537,7259,3670,3141,6815,11129,11555,22683,12858,13768,26627,14070,14990,29061
503,489,291,381,677,267,341,606,312,505,811,348,647,993,482,692,1171,6,4,10,4,6,11,7,9,14,546,765,1311,648,1033,1681,751,1047,1797,6944,5949,12894,7168,6836,14008,5051,4199,9253,25809,26062,51868,28568,29087,57658,28540,29241,57783
504,423,314,361,679,409,458,864,308,631,939,466,857,1321,727,1136,1871,7,20,24,19,17,32,12,12,27,521,863,1383,796,1237,2036,1151,1601,2757,9651,7600,17245,10561,8973,19538,9160,6254,15418,33778,32423,66199,38784,38075,76865,41887,40149,82038
505,934,681,799,1482,807,900,1707,752,1266,2019,956,1818,2769,1468,2381,3849,28,15,46,27,30,59,25,27,49,1234,1764,2996,1665,2645,4309,2294,3308,5603,16802,15472,32275,16318,16459,32775,13317,11153,24466,72576,73590,146166,80634,83216,163849,84691,86376,171069
506,1063,904,851,1751,1081,1054,2136,687,1311,1996,980,1683,2661,1369,2050,3421,36,23,53,33,32,63,38,31,68,1224,1887,3113,1917,2561,4472,2484,3134,5626,18275,15424,33701,18430,16301,34734,15693,12783,28473,68312,66572,134888,77904,76668,154571,83140,82814,165955
507,682,375,490,869,507,565,1072,467,958,1423,652,1296,1947,1083,1672,2754,16,21,39,13,29,44,21,19,34,888,1253,2145,1045,1814,2861,1609,2252,3862,13003,11234,24234,15513,14093,29608,13050,9520,22568,52707,53424,106136,61817,63683,125500,66422,67175,133600
509,222,156,109,264,111,126,241,111,242,352,104,275,385,202,338,541,11,12,18,0,3,5,10,8,15,247,345,593,263,397,653,317,474,794,5623,4186,9810,7794,6294,14089,7478,5838,13318,17962,17292,35249,19730,18867,38591,19507,18967,38475
510,78,39,54,87,70,75,142,119,168,292,117,227,342,128,248,375,0,8,10,10,9,21,5,4,3,168,213,380,164,283,447,199,328,525,11936,5692,17626,9196,5612,14808,9088,6317,15407,19822,13709,33531,17717,14326,32043,18068,15782,33854
511,109,64,84,145,109,88,197,109,221,333,112,236,346,197,307,502,7,4,10,7,4,13,7,3,15,167,289,458,181,320,504,313,402,714,7502,5535,13036,7707,6387,14097,8689,6336,15032,18858,17511,36366,18898,18459,37358,19842,18272,38115
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,4,0,5,4,0,4,0,0,3,58,4,63,73,4,77,193,20,219,72,6,78,85,3,93,209,28,237
599,21,8,12,19,16,16,32,8,20,29,14,8,24,7,16,23,0,0,0,0,0,0,0,0,4,16,30,49,21,18,40,23,34,55,920,455,1372,981,603,1588,2227,1260,3489,1210,738,1950,1221,834,2052,2535,1623,4160
