RA_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
RA50,24624,11995,12595,24588,12281,12723,25000,12299,12667,24965,11915,12414,24329,60572,62939,123506,11661,12205,23867,11217,12036,23249,10772,11687,22461,10502,11276,21771,10124,11053,21182,54271,58262,112534,10278,11050,21326,9600,10876,20477,9221,10508,19734,9139,10166,19304,8929,9816,18747,47175,52411,99586,8782,9437,18220,8479,9224,17699,8104,9100,17205,8153,8698,16850,8475,9139,17614,41995,45591,87588,6571,7015,13582,6139,6652,12790,5883,6432,12319,5028,5681,10714,5046,5590,10634,28670,31365,60035,18745,23047,41789,10217,14561,24777,4344,7671,12011,1022,2316,3339,84,350,432,1029106,1058569,2087667
RA51,3163,1571,1590,3162,1603,1630,3232,1622,1654,3284,1571,1672,3247,7963,8115,16078,1664,1761,3422,1561,1642,3200,1626,1643,3275,1473,1687,3155,1549,1514,3064,7871,8246,16116,1596,1607,3206,1405,1507,2917,1460,1409,2867,1369,1457,2825,1396,1342,2740,7226,7333,14557,1408,1377,2782,1322,1338,2657,1362,1219,2579,1261,1200,2461,1358,1304,2660,6708,6428,13140,988,973,1959,924,929,1849,868,864,1735,723,722,1446,714,726,1439,4212,4221,8431,2547,2752,5300,1216,1632,2840,476,799,1274,108,220,328,10,23,35,116314,115138,231450
RA52,2535,1281,1249,2533,1315,1280,2598,1425,1367,2788,1356,1385,2743,6665,6539,13205,1407,1370,2776,1313,1278,2598,1343,1365,2708,1287,1253,2545,1304,1205,2520,6659,6476,13137,1314,1240,2557,1246,1175,2418,1179,1117,2299,1154,1163,2315,1107,1135,2240,5991,5835,11825,1127,1023,2150,1091,988,2075,1019,963,1981,1006,927,1931,1013,943,1962,5251,4842,10098,774,791,1563,771,692,1460,717,686,1402,603,599,1204,629,629,1257,3498,3398,6893,2190,2332,4516,1137,1415,2560,445,643,1085,92,182,273,8,31,37,93046,91191,184237
RA53,1083,610,512,1123,646,515,1158,599,517,1115,588,499,1092,3019,2558,5573,636,479,1113,572,478,1048,497,442,932,514,405,914,524,400,922,2738,2195,4930,445,392,840,438,355,790,368,317,683,352,273,627,310,314,624,1909,1654,3560,332,285,609,292,220,508,295,244,538,280,230,512,280,221,505,1477,1199,2673,195,158,357,198,177,375,176,176,350,138,163,303,162,139,303,875,814,1686,532,504,1030,250,293,543,104,124,223,14,28,39,0,3,4,45432,42002,87426
RA54,821,432,305,735,433,331,762,442,306,751,437,327,763,2235,1592,3832,422,310,740,428,287,718,371,302,670,351,249,599,327,276,602,1898,1426,3330,310,249,560,259,172,434,241,158,397,253,158,411,219,142,364,1279,883,2164,217,158,375,171,122,298,141,120,264,130,110,243,135,94,229,795,612,1411,116,99,211,109,79,187,84,74,156,73,72,141,92,63,155,471,383,855,239,196,434,75,85,157,20,45,68,5,15,29,3,0,5,33874,26800,60672
RA55,4,10,0,10,0,0,0,11,0,11,4,0,4,26,0,26,11,0,12,10,0,10,6,3,7,5,0,8,0,0,0,27,3,34,4,0,4,0,0,4,5,0,3,0,0,0,5,0,3,9,3,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,58,514
RA59,133,55,47,105,41,49,89,63,45,110,69,46,114,330,226,552,99,64,172,47,37,84,65,49,117,64,45,107,66,48,116,339,250,588,69,64,128,61,47,111,40,27,67,51,37,91,49,32,83,268,204,478,50,39,86,37,29,71,31,14,45,28,17,48,24,7,37,176,112,281,25,14,41,27,10,36,20,4,17,10,4,13,6,0,7,88,26,114,29,15,42,7,12,17,3,9,13,4,0,4,0,0,0,4639,3416,8055
