RA_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
RA50,3154,2189,1751,427,723,151,8395,733,352,385,87,158,22,1732,1293,689,719,182,383,56,3332,1114,699,676,182,348,41,3056,1874,1361,1044,378,668,81,5411,2639,2293,1502,673,901,116,8130,3859,4313,2098,947,1236,169,12612,5249,6839,2645,1432,1528,242,17946,6140,9197,2634,1562,1398,224,21150,7294,12024,3312,1755,1386,229,26006,5568,10552,2594,1215,949,194,21069,8598,16411,5045,1790,1369,280,33494,3785,8013,2059,670,503,101,15133,2742,6360,1683,513,329,63,11687,5159,11091,3436,860,681,109,21335,6458,13858,4894,905,828,132,27077,2698,5685,2104,396,314,47,11251,2265,5253,2061,260,289,45,10165,4024,5738,2924,829,1036,204,14750,74652,122923,43570,15068,15022,2503,273740
RA51,400,150,123,42,58,13,782,130,43,32,12,17,4,237,253,90,72,24,48,4,488,181,90,67,27,62,5,439,332,196,115,76,89,10,820,464,378,156,123,145,9,1271,661,699,232,180,138,16,1929,794,982,347,238,176,25,2556,772,1195,323,212,136,26,2665,914,1454,395,226,126,8,3124,575,1037,278,113,72,9,2090,885,1521,501,160,116,14,3198,355,719,181,53,36,3,1343,244,443,106,47,15,5,860,621,909,312,78,61,3,1987,689,967,358,70,48,3,2136,281,281,164,26,24,3,775,207,199,77,15,16,3,517,516,474,253,113,70,18,1453,9279,11836,4095,1835,1450,182,28679
RA52,324,167,88,31,51,10,672,90,34,22,13,11,3,178,200,95,48,30,32,7,414,162,109,49,29,47,9,397,354,279,120,84,84,12,928,451,407,125,107,79,10,1181,560,582,193,136,101,9,1580,607,773,207,153,114,11,1861,544,851,196,106,77,12,1780,547,782,221,112,72,17,1738,302,580,126,60,29,4,1103,521,853,247,77,58,9,1768,174,329,85,15,5,3,616,103,193,44,17,5,3,366,260,397,157,29,21,0,860,338,421,151,32,18,0,961,123,130,58,6,10,4,340,93,95,60,10,7,0,258,388,328,162,56,66,9,1010,6135,7396,2355,1091,900,126,18010
RA53,115,89,37,11,13,0,269,28,24,5,4,8,0,62,50,44,18,7,20,0,135,57,49,9,4,6,0,122,96,90,29,7,15,4,248,112,130,32,24,12,0,307,148,154,36,29,15,4,394,158,185,45,30,17,4,436,151,200,37,17,6,0,405,137,232,41,18,8,0,432,86,171,42,24,13,0,344,180,240,58,22,10,10,518,53,129,22,12,5,0,219,51,96,14,7,5,0,172,88,189,40,24,13,0,355,155,254,58,24,10,0,510,78,103,20,8,4,3,213,47,63,24,5,3,0,149,116,133,42,18,8,3,326,1912,2572,601,283,195,38,5607
RA54,40,24,10,0,3,0,80,4,4,4,0,0,0,11,17,14,4,8,8,0,51,30,10,4,0,0,0,57,27,31,13,8,0,0,79,37,24,18,3,5,0,89,43,49,15,13,5,3,115,36,45,5,8,7,0,108,23,27,13,5,0,0,72,31,45,14,3,8,0,100,21,31,9,4,0,0,56,60,58,17,10,0,0,146,21,18,0,0,6,0,44,10,20,3,0,0,0,33,31,25,13,5,0,0,82,43,39,11,0,8,0,103,21,16,12,3,0,0,48,23,20,11,0,0,0,55,36,28,15,7,0,0,89,560,534,162,86,60,10,1420
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
