RA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
RA50,123791,249280,153037,125733,130606,83179,72304,90560,17292,1045782
RA51,12587,15733,19721,12230,11257,8545,10485,13414,1888,105860
RA52,13190,12232,13825,9417,8715,6313,8756,10813,1442,84694
RA53,7741,5988,7762,4010,4635,2515,4488,4703,903,42735
RA54,3258,3489,4684,2724,2238,1051,4114,3087,643,25289
RA55,9,33,83,9,10,0,31,98,6,277
RA59,107,257,272,223,150,77,213,292,33,1614
