RA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
RA50,210984,415995,4187,23735,24955,113803,6261,28182,144246,549412,179650,715130,13194,55002,22342,76630,42329,133551,77860,265184,257513,980311,1209,5628,6055,20646,2952,10554,32841,85846,43058,122677,3806,12027,8585,19390,29739,64216,42117,95637,85179,218316,9110,19141,562783,1633763
RA51,27480,53743,482,2615,2509,11146,980,4251,13517,52346,17485,70360,1071,4241,1647,5089,4419,13386,7135,22715,24619,93078,136,601,708,2336,409,1424,3927,10498,5172,14865,284,860,674,1420,3013,6308,3966,8590,9141,23456,626,1300,61871,171576
RA52,21650,42408,343,1885,1682,7451,671,3009,10381,40531,13071,52882,629,2463,1080,3210,3106,9462,4816,15135,17891,68016,91,420,499,1741,352,1257,2945,8121,3889,11538,198,628,502,1043,2346,4955,3045,6629,6938,18166,620,1296,47101,129879
RA53,8279,16086,150,764,888,3740,279,1249,6138,24123,7453,29873,211,804,443,1221,1072,3315,1728,5336,9185,35213,38,204,200,708,144,551,1203,3360,1587,4819,50,160,194,385,726,1570,972,2112,2557,6929,263,554,20280,58791
RA54,4094,8099,82,467,332,1500,259,1382,3067,12172,3738,15531,73,266,154,412,497,1627,724,2307,4465,17835,34,192,117,460,210,966,1094,3269,1460,4884,38,103,87,180,643,1573,764,1864,2226,6745,312,751,11089,33426
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
