RA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
RA50,30331,19867,13018,7832,2796,559,100784,817,8238,10486,9637,7511,4448,1369,226,42737,21142,80667,79778,55270,35629,23984,9348,2338,308147,9853,28734,35054,33178,28075,19638,8614,2316,165457,30850,60698,55603,50177,44133,28277,12486,3360,285587,10386,4689,3384,2718,2256,1519,572,113,25646,2181,3185,4643,6137,5936,4740,2429,788,30028,43418,68576,63629,59025,52329,34536,15489,4264,341260,939,1985,2504,2294,2102,2275,1566,548,14213,13145,21151,19472,16733,14654,13300,11886,8288,118633,91018,234021,241256,196004,153310,106013,51067,18542,1091231
RA51,870,786,718,593,225,29,3778,42,404,722,799,706,479,125,18,3294,590,3396,4641,4188,3173,2458,973,212,19633,450,1882,2870,3354,3434,2623,1050,226,15884,4011,7688,8352,8216,7453,4819,1722,348,42614,1465,674,491,427,395,263,77,20,3806,223,304,530,738,780,670,266,58,3571,5693,8662,9376,9383,8626,5758,2060,425,49988,55,137,194,200,235,285,171,47,1325,2037,2352,2526,2862,2758,2573,1894,920,17916,8903,17351,21198,21573,19657,14761,6496,1884,111819
RA52,701,588,513,372,128,19,2927,35,352,476,537,501,344,81,16,2352,618,2877,3263,2849,2272,1642,597,136,14243,358,1430,1977,2252,2500,1923,740,157,11338,2883,6028,5592,5637,5373,3383,1243,289,30442,1221,615,420,382,321,185,59,6,3202,160,233,349,525,576,483,191,50,2575,4263,6874,6360,6544,6272,4057,1500,348,36217,43,108,119,169,147,196,122,45,951,2076,2292,2482,2719,2842,2708,1923,940,17980,7449,14491,15385,15652,15044,11237,5081,1661,85998
RA53,423,276,170,84,19,0,1411,19,277,343,246,174,76,14,4,1158,301,2171,2040,1305,761,351,136,28,7096,149,887,1300,1115,908,425,154,34,4969,1190,3545,3510,2695,1984,906,245,43,14119,452,298,250,154,101,39,14,0,1312,63,132,193,226,208,112,40,6,996,1711,3983,3950,3076,2295,1063,299,52,16430,27,52,69,74,77,45,26,10,385,1476,2213,2125,1937,1654,1020,544,184,11150,3707,10000,10255,8024,6044,3061,1193,312,42594
RA54,240,144,130,50,6,0,864,8,143,117,121,97,44,0,0,527,253,1408,921,628,446,174,45,5,3879,92,597,638,533,479,227,56,9,2637,698,2299,2165,1664,1268,495,125,10,8725,273,235,165,103,80,21,6,0,884,56,120,135,114,118,55,18,0,614,1027,2649,2467,1881,1468,567,146,10,10221,13,37,29,31,24,6,5,4,147,1574,2719,2305,2013,1606,735,299,61,11316,2980,7826,6713,5348,4250,1816,566,88,29592
RA55,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3,4,14,13,8,10,0,0,0,39,0,7,11,4,0,4,0,0,35,8,26,39,15,7,0,0,0,100,4,4,0,0,0,0,0,0,4,0,6,4,0,3,0,0,0,7,10,29,36,21,9,0,0,0,117,0,0,3,4,0,0,0,0,11,22,49,74,49,21,3,0,0,224,38,97,145,92,48,15,0,0,428
RA59,32,11,25,15,0,0,148,0,15,17,14,15,12,0,0,77,54,221,131,58,60,35,8,0,563,18,79,71,50,77,35,8,0,335,81,191,203,162,158,129,13,0,946,33,22,15,10,7,4,0,0,85,3,11,6,14,23,14,0,0,66,115,224,224,185,195,147,13,0,1105,6,10,0,8,10,6,0,0,32,339,659,809,752,507,257,72,22,3407,529,1270,1293,1073,876,505,105,20,5668
