RA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
RA50,37,1907,860,350,2260,0.8,1865,2.6
RA51,43,1712,744,310,1927,0.7,1525,2.5
RA52,43,1495,767,260,1939,0.7,1475,2.4
RA53,36,1660,1113,250,2571,0.8,2144,2.5
RA54,35,1502,996,120,1880,0.9,1709,2.7
RA55,40,1733,2123,0,1375,0.7,2250,1.7
RA59,40,0,420,0,0,0,0,0
