RA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
RA50,227,1442,29,24817,142,41,70,124,120,184,63,107,75,532,13279,14738,128,28,99,89,32,61,11,62,46,955,1010,2518,45672,9785,1446,30458,3622,20315,1835,14983,2363,65387,15115,210984
RA51,42,142,9,2013,24,9,0,19,13,31,4,17,8,81,1994,2197,34,11,15,22,5,18,0,7,0,160,179,449,4279,1368,277,3833,472,2436,315,2013,421,9723,2339,27480
RA52,14,92,0,1753,21,5,3,23,9,21,3,22,8,65,1529,1706,32,16,16,23,4,8,3,12,9,143,158,419,4298,1163,261,3162,396,1919,259,1516,315,6531,1840,21650
RA53,16,29,5,1404,11,0,6,13,7,10,3,0,3,20,729,803,19,8,6,10,0,3,0,0,0,41,65,150,2776,344,108,1290,213,733,75,391,94,1413,839,8279
RA54,5,4,0,522,9,4,6,3,0,3,3,0,4,14,340,389,3,0,11,3,6,0,0,5,0,32,51,118,1324,150,89,462,108,377,40,152,54,911,425,4094
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
