RA_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
RA50,172105,99402,109690,109212,89368,65232,37584,14113,3361,700074,16565,16772,20404,22625,24585,28018,27546,15032,4719,176262,920,1752,2781,3764,5556,8492,11788,8577,3045,46667,39,135,322,727,1702,3837,6606,6387,2766,22526,17522,18658,23507,27117,31845,40349,45936,29993,10529,245454,13939,10221,13926,13378,12126,9264,5648,3303,1773,83581,203568,128278,147123,149710,133337,114846,89170,47410,15662,1029106,166582,88372,108199,108546,88280,66870,41887,15502,4689,688933,12179,22593,27723,27313,28374,30562,29719,18189,7807,204462,786,3678,5769,6283,8022,10872,13060,9774,5078,63310,46,294,703,1422,2896,5304,7440,6829,4418,29348,13011,26561,34189,35012,39295,46726,50224,34793,17305,297117,13179,9006,10892,9834,9097,7599,5897,4122,2897,72515,192769,123943,153281,153391,136666,121194,98001,54408,24896,1058569,338690,187772,217885,217757,177643,132106,79475,29618,8057,1389006,28741,39365,48131,49933,52959,58572,57266,33226,12529,380727,1701,5426,8543,10046,13582,19365,24845,18352,8121,109978,82,427,1022,2148,4598,9139,14051,13213,7185,51869,30530,45217,57698,62129,71136,87080,96157,64791,27836,542570,27121,19227,24819,23211,21225,16855,11539,7423,4671,156093
RA51,17803,9140,8116,9254,9716,8305,5602,2043,396,70382,2330,1681,1765,2233,2866,3767,4221,2044,523,21432,129,194,282,399,735,1283,1852,1177,379,6422,8,18,45,99,232,610,1040,892,293,3239,2460,1898,2090,2732,3828,5665,7118,4110,1194,31093,2048,1643,2395,2485,2371,1864,1212,607,218,14837,22315,12683,12603,14470,15915,15831,13931,6760,1810,116314,17152,7664,7908,9710,9623,8415,5493,2014,471,68454,1560,2171,2628,2927,3539,4156,4163,2271,860,24271,108,372,534,814,1165,1648,1903,1181,546,8273,7,40,82,226,465,823,1135,840,502,4109,1670,2580,3247,3964,5168,6628,7201,4285,1901,36651,1903,1132,1090,1202,1338,1322,1073,674,301,10035,20729,11377,12248,14876,16134,16363,13762,6973,2676,115138,34962,16807,16024,18964,19339,16719,11094,4055,871,138832,3885,3852,4390,5165,6402,7925,8388,4311,1382,45706,231,571,813,1211,1899,2928,3754,2364,922,14694,15,57,122,322,692,1432,2178,1730,796,7343,4134,4477,5329,6699,9001,12291,14317,8400,3100,67745,3952,2769,3488,3683,3709,3182,2278,1280,518,24869
RA52,13738,7165,7104,7000,7364,6818,4432,1546,394,55555,1635,1371,1472,1746,2210,3216,3216,1743,520,17124,78,172,220,274,610,1068,1458,1016,300,5194,4,11,36,56,219,569,906,744,292,2827,1715,1554,1725,2076,3038,4846,5580,3497,1109,25144,2169,1356,1657,1688,1765,1651,1231,642,179,12341,17620,10078,10485,10765,12168,13319,11243,5682,1681,93046,13435,6006,6468,6978,6974,6400,4135,1580,439,52409,1101,1718,2066,2170,2596,3261,3074,1824,671,18492,86,323,467,547,908,1253,1489,1006,473,6554,3,23,63,169,378,770,897,708,417,3429,1192,2068,2600,2884,3887,5282,5458,3543,1559,28469,2045,1151,1181,1285,1358,1330,1083,608,278,10311,16667,9228,10247,11148,12213,13017,10676,5725,2272,91191,27168,13174,13571,13980,14337,13225,8569,3123,831,107967,2738,3090,3539,3918,4804,6479,6296,3566,1191,35611,164,498,690,825,1521,2315,2943,2027,773,11745,9,32,96,224,598,1337,1801,1446,707,6259,2904,3625,4325,4957,6925,10130,11035,7046,2667,53615,4217,2506,2836,2974,3122,2986,2319,1245,456,22652
RA53,7741,3174,4425,4695,3818,2886,1350,402,86,28577,637,486,717,892,1039,1286,906,400,116,6475,28,43,96,129,217,387,380,242,62,1583,0,3,9,30,61,174,250,147,48,726,666,529,827,1054,1316,1848,1537,777,225,8786,1571,926,1272,1289,1212,1014,500,219,58,8062,9981,4631,6525,7038,6343,5758,3385,1405,368,45432,7522,2696,4559,4284,3181,2408,1070,382,83,26174,488,553,1034,1059,1114,1081,821,394,133,6693,25,85,180,243,279,383,346,202,86,1829,0,6,32,43,129,198,214,139,66,830,520,647,1241,1348,1525,1669,1384,736,286,9348,1428,711,1077,1035,869,683,399,190,80,6474,9471,4050,6881,6663,5574,4755,2853,1313,447,42002,15261,5873,8978,8974,6995,5294,2418,785,173,54756,1128,1046,1754,1950,2150,2370,1728,797,251,13171,50,127,274,379,498,769,727,441,146,3411,0,11,40,70,192,371,466,283,110,1552,1182,1179,2070,2400,2837,3514,2922,1515,506,18138,3000,1632,2353,2323,2075,1697,895,415,137,14533
RA54,4635,2516,3985,3404,2792,1957,808,219,36,20351,304,264,474,580,669,817,520,182,25,3840,12,19,55,82,165,245,218,89,19,901,4,3,9,20,52,110,132,80,9,413,322,286,536,678,887,1172,874,351,52,5164,1173,889,1797,1573,1367,1011,399,138,21,8360,6129,3691,6320,5656,5044,4137,2079,709,111,33874,4374,2278,3360,2529,1882,1455,556,153,27,16607,222,306,566,594,620,625,409,191,44,3570,9,52,114,144,216,236,166,71,23,1027,0,9,15,30,82,149,121,64,20,492,229,364,698,775,918,1009,691,326,82,5089,1153,622,971,764,646,555,256,103,37,5105,5761,3261,5020,4069,3442,3019,1496,577,147,26800,9013,4796,7342,5927,4673,3411,1363,372,60,36959,526,565,1042,1177,1282,1445,929,370,67,7414,22,72,162,223,382,478,382,160,39,1926,5,11,26,50,134,256,252,141,30,909,548,651,1237,1456,1803,2183,1562,675,137,10246,2328,1510,2760,2342,2012,1564,650,243,57,13466
RA55,0,15,54,74,46,23,0,0,0,216,0,0,5,11,8,7,4,0,0,32,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,5,12,7,13,4,0,0,43,0,14,44,70,43,20,4,0,0,204,0,30,99,157,103,55,14,0,0,455,0,0,5,4,5,5,3,0,0,33,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,8,3,3,8,0,0,0,0,20,0,13,14,11,9,3,4,0,0,58,0,21,60,80,54,24,5,0,0,247,0,3,3,14,8,7,3,0,0,41,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,3,17,7,13,4,0,0,43,0,22,46,76,51,27,3,0,0,226
RA59,265,174,316,288,197,188,143,14,4,1594,28,59,92,78,84,89,86,27,0,534,0,10,17,22,23,30,39,12,4,152,0,3,0,8,15,22,26,11,0,79,27,64,105,107,126,139,148,44,4,768,101,176,396,530,514,334,158,50,10,2281,389,414,822,926,842,667,444,118,14,4639,267,153,322,211,144,182,97,11,0,1386,15,68,82,84,61,80,74,7,5,488,0,11,17,26,23,35,37,4,5,163,0,0,0,9,15,16,20,0,0,67,15,81,108,118,102,133,130,12,5,713,93,172,267,281,223,162,87,14,12,1315,380,410,692,613,468,477,316,38,16,3416,538,328,636,499,341,374,233,27,4,2976,45,125,176,162,148,166,159,30,4,1018,0,19,36,45,48,66,72,18,6,318,0,3,4,17,32,39,41,10,0,147,44,145,211,229,224,271,282,63,13,1482,190,352,661,811,748,503,245,69,15,3591
