RA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
RA50,27121,19227,24819,23211,21225,16855,11539,7423,4671,156093,396337,252219,300403,303100,270009,236044,187175,101828,40566,2087667
RA51,3952,2769,3488,3683,3709,3182,2278,1280,518,24869,43044,24058,24852,29343,32047,32193,27697,13733,4482,231450
RA52,4217,2506,2836,2974,3122,2986,2319,1245,456,22652,34282,19297,20730,21911,24378,26343,21921,11411,3958,184237
RA53,3000,1632,2353,2323,2075,1697,895,415,137,14533,19447,8681,13402,13702,11917,10505,6236,2719,815,87426
RA54,2328,1510,2760,2342,2012,1564,650,243,57,13466,11890,6952,11339,9719,8486,7161,3574,1286,258,60672
RA55,0,22,46,76,51,27,3,0,0,226,0,42,116,170,109,62,18,0,0,514
RA59,190,352,661,811,748,503,245,69,15,3591,772,820,1512,1543,1313,1144,758,155,30,8055
