RA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
RA50,6978,10530,5924,6196,6549,2401,1889,2042,509,43018,10667,11027,10713,15994,11741,4998,3654,4057,881,73725,18813,10938,79253,30949,21728,11097,17183,16283,3233,209473,1126,735,1903,2866,2951,2695,1499,2828,178,16780,1900,1435,1939,3500,3931,1781,1331,1677,228,17716,1062,1990,1052,1051,1143,533,548,725,152,8255,1525,2316,1912,2407,2106,1256,1276,1745,2376,16926,96529,234037,119061,90176,83846,37096,34704,39622,11117,746189
RA51,744,946,486,635,531,242,201,236,48,4068,1005,891,963,1431,964,378,287,442,86,6451,2732,1263,12152,4066,2879,1511,3221,2787,511,31130,184,88,325,388,399,399,231,509,23,2541,256,126,208,416,393,228,199,277,31,2132,95,142,75,69,89,40,51,106,12,676,254,173,224,289,202,190,243,299,263,2143,8386,14744,15398,8824,6889,3521,4736,5496,1118,69113
RA52,722,696,279,445,394,142,119,178,38,3013,867,677,507,1170,750,270,226,330,57,4860,2626,939,8366,2941,1993,1093,2329,2135,323,22745,196,83,240,331,386,330,236,397,24,2223,275,91,152,277,288,140,149,231,17,1611,106,91,56,56,53,34,37,69,12,511,282,144,180,228,156,135,184,302,176,1792,7740,11380,10344,6577,5036,2461,3566,4253,755,52110
RA53,349,292,188,169,174,73,77,66,16,1399,541,356,352,531,428,111,130,166,29,2650,1572,536,4813,1019,1074,394,1280,1015,263,11965,113,43,127,131,215,103,110,155,19,1010,142,58,74,111,125,56,71,75,7,714,48,35,40,23,29,15,30,44,10,278,137,85,130,90,101,49,106,172,119,996,4567,5556,6200,2691,2895,1018,1945,2020,539,27435
RA54,156,146,107,123,77,35,80,53,12,787,244,191,181,272,190,45,159,109,20,1407,692,328,2982,610,535,157,1157,644,167,7269,58,60,71,106,74,46,105,111,16,632,63,31,30,69,52,21,59,56,11,388,19,8,13,7,10,0,14,23,9,103,74,78,75,96,50,50,121,109,89,739,2112,3066,3758,1709,1325,466,1865,1400,369,16066
RA55,0,4,7,0,0,0,0,0,0,11,0,0,5,0,0,0,0,4,0,17,4,6,50,0,0,0,15,15,3,100,0,0,0,0,0,0,0,6,0,5,0,0,4,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,3,4,33,67,9,3,0,18,60,6,199
RA59,10,12,4,12,3,0,3,13,0,52,10,17,20,27,17,4,7,21,0,121,13,26,164,51,33,19,49,63,5,421,0,0,4,7,0,5,6,17,0,43,0,0,0,3,4,0,5,5,0,21,0,0,0,0,4,0,0,0,0,13,6,0,3,0,4,0,3,6,3,32,80,233,220,161,97,42,89,176,23,1126
