RA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
RA50,37987,267872,303339,98234,53108,760537,9225,769764
RA51,2690,25245,32595,13199,8302,82033,1389,83418
RA52,2864,21402,25349,10407,6567,66590,1277,67865
RA53,1263,8033,11101,4469,2876,27735,638,28374
RA54,2308,5307,4398,1588,1061,14660,643,15302
RA55,0,0,0,0,0,3,0,3
RA59,0,0,0,0,0,0,0,0
