RA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
RA50,11457,11441,22896,17824,13816,31641,139,76,215,31,15,48,2029,1688,3717,345808,303119,648923,20264,25939,46207,5259,178,5434,2530,253,2778,5289,1508,6798,11722,2881,14606,8370,7939,16311,430714,368855,799572,6774,6559,13337,12,7,24,0,4,5,4649,4236,8882,662,919,1588,500,189,688,12593,11919,24517,23,6,32,8,8,15,769,779,1548,490,888,1376,696,400,1102,1988,2083,4070,4453,2206,6658,19033,16214,35245,2157,2551,4706,527,263,787,265,103,363,2940,2916,5858,34702,44628,79327,53002,68689,121690,2429,1668,4091,542823,502963,1045782
RA51,51,52,104,1232,309,1547,7,4,14,0,6,6,72,69,141,34716,33219,67928,2787,2602,5384,865,41,906,179,21,202,429,167,601,1330,341,1666,1417,1247,2658,43083,38073,81159,19,12,29,0,0,0,0,0,0,71,85,159,8,8,15,0,0,0,99,107,203,0,0,0,0,0,0,234,65,302,26,29,49,73,15,89,335,106,435,597,231,824,1022,440,1464,33,26,60,74,14,88,27,9,32,134,47,181,3194,4699,7893,7045,7410,14454,417,297,709,54896,50968,105860
RA52,12,7,18,859,266,1120,15,4,22,5,0,5,82,89,173,29010,26366,55372,2286,2361,4653,728,34,760,249,44,290,351,129,479,745,243,989,1745,1469,3217,36096,31002,67101,9,4,8,0,0,0,0,0,0,13,7,19,0,3,3,0,0,0,19,14,31,0,0,0,0,0,0,92,25,124,26,14,39,23,10,37,143,52,191,375,209,583,534,277,807,6,3,6,39,3,40,34,6,40,72,14,84,3055,3554,6612,4555,4930,9481,354,260,608,44661,40035,84694
RA53,9,8,20,508,152,662,9,0,14,0,5,8,44,42,86,14942,12317,27256,1137,1119,2258,353,13,361,224,66,290,289,199,493,443,155,594,1131,1151,2285,19103,15223,34327,5,0,7,0,0,0,0,0,0,7,6,12,0,0,0,0,0,0,10,10,23,0,0,0,0,0,0,29,13,43,5,10,18,20,0,26,52,32,83,224,99,321,289,135,429,3,0,7,6,0,6,20,5,21,35,8,40,1342,1726,3075,2246,2275,4513,219,137,361,23224,19509,42735
RA54,15,7,26,1948,441,2390,11,4,10,0,0,0,37,15,54,6088,4841,10929,987,712,1704,221,20,237,79,30,106,182,178,360,1148,308,1455,1533,1876,3411,12244,8428,20666,3,0,5,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,46,30,74,10,5,17,85,14,98,146,50,193,242,102,346,391,153,549,0,3,5,47,8,58,22,4,22,72,19,90,585,697,1277,1263,1048,2312,234,160,392,14786,10502,25289
RA55,0,0,0,39,0,38,0,3,3,0,0,0,0,0,0,13,0,13,3,0,3,0,0,0,0,0,0,0,0,0,138,20,155,32,8,34,228,26,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,9,5,11,10,5,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,246,29,277
RA59,12,6,22,65,25,86,0,0,0,0,0,0,11,3,11,302,239,536,76,56,134,10,3,13,3,0,3,14,11,23,54,13,72,91,111,201,629,470,1098,4,6,10,0,0,0,0,0,0,4,4,7,0,0,0,0,0,0,8,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,3,4,11,7,15,19,20,44,4,0,7,0,0,5,0,0,0,8,3,10,54,52,108,176,158,334,7,8,17,899,715,1614
