RA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
RA50,396337,252219,300403,303100,270009,236044,187175,101828,40566,2087667
RA51,43044,24058,24852,29343,32047,32193,27697,13733,4482,231450
RA52,34282,19297,20730,21911,24378,26343,21921,11411,3958,184237
RA53,19447,8681,13402,13702,11917,10505,6236,2719,815,87426
RA54,11890,6952,11339,9719,8486,7161,3574,1286,258,60672
RA55,0,42,116,170,109,62,18,0,0,514
RA59,772,820,1512,1543,1313,1144,758,155,30,8055
