RA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA50,153310,106013,51067,18542,1091231
RA51,19657,14761,6496,1884,111819
RA52,15044,11237,5081,1661,85998
RA53,6044,3061,1193,312,42594
RA54,4250,1816,566,88,29592
RA55,48,15,0,0,428
RA59,876,505,105,20,5668
