RA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
RA50,34674,5387,40566,356288,122816,14918,494018,1101410,95897,1691327
RA51,3817,628,4482,35841,13347,2040,51223,120106,17078,188402
RA52,3330,595,3958,26375,9317,1455,37148,97293,15510,149948
RA53,670,143,815,14185,3745,809,18734,38862,10385,67980
RA54,185,57,258,8077,3419,1027,12522,25709,10546,48779
RA55,0,0,0,40,5,3,45,248,221,516
RA59,12,23,30,613,205,45,861,3063,3361,7285
