RA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
RA50,19119,5565,40566,362296,464926,190854,142289,432311,98651,1691327
RA51,1938,650,4482,34907,50497,24696,20462,40520,17322,188402
RA52,1729,602,3958,27404,39156,18368,15443,33730,15851,149948
RA53,326,151,815,12916,17522,6952,5769,14319,10504,67980
RA54,107,56,258,8920,10451,4160,3157,11468,10633,48779
RA55,0,0,0,33,21,10,15,214,222,516
RA59,10,23,30,870,963,339,278,1476,3362,7285
