RA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
RA50,184575,24146,8434,1459,154,218767,282823,28119,10827,118,164,322052,70294,28276,26321,104,137,125132,7063,8706,2800,7,26,18597,1199,1995,997,4,18,4213,34111,10405,6199,120,76,50908,3859,1274,765,375,40,6309,593,371,175,12,0,1151,117122,51024,37259,619,290,206315,6072,5093,2103,63,37,13366,6281,1881,852,118,136,9265,596877,110254,59476,2383,779,769764
RA51,26463,1169,159,576,66,28432,32434,738,86,62,58,33376,6969,1193,312,16,13,8506,1115,939,79,0,8,2129,154,298,77,0,4,541,5251,515,89,36,22,5917,701,95,28,211,14,1041,82,24,5,0,0,116,14265,3067,591,267,63,18247,1296,489,40,53,31,1908,1136,193,24,64,40,1455,75597,5649,904,1030,248,83418
RA52,23027,800,54,450,91,24421,21028,621,46,60,50,21802,5642,1578,226,15,10,7472,1722,858,70,0,12,2665,353,394,56,8,4,822,4781,435,53,32,20,5321,1247,231,22,177,46,1718,85,51,5,3,0,147,13833,3542,434,234,93,18139,1794,280,27,48,21,2169,1031,194,36,50,24,1335,60728,5432,595,842,276,67865
RA53,6273,268,52,270,92,6945,6207,325,38,57,20,6656,2320,827,439,24,21,3622,1582,584,83,4,10,2263,232,110,36,7,6,395,1618,213,58,27,26,1940,3170,572,226,94,33,4107,57,20,0,0,0,85,8979,2328,849,157,100,12410,1451,125,58,45,49,1729,447,106,18,24,27,632,23350,3163,1016,555,297,28374
RA54,2074,57,11,518,101,2754,1565,47,8,83,33,1743,717,147,92,10,11,976,2204,252,73,5,19,2551,1220,67,72,17,16,1392,703,75,16,52,30,871,2413,183,42,134,64,2846,56,11,8,0,0,75,7305,729,306,222,141,8714,1166,83,22,101,93,1473,372,46,21,120,62,623,12482,959,372,1054,430,15302
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
