RA_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
RA50,3526,5989,7321,6288,22133,32776,13034,31895,824,123791,10768,24691,25951,20354,50952,63361,18219,33419,1563,249280,6371,10728,10822,8289,30248,38462,12852,32992,2263,153037,5916,32308,25530,14493,19203,14458,4140,7896,1791,125733,5152,18078,18875,11503,34992,26055,6168,8823,961,130606,2923,29471,15485,6459,11781,9027,2531,4595,902,83179,4352,6125,5656,3690,12532,12378,5629,20493,1461,72304,3804,25458,14606,7333,12901,11388,3421,10038,1613,90560,789,1713,1203,804,2651,2748,734,2051,4601,17292,43605,154566,125454,79209,197383,210657,66733,152204,15987,1045782
RA51,553,894,897,763,1686,2707,1163,3761,160,12587,956,1884,1932,1607,2683,3274,1092,2213,101,15733,1199,1357,1272,993,3192,4589,1710,5092,314,19721,739,2893,2505,1576,1719,1427,384,813,173,12230,592,2007,1922,1121,2489,1809,446,782,88,11257,410,2833,1611,832,1203,855,240,462,100,8545,957,657,607,370,1164,1690,955,3877,201,10485,690,3374,1901,1110,1921,1845,659,1621,301,13414,137,201,115,96,207,272,76,273,511,1888,6223,16094,12769,8476,16259,18461,6732,18893,1953,105860
RA52,574,870,920,694,1296,2522,1063,5034,217,13190,719,1365,1290,1113,2123,2633,956,1940,88,12232,672,923,872,705,1972,2987,1387,4060,241,13825,523,1930,1743,1196,1439,1320,384,734,152,9417,419,1456,1276,916,2017,1541,370,649,78,8715,269,1878,1084,562,996,769,263,413,79,6313,680,592,546,287,776,1235,807,3658,182,8756,538,2619,1528,898,1379,1590,593,1425,255,10813,133,142,109,55,148,173,61,202,421,1442,4524,11772,9363,6412,12145,14779,5885,18113,1708,84694
RA53,286,390,394,330,739,1441,690,3383,77,7741,448,462,503,473,1113,1403,482,1048,53,5988,463,391,336,266,853,1545,807,2931,155,7762,251,726,523,443,738,658,194,389,82,4010,231,598,580,365,1059,910,308,541,44,4635,111,644,333,201,436,362,131,249,46,2515,335,267,200,113,383,656,481,1971,81,4488,218,925,564,320,510,684,312,1047,119,4703,60,61,36,35,73,140,54,202,251,903,2404,4466,3465,2551,5907,7809,3462,11760,903,42735
RA54,141,137,121,89,332,583,291,1511,59,3258,212,247,223,197,642,742,310,855,60,3489,311,229,188,108,419,619,379,2336,89,4684,194,302,328,276,523,489,142,405,65,2724,148,230,240,149,529,400,149,369,24,2238,44,237,147,96,183,140,58,119,22,1051,387,201,134,62,190,255,236,2557,88,4114,159,398,249,213,334,385,148,1095,101,3087,55,39,23,19,55,59,23,143,222,643,1652,2029,1655,1211,3203,3663,1748,9389,733,25289
RA55,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,29,0,33,4,3,0,0,0,4,0,67,0,83,0,0,0,0,0,0,0,4,0,9,0,0,0,0,5,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,23,0,31,3,8,0,0,0,0,4,76,5,98,0,0,0,0,0,0,0,7,0,6,13,14,5,3,5,5,11,220,5,277
RA59,21,16,5,4,20,25,6,17,5,107,42,42,31,15,25,49,15,24,3,257,30,20,21,16,33,38,13,98,5,272,11,42,44,18,34,24,7,27,5,223,24,27,8,13,27,32,7,12,4,150,9,17,13,3,10,13,0,4,0,77,25,16,7,13,7,20,10,104,6,213,18,35,30,22,48,48,14,80,3,292,0,3,0,0,6,0,3,8,5,33,181,208,163,110,217,250,70,370,33,1614
