RA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
RA50,1029106,1058569,2087667,65931,62274,128206,137636,130498,268135,62185,59342,121530,66092,64600,130689,147123,153281,300403,149710,153391,303100,133337,136666,270009,114846,121194,236044,89170,98001,187175,47410,54408,101828,15662,24896,40566,968077,1018864,1986947,61019,39697,100726,19273,19584,38860,506,434,938,510,504,1008,20293,20513,40806,613864,624305,1238174,363379,391384,754765,763234,779296,1542535,208812,232246,441060,852642,881093,1733731,19091,17749,36838,130420,123634,254057,47694,47903,95598,25579,28449,54034,32801,52648,85454,483005,529560,1012566,76997,75481,152478,153975,152404,306380,33958,32636,66599,19772,23541,43312,5521,6950,12465,944492,993978,1938474,52042,52197,104245
RA51,116314,115138,231450,6351,5951,12302,15962,14781,30740,6974,6562,13537,5707,4817,10528,12603,12248,24852,14470,14876,29343,15915,16134,32047,15831,16363,32193,13931,13762,27697,6760,6973,13733,1810,2676,4482,105588,108003,213593,10720,7132,17854,3927,3235,7163,55,47,104,97,63,159,4076,3347,7426,85494,84306,169798,22044,23714,45758,98225,100641,198858,6638,7709,14343,97919,100540,198462,1644,1569,3215,14754,13662,28412,4630,4566,9192,844,1092,1935,1554,4196,5753,36795,44756,81553,10967,11215,22180,28331,24305,52636,5603,4582,10187,3007,2529,5537,442,244,683,98821,104437,203258,13211,8978,22187
RA52,93046,91191,184237,5332,5034,10358,12286,11638,23924,5476,5050,10528,4600,4175,8776,10485,10247,20730,10765,11148,21911,12168,12213,24378,13319,13017,26343,11243,10676,21921,5682,5725,11411,1681,2272,3958,85056,85127,170190,7981,6058,14039,5350,5224,10572,75,79,146,101,68,165,5518,5367,10888,68364,66208,134571,15491,16932,32418,77015,76310,153328,6361,6899,13262,77272,76962,154234,1245,1201,2448,10919,10370,21290,3317,3333,6652,588,731,1317,1435,3231,4662,28335,33637,61975,8709,8860,17569,21822,18195,40010,4805,3812,8615,3017,2294,5316,446,384,829,78980,80065,159039,14370,11004,25374
RA53,45432,42002,87426,3345,3112,6456,6635,6359,12989,2359,2048,4404,2271,2004,4280,6525,6881,13402,7038,6663,13702,6343,5574,11917,5758,4755,10505,3385,2853,6236,1405,1313,2719,368,447,815,41786,38954,80745,3637,3047,6686,4819,4801,9619,173,131,300,246,240,483,5237,5176,10411,32008,29269,61278,6809,7212,14022,34661,32220,66881,3841,4198,8041,35496,33043,68536,742,721,1472,5584,5371,10956,1282,1223,2504,229,319,545,717,1626,2345,14232,16144,30375,4079,3543,7618,8581,6163,14744,1776,1277,3056,979,728,1706,153,113,261,36701,35358,72056,18371,11826,30193
RA54,33874,26800,60672,2137,1991,4129,3994,3766,7758,1561,1425,2991,2125,1834,3963,6320,5020,11339,5656,4069,9719,5044,3442,8486,4137,3019,7161,2079,1496,3574,709,577,1286,111,147,258,31573,24871,56448,2294,1929,4227,8591,8721,17312,63,58,121,101,120,226,8761,8898,17659,21580,18476,40056,5041,4058,9100,20306,16555,36859,5961,5827,11783,24087,20371,44454,408,397,807,3245,3019,6267,583,565,1148,120,131,254,470,772,1242,8921,8555,17475,3021,2450,5474,6172,4228,10404,1416,972,2388,1093,807,1894,266,214,476,20865,20619,41485,48663,21134,69797
RA55,455,58,514,0,0,0,0,0,0,7,3,6,25,11,31,99,14,116,157,11,170,103,9,109,55,3,62,14,4,18,0,0,0,0,0,0,455,57,511,3,0,5,7,3,9,0,0,0,0,0,0,7,3,9,131,24,151,132,14,148,206,29,232,60,4,66,189,29,216,0,0,0,0,0,0,0,0,0,0,0,0,15,0,17,143,30,174,38,0,38,59,6,61,13,0,16,0,0,0,3,0,3,10,4,15,2846,390,3234
RA59,4639,3416,8055,149,153,300,244,230,473,118,147,261,295,256,562,822,692,1512,926,613,1543,842,468,1313,667,477,1144,444,316,758,118,38,155,14,16,30,0,0,0,4639,3416,8055,786,677,1464,11,0,11,13,5,19,819,683,1495,2708,2061,4775,775,656,1431,2185,1896,4079,243,244,486,2120,1823,3943,22,17,34,163,164,327,38,44,76,26,33,62,63,106,169,997,1029,2024,239,218,457,620,423,1036,143,100,241,80,36,118,10,14,30,0,0,0,0,0,0
