RA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
RA50,4203,1252,12995,6968,4814,3549,2756,3607,397,40539,58,65,104,138,92,113,94,201,30,889,1324,2043,1580,1569,1286,637,1098,865,338,10740,1647,1705,3190,2017,1783,1130,1710,1962,3280,18428,96529,234037,119061,90176,83846,37096,34704,39622,11117,746189
RA51,482,107,1429,694,451,413,385,528,48,4531,8,6,9,19,5,17,11,26,0,105,115,170,178,126,89,50,164,102,32,1031,257,141,443,229,174,168,298,331,332,2376,8386,14744,15398,8824,6889,3521,4736,5496,1118,69113
RA52,365,70,897,480,348,273,274,360,31,3092,6,5,10,17,3,13,11,23,0,84,110,83,114,121,45,23,83,63,17,669,260,115,327,204,124,117,213,307,217,1884,7740,11380,10344,6577,5036,2461,3566,4253,755,52110
RA53,212,51,378,236,200,105,131,162,22,1486,5,0,0,4,3,0,4,5,0,23,60,54,99,50,44,12,61,46,20,449,122,83,219,101,102,57,128,180,165,1157,4567,5556,6200,2691,2895,1018,1945,2020,539,27435
RA54,113,19,300,119,108,53,146,138,24,1010,0,3,4,3,0,3,0,0,3,14,28,31,55,24,24,4,59,35,9,261,84,65,139,96,47,43,137,123,114,848,2112,3066,3758,1709,1325,466,1865,1400,369,16066
RA55,0,0,7,0,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,8,0,0,4,0,0,0,0,5,0,7,4,33,67,9,3,0,18,60,6,199
RA59,5,5,22,8,11,3,8,12,0,81,0,0,0,0,0,0,0,3,0,6,0,3,8,4,0,0,3,0,0,23,3,0,9,5,0,0,8,5,11,38,80,233,220,161,97,42,89,176,23,1126
