RA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
RA50,564,8342,95,8439,..,5461,916,6382,41,6426,..,1560,365,1927,11,1940,..,15200,6319,21510,161,21674,..,63051,9980,73030,1398,74423,..,382301,54075,436375,4681,441060,..,9808,1382,11192,92887,104082,1542535,392109,55458,447565,97568,2087667
RA51,4,90,0,89,..,310,59,374,3,373,..,17,0,17,0,17,..,225,118,346,6,347,..,2291,359,2654,78,2723,..,12736,1398,14133,210,14343,..,649,47,696,17548,18241,198858,13386,1442,14828,17760,231450
RA52,0,106,4,109,..,346,69,415,0,414,..,23,0,21,0,21,..,251,101,354,4,351,..,2853,523,3367,76,3447,..,11676,1405,13081,180,13262,..,664,81,747,16893,17641,153328,12345,1487,13826,17076,184237
RA53,4,67,0,67,..,315,40,355,6,355,..,22,3,29,0,30,..,120,20,136,0,136,..,2191,123,2315,55,2374,..,7411,504,7913,122,8041,..,573,46,623,11893,12511,66881,7987,550,8535,12013,87426
RA54,0,35,0,36,..,158,33,187,3,193,..,8,0,11,0,11,..,148,84,233,3,232,..,7533,607,8140,209,8353,..,10575,935,11513,273,11783,..,428,193,622,11408,12029,36859,11007,1127,12133,11680,60672
RA55,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,61,3,66,0,66,..,0,0,0,219,221,232,59,3,65,218,514
RA59,3,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,10,0,15,0,15,..,97,16,114,3,117,..,432,51,479,9,486,..,70,5,78,3411,3488,4079,497,56,555,3421,8055
