RA_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
RA50,139,170,287,474,689,1040,1574,1730,1201,7311,205,145,260,493,1358,3252,5051,4217,1797,16785,3690,18458,22556,19047,16350,13353,7930,3977,2496,107857,56,47,115,309,644,1101,1762,2070,1542,7649,6400,7418,10520,12407,13458,14925,12772,7590,4594,90083,161592,84325,102763,101588,81126,59882,36725,13343,3658,645002,13179,9006,10892,9834,9097,7599,5897,4122,2897,72515,192769,123943,153281,153391,136666,121194,98001,54408,24896,1058569,359,1307,3879,8326,17933,32610,43651,32215,14257,154535,21856,19426,23714,23874,20655,17791,14883,7997,2744,152933,374,488,1223,2996,6325,11533,16878,12315,4532,56656,15,39,37,72,153,558,1857,5155,6189,14069,620,1307,2633,6370,12519,20148,25362,16110,5387,90455,490,490,806,1859,5525,13208,21964,19353,9639,73329,350,329,538,975,1417,2304,3522,3848,2267,15543,477,311,525,967,2513,5983,9682,8204,3283,31944,7830,27809,34916,31043,27216,22092,13704,6676,3493,174779,95,109,220,610,1308,2541,4295,4761,2753,16687,16050,13447,16723,20131,23195,26040,22875,13065,7012,158528,326317,179695,208489,205827,164502,119257,69921,25716,6450,1306171
RA51,16,9,23,63,92,141,221,209,137,911,29,16,19,59,188,484,757,487,184,2224,475,1792,2145,2275,2324,2032,1206,457,257,12966,4,8,18,46,88,146,280,284,177,1057,701,628,879,1223,1590,1918,1443,822,429,9646,16607,7325,7500,9065,8907,7604,4969,1779,406,64161,1903,1132,1090,1202,1338,1322,1073,674,301,10035,20729,11377,12248,14876,16134,16363,13762,6973,2676,115138,54,159,437,1135,2745,5345,7014,4370,1670,22925,2978,1942,2130,2610,2591,2486,2258,1086,333,18402,51,38,119,325,755,1675,2510,1640,473,7583,0,0,6,5,13,88,262,592,624,1590,75,149,277,570,1378,2465,3470,1965,611,10952,56,63,87,185,612,1683,3095,2442,1097,9322,49,24,51,104,189,311,497,485,235,1949,62,38,56,98,345,939,1565,1105,342,4551,1062,2749,3240,3547,3751,3402,2207,868,367,21195,11,10,36,62,175,362,700,623,304,2280,1758,1265,1359,1931,2608,3339,2800,1519,654,17229,33663,16046,15317,17883,18024,15201,10013,3605,741,130482
RA52,13,13,27,34,88,136,197,198,114,810,18,24,15,57,169,418,593,401,156,1841,306,1379,1655,1627,1709,1561,910,449,242,9828,4,4,16,36,68,123,224,232,143,852,521,483,687,901,1175,1384,1184,695,396,7425,13043,5776,6132,6519,6445,5860,3710,1387,362,49252,2045,1151,1181,1285,1358,1330,1083,608,278,10311,16667,9228,10247,11148,12213,13017,10676,5725,2272,91191,42,107,339,797,2040,4182,5380,3593,1378,17855,2167,1731,1853,1903,2067,2144,1780,889,265,14804,27,33,96,201,583,1257,1917,1387,454,5952,0,6,5,10,29,70,188,558,611,1479,66,100,267,510,1231,2394,2838,1774,483,9667,39,39,77,142,567,1528,2463,2055,949,7858,33,20,54,60,167,298,431,429,234,1721,45,32,24,85,297,831,1266,882,298,3764,648,2122,2504,2520,2793,2757,1713,760,350,16167,9,10,22,50,125,272,518,541,265,1814,1320,929,1087,1439,1987,2546,2204,1278,608,13391,26184,12642,12989,13190,13334,12143,7736,2757,709,101683
RA53,6,4,10,25,49,56,60,51,24,276,12,0,8,16,57,136,159,94,19,501,117,395,720,666,538,406,182,74,25,3115,3,0,3,11,36,46,45,28,28,204,247,149,310,369,400,401,241,121,72,2306,7324,2607,4382,4055,2973,2237,996,341,68,24981,1428,711,1077,1035,869,683,399,190,80,6474,9471,4050,6881,6663,5574,4755,2853,1313,447,42002,11,31,149,328,694,1324,1330,720,245,4827,859,561,955,1006,825,769,493,209,47,5731,14,7,41,133,256,435,448,306,81,1719,0,0,3,0,5,22,52,91,102,279,34,48,142,248,580,863,812,405,111,3239,40,28,41,78,237,546,660,424,175,2231,18,9,36,49,86,119,141,106,42,602,33,9,17,36,107,275,354,204,51,1078,233,625,1053,1051,926,759,376,128,37,5185,3,0,8,23,59,100,154,87,44,491,556,288,493,602,727,770,517,240,112,4306,14820,5693,8680,8593,6586,4940,2222,698,142,52373
RA54,0,3,13,28,48,67,59,34,12,258,12,4,8,11,40,91,79,34,13,286,45,189,388,295,243,180,79,19,7,1448,0,0,6,3,21,27,26,30,8,114,116,75,178,218,256,257,137,65,19,1325,4287,2231,3243,2401,1749,1331,504,124,22,15899,1153,622,971,764,646,555,256,103,37,5105,5761,3261,5020,4069,3442,3019,1496,577,147,26800,5,20,75,176,387,641,640,278,50,2288,371,303,541,541,498,438,264,76,12,3049,0,11,23,47,117,262,211,113,26,813,0,0,3,9,12,21,34,75,39,183,13,53,117,318,597,754,547,223,41,2660,43,46,59,118,264,453,371,195,38,1593,11,8,24,51,90,119,112,76,18,499,23,10,21,31,75,177,199,99,11,641,106,300,597,507,445,371,176,41,10,2547,0,0,5,14,46,62,65,59,14,259,285,153,293,400,464,495,303,105,31,2534,8771,4690,7138,5689,4417,3164,1241,332,54,35494
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,5,4,5,5,4,0,0,30,0,8,3,3,8,0,0,0,0,20,0,13,14,11,9,3,4,0,0,58,0,0,0,0,0,0,0,0,0,14,0,0,0,8,4,4,0,0,0,16,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,22,60,84,56,24,8,0,0,248
RA59,0,0,0,0,0,3,7,0,3,11,0,0,4,3,10,7,12,3,0,46,4,62,79,88,61,35,20,0,0,348,0,0,0,0,3,0,8,0,0,18,9,25,32,40,33,40,27,3,0,210,269,136,307,193,131,168,91,13,0,1296,93,172,267,281,223,162,87,14,12,1315,380,410,692,613,468,477,316,38,16,3416,0,10,6,35,61,122,136,24,3,399,28,50,72,68,56,40,35,10,0,371,0,0,4,9,16,33,53,10,0,130,0,0,0,0,0,0,0,0,3,11,0,4,9,14,31,54,65,8,3,198,0,0,6,12,22,44,68,24,4,185,0,0,0,7,7,7,13,3,3,33,3,4,3,9,17,20,35,10,0,103,14,104,149,157,133,86,36,9,6,688,0,0,0,0,10,8,19,0,0,40,21,49,59,72,71,89,70,6,0,430,528,305,612,469,315,334,212,26,4,2794
