RA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA50,109,796,1074,4129,552,287,191,60,14,7212,0,64,205,377,485,224,73,15,3,1452,127,2903,5494,11847,5944,2753,1293,293,40,30697,6,80,107,1394,702,925,1289,366,314,5187,0,13,44,160,103,86,53,20,3,487,49,761,1518,4653,3877,4822,4016,2495,836,23025,74,907,1712,4715,2416,2445,2093,754,203,15328,161,2096,5235,12449,8362,5463,3038,1280,375,38466,43,493,914,3552,1413,898,785,401,111,8615,43,130,109,2503,268,162,146,30,6,3394,86,911,1365,3411,1434,690,344,59,20,8326,13,73,71,587,291,198,88,46,17,1383,209,945,1058,2857,1149,1159,912,362,92,8743,82,604,1210,5855,3692,3052,1867,515,233,17109,19,173,413,1341,1020,1125,936,580,200,5803,30,305,1284,3782,2259,1802,852,260,65,10645,479,4736,7503,31221,11669,9829,7227,4197,1461,78323,4040,9027,9790,30750,12374,10232,7951,6275,4295,94736,128206,268135,252219,603508,270009,236044,187175,101828,40566,2087667
RA51,6,28,13,92,12,10,5,3,3,169,0,6,8,38,47,33,14,0,0,141,22,238,310,925,387,183,83,13,0,2163,0,0,5,51,28,35,49,22,26,217,0,0,0,14,5,0,3,0,0,29,0,15,54,211,240,390,402,202,48,1555,0,11,35,75,62,72,46,12,0,315,11,181,349,843,735,471,282,123,42,3027,0,17,9,87,32,16,9,8,0,184,5,5,8,283,3,3,0,0,0,312,7,48,42,152,110,51,23,3,3,441,0,0,0,12,4,4,0,0,0,22,3,46,47,168,116,158,145,52,9,734,6,17,25,173,79,46,23,3,0,384,0,5,15,74,72,130,95,56,14,458,0,22,80,237,213,198,123,33,9,901,20,129,179,1126,513,612,493,281,83,3438,578,1623,1584,3933,2445,2262,1851,1147,487,15896,12302,30740,24058,54193,32047,32193,27697,13733,4482,231450
RA52,4,19,13,75,9,11,9,0,0,144,6,25,38,61,58,17,6,0,0,217,23,253,329,1033,459,246,106,28,3,2482,0,0,0,24,24,9,28,27,9,120,0,0,3,15,10,14,0,0,0,38,0,15,17,114,118,266,208,167,52,957,0,4,11,49,41,30,21,9,0,173,11,170,243,634,454,307,151,70,22,2058,5,10,16,56,27,17,11,12,0,150,0,3,5,142,6,0,0,0,0,162,9,113,102,196,121,71,19,0,0,636,0,0,0,12,0,3,0,3,0,23,0,25,31,120,68,103,97,40,5,497,0,10,16,140,48,37,24,7,3,283,0,0,5,47,54,64,59,32,9,270,0,39,60,239,143,126,77,16,3,707,28,117,144,836,380,394,351,225,74,2557,770,2071,1709,4206,2384,2432,2032,1187,462,17247,10358,23924,19297,42643,24378,26343,21921,11411,3958,184237
RA53,0,4,0,46,7,0,0,0,0,68,0,3,6,14,19,9,3,0,0,62,4,159,183,658,284,146,42,6,0,1484,0,0,0,20,8,0,3,0,6,43,0,0,0,7,0,3,5,0,0,11,0,6,14,113,62,97,44,32,9,380,0,13,5,34,24,12,19,7,0,124,10,45,86,335,201,117,42,17,0,857,0,16,0,77,24,12,3,5,0,141,0,0,0,65,0,0,0,0,0,73,0,38,39,177,67,29,7,0,0,365,0,0,0,8,3,3,0,0,0,20,0,7,12,101,27,22,18,0,3,188,3,11,7,75,14,9,0,0,0,117,0,0,5,21,9,16,4,5,0,71,0,4,28,110,73,52,18,0,0,281,9,39,78,579,176,174,92,39,11,1194,666,1692,1230,3934,1750,1480,839,399,142,12129,6456,12989,8681,27104,11917,10505,6236,2719,815,87426
RA54,0,0,5,23,0,0,0,0,0,25,0,3,8,19,22,13,5,0,0,71,3,45,64,314,137,66,17,8,0,643,0,0,0,8,3,5,4,0,0,24,0,0,0,9,0,5,0,0,0,17,0,0,13,55,39,59,20,9,0,191,0,3,0,24,12,6,0,0,0,57,9,26,34,181,98,56,18,0,0,411,0,0,7,41,10,3,0,0,0,58,0,3,0,59,0,0,0,0,0,60,0,17,21,104,54,24,0,0,0,227,0,0,0,5,0,0,0,0,0,5,3,9,0,55,27,17,17,3,0,148,0,8,9,82,53,28,6,0,0,178,0,0,5,18,11,12,13,0,0,60,4,4,8,81,46,36,10,0,0,187,12,40,58,587,144,127,65,30,0,1060,475,1055,1263,4560,1808,1478,606,229,47,11514,4129,7758,6952,21056,8486,7161,3574,1286,258,60672
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,9,0,0,0,0,21,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,0,0,0,16,0,0,21,119,47,23,3,0,0,215,0,0,42,284,109,62,18,0,0,514
RA59,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,18,6,0,0,0,0,35,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,13,10,0,0,34,0,0,0,3,0,0,0,0,0,11,0,3,5,25,8,5,4,0,0,55,0,0,0,0,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0,13,0,0,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,25,10,5,7,0,0,43,0,0,0,13,5,0,0,0,0,11,0,0,0,4,4,0,5,3,0,12,0,0,0,0,4,0,0,0,0,15,3,0,22,105,15,20,9,3,0,182,52,62,173,707,358,278,168,42,17,1851,300,473,820,3053,1313,1144,758,155,30,8055
