RA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
RA50,160408,233408,68305,6710,468831,110420,17627,596877,17401,11605,8253,1063,38319,37349,3605,79280,8462,5333,2959,520,17276,11481,2224,30978,25860,16940,11216,1578,55594,48827,5835,110254,3919,1678,1229,262,7090,10785,1024,18896,3403,1047,765,201,5406,7990,969,14370,4726,1219,749,187,6881,8219,1023,16121,3116,877,396,133,4515,4097,692,9300,197,150,70,11,426,345,17,792,15352,4968,3208,796,24316,31432,3726,59476,213,26,39,4,280,625,22,924,264,17,38,7,320,644,16,974,18,14,5,0,37,41,0,80,124,66,25,8,218,145,39,401,613,122,99,17,850,1459,75,2383,164,122,64,10,355,392,23,779,202401,255562,82889,9108,549956,192528,27279,769764
RA51,24764,23798,8245,572,57381,16304,1916,75597,988,320,458,31,1799,2935,137,4875,229,119,70,4,421,310,41,772,1219,442,527,34,2221,3249,176,5649,131,49,41,10,230,412,22,665,10,8,13,5,35,65,5,104,18,0,0,0,18,13,0,30,18,4,0,0,22,12,0,32,20,13,5,0,35,27,4,64,197,75,56,13,341,530,33,904,116,20,16,4,159,270,11,443,146,17,11,0,176,249,16,439,19,11,6,0,37,37,0,75,23,15,9,0,44,29,3,75,302,67,42,7,410,581,29,1030,64,45,11,0,120,114,14,248,26548,24424,8875,627,60471,20777,2166,83418
RA52,19710,17093,6201,544,43556,15614,1550,60728,798,451,407,56,1707,2858,157,4725,213,124,53,8,398,278,29,707,1012,574,465,65,2111,3141,186,5432,82,36,34,3,157,360,14,534,0,0,0,0,6,13,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,18,24,3,39,99,42,36,3,180,393,20,595,110,10,11,0,127,219,3,356,86,12,12,0,113,219,9,340,23,11,0,0,34,36,5,71,25,11,0,0,38,39,3,79,245,35,29,0,312,513,12,842,69,33,17,4,124,148,5,276,21129,17775,6749,621,46275,19805,1783,67865
RA53,6855,8389,2064,204,17520,5164,667,23350,485,410,267,42,1205,1172,88,2463,188,130,52,3,375,277,43,696,676,539,318,46,1579,1453,132,3163,120,51,30,4,207,348,31,585,57,14,7,4,76,90,6,170,32,17,4,0,53,58,6,114,30,10,5,0,41,85,6,139,0,0,0,0,4,5,0,11,237,90,47,5,381,586,48,1016,146,29,11,0,187,180,13,383,18,5,4,0,24,36,0,62,15,0,0,0,11,29,0,42,22,16,6,0,44,20,10,74,196,54,23,3,276,260,18,555,80,58,16,0,155,126,13,297,8051,9133,2469,263,19909,7590,882,28374
RA54,3124,3969,1729,265,9083,3044,356,12482,160,92,96,20,362,446,34,844,22,12,7,0,41,57,12,110,183,98,101,20,402,502,48,959,60,30,30,0,126,218,20,361,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,4,0,9,60,35,30,0,129,222,20,372,281,62,32,5,382,414,31,828,17,4,3,0,20,27,3,49,15,12,4,3,36,25,3,72,37,27,6,6,74,29,9,107,353,105,45,15,507,504,48,1054,113,60,18,7,202,211,14,430,3829,4269,1925,312,10330,4489,481,15302
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
