RA_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
RA50,200,2933,22,3150,56254,2775,62185,1400,2066,45,3510,58408,4170,66092,30818,3487,822,35121,100321,11673,147123,74937,2646,2134,79722,59465,10526,149710,44632,3136,1161,48933,75915,8494,133337,8042,8916,216,17174,91281,6392,114846,1405,13913,59,15381,69699,4088,89170,253,3579,22,3855,40442,3115,47410,36,186,0,219,13522,1927,15662,161717,40863,4486,207064,565308,53163,825535,311,4754,48,5121,51552,2677,59342,3444,4043,201,7691,53565,3340,64600,52143,6546,2587,61279,83592,8408,153281,91683,4720,5222,101621,45019,6746,153391,42199,8402,1911,52518,78755,5397,136666,3554,24915,291,28760,87934,4508,121194,976,23985,140,25101,68747,4156,98001,228,4329,30,4584,45789,4036,54408,35,248,0,284,21154,3462,24896,194569,81956,10431,286951,536105,42738,865795,509,7687,74,8272,107805,5455,121530,4841,6110,249,11203,111975,7519,130689,82959,10034,3412,96403,183913,20084,300403,166621,7361,7359,181343,104489,17274,303100,86837,11540,3072,101447,154669,13888,270009,11593,33837,504,45932,179216,10892,236044,2377,37906,193,40483,138445,8248,187175,483,7906,54,8443,86234,7150,101828,69,435,0,503
RA51,28,311,3,344,6066,565,6974,247,168,8,430,4496,782,5707,3374,305,114,3801,6649,2154,12603,7024,277,302,7595,4709,2160,14470,4486,452,147,5090,8881,1948,15915,796,1237,23,2052,12327,1449,15831,127,1396,11,1533,11395,1010,13931,19,249,0,279,5917,560,6760,4,12,0,13,1535,259,1810,16115,4418,607,21137,61981,10881,93996,33,558,0,596,5477,490,6562,503,314,31,845,3591,378,4817,5456,517,397,6373,5040,840,12248,8980,492,713,10193,3825,862,14876,4318,1203,240,5758,9445,926,16134,310,3254,31,3597,11882,884,16363,86,2271,13,2367,10577,821,13762,29,304,3,334,6011,628,6973,3,21,0,27,2278,369,2676,19731,8934,1428,30091,58120,6194,94409,59,873,6,940,11544,1049,13537,752,483,38,1278,8089,1161,10528,8836,817,515,10165,11690,2993,24852,16006,767,1014,17795,8530,3025,29343,8807,1655,383,10847,18327,2873,32047,1107,4491,55,5650,24209,2341,32193,215,3669,23,3899,21975,1827,27697,53,553,4,612,11929,1188,13733,6,33,5,45
RA52,13,247,3,264,4617,595,5476,215,146,8,375,3676,543,4600,2974,252,88,3316,5725,1445,10485,5008,210,184,5404,3918,1441,10765,3012,328,95,3440,7303,1424,12168,656,833,22,1502,10530,1288,13319,103,855,0,960,9267,1022,11243,26,156,0,178,4893,609,5682,3,8,0,9,1431,237,1681,12004,3032,410,15452,51362,8611,75423,39,459,10,510,4013,532,5050,545,287,33,869,2875,432,4175,4378,422,336,5140,4133,970,10247,6316,401,474,7187,2915,1047,11148,2726,951,151,3827,7349,1036,12213,284,2101,34,2420,9589,1008,13017,58,1429,7,1502,8290,893,10676,22,214,0,238,4863,628,5725,0,14,0,14,1903,356,2272,14369,6282,1048,21698,45932,6893,74522,58,709,9,773,8635,1128,10528,762,436,42,1238,6556,975,8776,7352,674,432,8457,9861,2414,20730,11322,608,657,12588,6828,2491,21911,5740,1282,241,7263,14648,2467,24378,937,2933,52,3927,20115,2303,26343,163,2286,18,2457,17554,1909,21921,46,370,0,421,9759,1234,11411,4,24,0,30
RA53,23,111,0,135,1832,395,2359,114,81,9,207,1632,431,2271,1665,167,49,1885,3451,1181,6525,3183,136,104,3427,2448,1163,7038,1462,155,48,1667,3611,1062,6343,222,358,8,586,4271,898,5758,26,221,0,250,2665,470,3385,9,45,0,55,1147,204,1405,0,0,0,3,306,58,368,6716,1280,217,8212,21373,5866,35449,23,213,4,233,1464,349,2048,216,142,15,375,1312,320,2004,2512,272,196,2977,2903,1004,6881,3444,223,295,3964,1800,903,6663,1177,394,70,1638,3186,750,5574,90,763,6,863,3316,573,4755,10,374,0,385,2104,353,2853,3,77,0,80,1044,188,1313,0,6,0,5,361,82,447,7470,2462,590,10526,17485,4519,32531,41,325,6,369,3289,742,4404,336,222,23,577,2947,751,4280,4174,442,244,4861,6351,2192,13402,6631,363,399,7388,4250,2065,13702,2637,545,124,3311,6795,1809,11917,311,1121,12,1449,7586,1474,10505,33,599,0,635,4774,825,6236,14,118,0,131,2198,390,2719,4,0,0,4
RA54,23,187,4,214,1024,321,1561,134,155,25,313,1256,559,2125,1181,222,118,1523,3065,1731,6320,1765,202,146,2111,2043,1497,5656,785,225,58,1067,2686,1288,5044,145,230,17,388,2801,950,4137,30,126,6,163,1546,375,2079,5,28,0,29,547,136,709,0,0,0,8,86,21,111,4073,1372,372,5810,15060,6874,27745,56,239,23,317,855,256,1425,276,197,55,524,950,355,1834,1489,292,241,2019,2108,892,5020,1640,267,241,2151,1213,703,4069,479,390,76,942,1905,591,3442,56,419,13,487,2018,514,3019,5,195,8,215,1067,223,1496,5,42,3,47,431,99,577,0,6,3,9,99,37,147,4006,2052,655,6714,10654,3676,21036,77,426,28,535,1881,582,2991,413,351,77,837,2206,915,3963,2675,511,357,3543,5173,2621,11339,3408,469,382,4259,3262,2201,9719,1264,616,134,2011,4596,1875,8486,203,649,27,876,4821,1459,7161,40,318,10,368,2612,594,3574,4,66,3,74,976,238,1286,3,12,3,15
RA55,0,0,0,0,3,7,7,0,0,0,0,9,13,25,10,0,0,13,48,44,99,18,0,0,22,67,68,157,4,0,0,4,50,45,103,0,3,0,4,27,20,55,0,0,0,0,9,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,3,45,211,197,455,0,0,0,0,0,0,3,0,0,0,0,5,5,11,0,0,0,0,10,3,14,0,0,0,0,9,3,11,0,0,0,0,5,8,9,0,0,0,0,5,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,19,61,0,0,0,0,5,3,6,0,0,0,0,15,15,31,11,0,0,14,56,46,116,18,0,0,22,75,76,170,9,0,0,9,56,47,109,0,3,0,4,35,21,62,0,0,0,0,12,3,18,0,0,0,0,0,0,0,0,0,0,0
RA59,6,11,0,6,67,40,118,10,6,0,16,151,133,295,83,16,4,105,326,390,822,144,11,5,164,232,531,926,52,6,0,61,267,512,842,9,15,0,23,306,336,667,5,10,0,15,283,146,444,0,0,0,3,69,46,118,0,0,0,0,7,9,14,311,72,13,393,1708,2148,4247,4,14,0,18,66,59,147,17,8,0,27,123,105,256,101,24,6,130,299,265,692,163,11,17,189,141,281,613,29,19,8,49,199,227,468,0,33,3,38,279,161,477,0,15,0,15,210,90,316,0,0,0,0,27,14,38,0,0,0,0,5,12,16,310,126,30,469,1353,1213,3030,7,23,0,30,133,105,261,27,17,4,46,278,238,562,179,40,9,231,627,661,1512,308,23,23,352,379,805,1543,76,26,7,114,466,740,1313,9,51,3,64,586,495,1144,5,27,0,29,489,242,758,0,0,0,3,92,65,155,0,0,0,0
