RA_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA50,..,7357,9207,2477,2091,2361,1618,602,127,25835,..,3906,11794,9325,10576,18320,23221,18750,9884,105770,2126,3184,2626,1461,1367,1681,1520,809,379,15140,185618,116270,143296,145929,130110,114122,91224,49160,17742,993474,..,3420,90443,171484,155682,134754,108645,52926,10994,728348,..,17410,68001,38154,25660,16770,7619,2172,333,176118,..,1772,10757,20944,24830,14354,6308,3737,2470,85173,377269,..,..,..,..,..,..,..,..,377269,..,104026,..,..,..,..,..,..,..,104026,..,62934,34482,10215,6305,3322,705,20,0,117982,..,11600,9019,3255,3279,5734,6114,3693,2143,44844,..,5968,7572,2733,1688,1142,553,181,41,19887,..,15417,23146,7078,5303,5212,3542,1305,279,61274,..,7594,25873,23445,24641,33898,36991,26719,13368,192527,4293,5822,5454,3539,2905,2909,2518,1313,528,29284,381563,235964,274748,280842,250300,218096,172995,92066,30157,1936737
RA51,..,360,510,188,273,353,248,80,14,2029,..,292,585,626,1270,2312,2721,2170,1095,11068,301,431,333,225,232,380,329,143,65,2444,19555,10347,11139,13828,14902,14719,12172,6153,1968,104774,..,307,6782,14351,16337,17054,15335,7181,1262,78608,..,2094,5902,4232,3799,2970,1426,366,42,20833,..,234,1298,2569,2648,1156,606,396,236,9137,39944,..,..,..,..,..,..,..,..,39944,..,8062,..,..,..,..,..,..,..,8062,..,7007,2379,965,671,348,79,5,0,11452,..,821,467,218,268,542,622,376,227,3542,..,637,627,283,214,168,104,33,15,2075,..,750,1200,514,622,749,541,183,36,4589,..,627,1592,1747,2878,4373,4815,3238,1502,20776,654,818,692,530,508,700,624,256,95,4883,40591,21361,20942,25406,27942,28066,24144,12028,3413,203902
RA52,..,355,350,122,190,285,176,82,7,1565,..,447,722,529,1094,1932,2214,1806,913,9653,290,345,239,181,265,420,359,169,55,2308,15082,7978,9071,9970,10862,11497,9241,4956,1571,80226,..,322,5634,10170,11511,12950,11177,5434,1071,58272,..,2245,5146,3322,2981,2487,1135,312,45,17673,..,227,1054,1824,1820,976,471,348,205,6937,30453,..,..,..,..,..,..,..,..,30453,..,5055,..,..,..,..,..,..,..,5055,..,4917,1729,748,562,300,61,4,0,8323,..,863,426,223,288,467,478,288,155,3183,..,472,375,175,146,127,66,25,0,1374,..,780,940,393,448,586,380,167,21,3719,..,983,1803,1559,2715,4226,4333,2878,1311,19808,578,691,536,427,577,737,709,309,91,4657,31025,16550,17640,18832,21049,22854,18805,9767,2907,159437
RA53,..,148,283,110,111,93,55,22,5,817,..,223,462,274,423,641,530,374,148,3076,183,168,196,123,130,162,126,34,21,1141,8166,3278,5649,5619,4601,3913,2355,1070,297,34948,..,122,3361,6193,5116,4470,2837,1163,221,23476,..,1051,3557,2341,1613,1024,337,82,10,10010,..,105,464,761,615,325,156,85,45,2558,16414,..,..,..,..,..,..,..,..,16414,..,1869,..,..,..,..,..,..,..,1869,..,1873,589,229,167,60,4,0,0,2929,..,484,232,126,162,230,178,93,27,1525,..,215,279,95,77,60,15,12,6,766,..,303,611,277,256,240,133,39,11,1868,..,520,1143,908,1238,1659,1192,691,239,7590,368,357,386,269,296,334,236,73,35,2342,16780,6906,10629,11198,9541,8400,5102,2221,580,71359
RA54,..,97,201,47,52,58,34,14,4,496,..,139,319,211,287,393,296,137,36,1831,122,112,148,93,98,104,39,16,3,733,4756,2433,3521,3025,2588,2234,1194,464,103,20316,..,250,1803,2586,2220,2012,1129,430,42,10468,..,686,1991,1320,978,691,261,59,8,5984,..,150,480,566,496,279,156,73,30,2226,9561,..,..,..,..,..,..,..,..,9561,..,809,..,..,..,..,..,..,..,809,..,1411,449,230,120,53,4,0,0,2257,..,700,351,252,258,281,168,72,36,2115,..,120,132,55,44,40,27,10,0,425,..,180,384,123,140,152,80,25,4,1092,..,258,696,583,816,981,792,306,66,4490,254,222,280,229,222,217,105,31,0,1557,9817,4786,6560,5935,5291,4695,2721,1005,188,40997
RA55,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3
RA59,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,121,119,168,141,96,101,60,11,3,825,121,119,168,141,96,101,60,11,3,825,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,218,270,367,321,228,208,122,30,6,1775,218,270,367,321,228,208,122,30,6,1775
