RA_CODE_2021,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
RA50,12631,12016,24654,12902,12293,25195,13130,12407,25538,13424,12625,26050,13840,12930,26777,65931,62274,128206,14162,13255,27414,13822,12984,26803,13610,13168,26778,13879,13196,27077,13531,13171,26699,68994,65768,134760,13697,13178,26875,13737,12968,26699,13697,12643,26343,13776,13139,26914,13739,12811,26546,68643,64733,133372,13109,12421,25528,12585,11831,24413,12384,11556,23935,11943,11782,23720,12166,11755,23924,62185,59342,121530,12910,12408,25324,13112,12950,26064,13355,13008,26360,13278,12950,26225,13432,13280,26714,66092,64600,130689,13917,13539,27452,14284,14062,28350,14160,14457,28618,13895,14711,28607,14292,14861,29154,70548,71636,142183,14746,15841,30588,15333,16045,31375,15274,16521,31792,15488,16538,32026,15739,16705,32441,76581,81646,158226,15972,16732,32701,16150,16663,32807,15880,16536,32416,16027,16324,32350,15523,15673,31197,79554,81920,161472,15103,15381,30486,14337,14541,28882,13833,14273,28110,13653,13671,27324,13219,13612,26827,70150,71475,141632,13372,13562,26939,13177,13648,26824,13186,13561,26748,13473,13796,27268,14073,14492,28566,67276,69067,136341,14287,14697,28978,13388,13704,27091,13442,13677,27119,12628,12874,25501,12319,12647,24969,66062,67599,133658,12085,12538
RA51,1168,1106,2271,1270,1112,2385,1298,1184,2483,1272,1261,2539,1350,1280,2626,6351,5951,12302,1447,1381,2830,1581,1375,2961,1528,1417,2942,1525,1409,2937,1615,1493,3107,7700,7076,14776,1625,1408,3031,1685,1608,3291,1603,1526,3131,1671,1540,3213,1668,1625,3294,8262,7703,15968,1589,1538,3135,1538,1393,2930,1434,1392,2825,1263,1171,2437,1151,1060,2213,6974,6562,13537,1160,947,2103,1127,942,2065,1174,975,2148,1118,960,2076,1136,995,2128,5707,4817,10528,1090,998,2096,1168,1084,2244,1173,1134,2303,1225,1176,2404,1278,1227,2508,5936,5622,11555,1301,1288,2591,1291,1288,2577,1364,1329,2684,1326,1362,2689,1384,1358,2749,6667,6630,13291,1459,1455,2921,1329,1505,2837,1451,1465,2912,1458,1542,3001,1469,1540,3013,7168,7517,14684,1495,1462,2958,1415,1529,2938,1512,1491,3007,1463,1430,2894,1412,1448,2861,7297,7362,14662,1422,1482,2903,1466,1547,3012,1550,1545,3090,1681,1549,3227,1637,1704,3339,7755,7820,15578,1757,1770,3526,1661,1660,3321,1609,1663,3271,1560,1660,3215,1574,1566,3136,8158,8311,16469,1590,1570
RA52,1009,940,1948,1015,1025,2043,1120,970,2091,1063,1010,2075,1121,1078,2202,5332,5034,10358,1178,1135,2312,1133,1127,2258,1201,1147,2350,1243,1177,2419,1271,1129,2397,6031,5704,11734,1251,1147,2398,1232,1224,2450,1273,1156,2425,1255,1209,2466,1250,1204,2452,6259,5928,12191,1195,1181,2370,1140,1084,2222,1184,1095,2279,1025,905,1937,929,783,1716,5476,5050,10528,868,755,1624,929,775,1709,908,797,1706,945,914,1858,953,930,1877,4600,4175,8776,1039,872,1912,1026,972,1998,1066,1010,2074,1054,1036,2087,1027,1013,2042,5211,4902,10113,1042,1036,2082,1067,1102,2173,1041,1052,2098,1084,1042,2128,1036,1107,2141,5277,5343,10620,1076,1137,2215,1136,1149,2292,1129,1128,2257,1110,1091,2194,1038,1101,2134,5487,5606,11091,1071,1161,2237,1043,1093,2137,1068,1130,2195,1070,1094,2172,1022,1058,2077,5278,5542,10816,1142,1114,2258,1079,1147,2222,1092,1169,2259,1179,1184,2362,1330,1265,2603,5826,5877,11706,1289,1366,2655,1272,1282,2555,1280,1262,2544,1286,1266,2557,1204,1159,2364,6343,6335,12677,1281,1261
RA53,603,561,1163,652,639,1291,663,623,1292,720,636,1350,710,647,1362,3345,3112,6456,718,648,1364,710,668,1377,731,720,1448,703,659,1362,676,668,1344,3532,3357,6889,701,668,1371,605,625,1225,594,592,1189,597,552,1149,599,564,1164,3095,2999,6098,489,512,1002,517,420,936,497,395,889,445,361,801,413,356,775,2359,2048,4404,423,306,727,403,351,757,465,413,872,443,447,892,548,486,1030,2271,2004,4280,531,557,1089,606,584,1191,598,638,1238,563,625,1188,626,648,1269,2921,3055,5978,711,715,1424,664,775,1436,727,791,1516,733,736,1478,771,806,1573,3599,3827,7425,778,780,1559,744,757,1502,775,728,1499,733,781,1515,737,701,1438,3760,3748,7513,702,644,1351,679,569,1242,610,601,1207,606,565,1169,681,547,1229,3277,2914,6189,649,518,1169,652,630,1287,605,585,1190,597,544,1143,719,596,1312,3212,2883,6097,705,582,1292,625,505,1124,600,542,1146,609,538,1146,590,522,1106,3126,2686,5819,569,517
RA54,401,360,755,468,396,870,418,396,809,442,423,867,408,419,828,2137,1991,4129,473,402,880,457,402,859,488,418,906,405,406,814,401,373,774,2223,2005,4230,416,384,801,409,391,802,332,350,682,305,342,652,305,297,608,1764,1766,3531,346,302,640,289,286,578,308,255,569,300,265,564,323,321,641,1561,1425,2991,340,327,668,385,326,708,433,372,803,506,395,900,469,422,892,2125,1834,3963,591,470,1068,582,506,1090,609,462,1077,569,513,1080,665,442,1111,3016,2399,5418,658,542,1205,646,546,1193,688,511,1204,653,537,1185,650,489,1139,3303,2621,5925,647,473,1118,571,464,1039,614,498,1107,604,420,1026,589,401,994,3033,2254,5282,607,425,1031,541,374,905,524,381,906,471,328,795,487,306,795,2624,1811,4439,463,320,784,459,317,779,516,341,851,536,323,865,526,372,890,2501,1670,4170,602,408,1017,532,357,883,450,350,795,497,345,840,456,316,777,2541,1770,4313,492,327
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,7,3,6,0,0,0,4,3,6,0,3,4,9,0,7,9,3,10,25,11,31,4,0,6,10,0,10,9,0,10,15,0,18,10,3,12,49,7,54,6,0,3,9,0,10,10,0,10,11,0,11,19,5,20,48,5,54,17,0,17,6,3,12,25,9,34,26,0,26,8,0,8,85,10,92,22,0,22,14,0,14,13,0,18,22,0,22,13,0,13,79,0,82,5,0,5,17,0,17,13,4,17,8,0,8,13,0,11,51,3,57,9,0,8,13,0,13,10,0,10,9,0,9,3,4,3,48,3,54,4,0
RA59,24,32,53,27,31,58,45,31,73,23,32,53,29,24,63,149,153,300,30,28,60,21,24,46,27,25,53,28,27,57,25,20,49,132,127,259,38,35,67,13,24,40,15,15,27,33,12,44,21,20,41,116,101,212,17,20,38,11,25,42,20,28,52,22,44,71,36,30,65,118,147,261,65,63,123,48,40,88,66,38,103,62,41,102,63,84,141,295,256,562,79,66,148,82,69,153,74,64,136,77,81,161,69,71,139,385,358,744,137,91,230,55,76,128,82,60,141,89,50,141,70,61,130,433,339,773,130,107,240,89,50,141,78,54,128,85,61,145,69,43,113,449,315,769,169,111,277,64,56,126,80,39,118,75,47,117,95,38,135,476,298,770,145,55,195,64,58,118,65,46,107,75,60,131,99,35,132,433,244,680,134,65,202,68,24,97,80,44,121,68,54,118,55,43,94,404,228,631,95,39
