RA_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA50,34966,51781,118705,118974,108487,77561,18815,1618,112,531008,22322,9904,27033,28306,23289,39516,75292,48923,21425,296016,2062,2912,7549,6113,4890,4119,3894,3872,3358,38774,59342,64600,153281,153391,136666,121194,98001,54408,24896,865795,9592,44261,153075,158127,145971,96861,17953,1083,58,626974,44353,47300,63484,69184,58153,50642,22580,3320,208,359219,1852,3082,12057,9428,6873,7693,2341,261,24,43605,861,2103,4735,3315,2541,1660,524,185,61,15987,56651,96750,233351,240054,213535,156854,43396,4848,347,1045782,2282,4291,6978,5701,5621,4407,673,40,3,30003,9343,4034,4354,3771,2949,2813,972,84,8,28333,11626,8327,11337,9474,8569,7223,1642,129,13,58340,68284,105078,244686,249526,222100,164076,45041,4981,358,1104127,48979,19220,38323,38288,35272,61933,134391,90033,34967,501415,4266,6393,17391,15290,12634,10027,7740,6813,5231,85789,121530,130689,300403,303100,270009,236044,187175,101828,40566,1691327
RA51,4055,3670,8627,11446,12717,9956,2502,278,17,53269,2155,785,2813,2624,2549,5548,10486,6085,2321,35363,350,363,809,807,866,855,777,612,337,5780,6562,4817,12248,14876,16134,16363,13762,6973,2676,94409,1842,4595,10941,13229,15637,11496,2359,226,20,60346,4636,2349,5075,7274,7291,7050,3152,478,45,37345,358,327,1129,1148,1248,1510,430,64,6,6223,188,211,360,387,374,259,101,46,21,1953,7026,7483,17509,22040,24546,20324,6040,815,87,105860,298,349,554,461,509,437,65,0,0,2683,604,215,275,310,307,330,97,13,0,2155,897,565,839,773,816,767,158,14,0,4836,7932,8051,18339,22812,25360,21089,6203,825,87,110699,4852,1600,4593,4548,4444,9078,19866,11777,3831,64599,759,875,1916,1978,2241,2030,1625,1124,567,13109,13537,10528,24852,29343,32047,32193,27697,13733,4482,188402
RA52,2836,3016,7117,8265,9348,8209,2434,353,15,41597,1795,761,2209,1875,1869,3845,7382,4762,1904,26400,425,401,922,1004,995,956,864,608,353,6524,5050,4175,10247,11148,12213,13017,10676,5725,2272,74522,1697,4021,9659,10335,12054,10087,2681,359,28,50919,3220,1717,3895,4951,4993,5518,2656,543,46,27549,174,260,915,646,903,1109,434,77,11,4524,134,182,342,270,304,249,133,80,18,1708,5224,6176,14820,16200,18255,16965,5902,1057,103,84694,206,300,400,369,422,370,58,0,0,2122,406,130,229,216,197,276,84,7,4,1542,610,437,626,582,620,650,144,7,0,3671,5835,6613,15445,16780,18876,17610,6043,1067,105,88365,3801,1305,3262,2968,3230,6553,14043,9134,3266,47571,892,854,2024,2167,2277,2171,1837,1209,588,14021,10528,8776,20730,21911,24378,26343,21921,11411,3958,149948
RA53,1072,1371,4757,4868,4086,3035,854,115,4,20160,691,334,1171,927,761,1152,1637,1025,364,8068,274,307,960,866,726,564,358,173,80,4311,2048,2004,6881,6663,5574,4755,2853,1313,447,32531,720,2018,6613,7115,6440,4703,1167,152,7,28943,1195,590,1963,2424,1782,1618,745,164,13,10482,82,124,687,502,386,450,157,15,0,2404,73,85,244,196,124,109,43,20,11,903,2074,2819,9502,10236,8729,6879,2115,352,31,42735,109,136,186,147,145,136,20,5,0,879,124,52,98,88,73,74,32,0,0,549,235,188,288,237,212,215,50,3,0,1430,2311,3004,9787,10474,8945,7090,2165,357,35,44168,1480,585,1606,1322,1257,2014,3270,1991,650,14175,611,687,2005,1911,1715,1407,801,370,132,9638,4404,4280,13402,13702,11917,10505,6236,2719,815,67980
RA54,468,922,2937,2465,2101,1681,420,54,7,11060,755,573,1214,914,767,843,855,428,108,6449,205,340,869,688,573,495,227,96,33,3528,1425,1834,5020,4069,3442,3019,1496,577,147,21036,348,1354,4751,4104,3766,2904,697,75,7,18006,411,356,1109,1082,839,743,307,54,6,4892,39,101,452,372,310,299,89,8,0,1652,44,73,181,154,128,111,25,20,5,733,835,1886,6491,5709,5033,4053,1108,158,19,25289,79,127,210,175,140,97,18,0,0,856,77,50,104,95,71,50,12,3,0,481,160,181,321,271,213,147,32,5,3,1332,994,2066,6808,5981,5243,4200,1146,163,19,26615,1525,1031,2026,1632,1429,1543,1851,893,189,12107,474,867,2503,2109,1817,1411,583,234,47,10059,2991,3963,11339,9719,8486,7161,3574,1286,258,48779
RA55,0,5,8,9,5,0,0,0,0,29,0,0,0,0,0,0,5,0,0,9,0,5,3,3,8,0,0,0,0,19,3,11,14,11,9,3,4,0,0,61,0,20,62,85,56,25,3,0,0,243,0,0,0,3,5,0,0,0,0,18,0,0,4,0,3,6,0,0,0,13,0,0,0,0,0,0,0,0,0,5,5,17,62,95,59,33,5,0,0,277,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,5,17,62,96,59,34,5,0,0,277,0,0,0,0,4,3,7,0,0,18,3,15,46,73,50,21,3,0,0,220,6,31,116,170,109,62,18,0,0,516
RA59,43,111,281,177,122,123,23,0,0,875,44,47,155,157,127,200,207,27,5,967,57,104,259,276,224,154,93,16,12,1193,147,256,692,613,468,477,316,38,16,3030,16,90,328,188,158,117,16,0,0,915,33,73,118,102,56,75,26,0,0,484,0,17,45,60,28,25,6,0,0,181,3,4,11,4,5,0,0,0,0,33,53,185,501,355,248,216,45,0,0,1614,13,31,69,68,57,33,5,0,0,274,13,18,24,28,21,16,3,0,0,117,24,48,92,89,75,48,7,0,0,392,72,235,596,442,332,265,57,3,0,2000,89,93,265,290,249,396,465,89,10,1955,98,230,647,802,737,481,235,67,18,3326,261,562,1512,1543,1313,1144,758,155,30,7285
