RA_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
RA50,36,276,685,3741,2055,1574,1026,271,136,9793,6,84,198,633,476,569,447,263,108,2794,18,149,666,2057,1126,891,440,126,30,5497,243,2318,3834,17129,6135,5065,3705,2095,863,41386,1945,4392,4605,12855,4787,4234,3953,3445,2658,42878,62274,130498,123943,306673,136666,121194,98001,54408,24896,1058569,29,295,780,2944,704,395,171,51,9,5386,120360,222218,174489,313244,137692,114269,91736,46075,18081,1238174,21,215,225,1534,392,139,114,19,4,2672,7,16,47,1039,458,693,403,169,45,2878,28,188,211,3182,392,166,76,35,7,4279,12,80,93,527,283,201,147,30,11,1391,75,326,443,1954,933,800,467,180,59,5241,15,57,98,648,342,305,234,105,26,1819,99,1202,2891,12570,4360,3295,1917,569,289,27208,0,26,31,684,404,772,1156,799,391,4277,15,245,291,641,231,269,348,242,97,2381,390,5491,11724,31902,28919,36360,26913,18967,6563,167228,3,29,80,378,208,201,108,42,11,1062,23,137,224,1855,506,377,250,129,54,3551
RA51,3,7,12,99,33,22,16,0,0,195,0,5,7,32,41,63,37,28,7,225,0,7,46,138,103,92,51,14,3,451,7,64,81,577,253,319,225,125,53,1707,276,798,692,1675,984,960,875,597,265,7118,5951,14781,11377,27123,16134,16363,13762,6973,2676,115138,0,4,11,71,11,13,0,0,0,108,11548,27463,19907,38672,22017,20921,18230,8315,2723,169798,0,5,3,40,6,3,6,0,0,59,0,0,0,19,4,0,6,0,0,29,0,0,3,103,23,3,0,0,0,139,3,3,3,15,5,5,0,0,0,31,6,25,28,177,84,76,56,7,6,472,0,0,0,36,9,8,4,4,0,66,0,16,29,206,74,52,17,8,0,401,0,0,0,9,4,13,21,16,3,75,3,3,4,28,0,5,16,7,0,67,18,278,608,2028,2620,4123,3482,2323,644,16124,0,3,7,45,13,7,5,5,0,83,0,8,12,161,47,43,33,11,9,331
RA52,0,8,5,83,27,19,15,4,0,161,0,0,0,31,26,30,28,19,4,140,0,21,28,129,73,65,31,4,0,352,15,56,55,390,195,217,174,97,35,1238,361,1002,810,1954,1070,1083,940,569,267,8054,5034,11638,9228,21391,12213,13017,10676,5725,2272,91191,0,12,32,88,29,15,4,0,0,183,9416,20420,15616,29731,16960,17898,14913,7075,2542,134571,0,0,0,22,4,0,0,0,0,34,0,0,0,10,0,6,8,3,0,24,0,7,6,56,12,7,4,0,0,90,0,3,6,11,6,4,0,0,0,23,7,24,19,88,44,72,32,18,8,326,0,3,0,31,8,11,9,0,0,53,4,17,18,192,72,34,20,6,0,362,0,0,0,10,7,17,17,15,0,68,6,3,0,16,0,6,8,3,5,51,7,111,202,992,1173,2351,2082,1621,511,9050,0,10,13,100,24,19,13,4,0,187,3,3,11,88,23,24,17,13,0,179
RA53,0,0,7,52,10,0,0,0,0,71,0,0,0,11,3,10,4,3,0,32,0,3,14,54,24,19,7,0,0,122,3,22,41,331,82,76,39,22,8,622,301,830,554,1841,764,605,357,197,78,5525,3112,6359,4050,13549,5574,4755,2853,1313,447,42002,0,0,5,5,5,0,0,0,0,13,5703,10636,6554,17289,7793,6745,4190,1810,552,61278,0,6,3,21,3,0,0,0,0,34,0,0,0,10,6,0,0,0,0,15,0,0,0,36,3,5,0,0,0,48,0,0,0,24,0,0,0,0,0,25,0,0,10,80,21,17,5,3,0,142,0,0,0,31,0,3,0,0,0,45,0,4,19,180,26,14,4,0,0,248,0,0,5,8,3,0,0,3,0,25,0,3,0,13,0,0,8,0,0,27,5,43,78,676,416,677,398,219,56,2565,0,4,3,22,22,9,3,0,0,62,0,0,24,97,5,6,0,0,0,144
RA54,0,0,5,49,23,10,0,0,0,89,0,0,5,9,5,5,0,0,0,25,0,3,10,34,7,15,3,0,0,70,6,22,32,264,55,64,27,8,3,470,234,515,514,1544,580,523,222,103,25,4266,1991,3766,3261,9088,3442,3019,1496,577,147,26800,0,0,0,7,0,0,0,0,0,8,3595,6409,5096,12392,5077,4207,2301,820,160,40056,0,0,0,14,6,0,0,0,0,15,0,0,0,7,3,0,0,0,0,10,0,4,4,32,5,0,0,0,0,43,0,0,0,8,0,0,0,0,0,17,3,6,0,49,13,11,11,0,0,88,0,0,0,34,9,5,3,0,0,40,4,0,10,119,32,14,4,0,0,178,0,0,0,9,7,12,16,7,6,57,0,3,0,3,0,0,0,0,0,8,0,16,78,467,262,419,181,91,23,1536,0,5,6,40,17,10,5,0,0,86,0,0,19,109,0,4,4,4,0,142
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,8,0,0,0,0,19,0,0,13,28,9,3,4,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,15,91,31,16,5,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
RA59,0,0,0,7,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,15,55,4,4,0,0,0,81,25,30,89,251,105,109,72,6,9,692,153,230,410,1309,468,477,316,38,16,3416,5,0,0,12,0,0,0,0,0,25,226,379,525,1747,782,622,413,62,12,4775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,3,8,3,0,0,0,0,24,0,0,4,9,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,18,103,47,91,75,19,5,366,0,0,0,0,0,0,0,0,0,0,0,0,6,28,0,0,0,0,0,40
