RA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
RA50,823841,855892,1679733,22436,24161,46596,3335,3250,6588,3628,3616,7241,2611,2723,5332,878,848,1737,92891,99411,192301,423,475,893,671,662,1334,324,331,656,45,47,82,104796,111371,216166,8130,8488,16615,2531,2278,4804,137884,146296,284181,54738,44363,99105,1016468,1046546,2063022
RA51,87911,90425,178335,4392,4728,9116,275,270,543,360,301,660,278,282,558,94,104,196,9087,9851,18945,66,75,140,101,99,196,18,20,41,9,0,11,10286,11006,21287,570,545,1114,305,243,549,15550,16520,32067,11683,7096,18772,115143,114038,229179
RA52,69688,69446,139135,3701,3800,7500,230,194,424,226,238,457,291,261,551,87,95,179,6947,7385,14334,58,52,112,84,95,187,14,17,26,8,0,8,7937,8328,16267,517,393,910,221,200,422,12376,12724,25097,9970,8081,18051,92036,90249,182285
RA53,30488,28331,58820,3164,3334,6494,184,165,358,206,188,395,325,305,628,97,77,174,3011,3058,6076,32,35,62,78,98,174,14,9,21,3,6,10,3961,3931,7889,200,208,412,149,128,279,7477,7602,15078,6862,5507,12366,44826,41444,86265
RA54,20607,17317,37919,1411,1468,2881,182,153,335,151,162,313,312,272,582,94,74,173,2719,2323,5047,29,27,56,133,102,238,5,4,8,0,7,7,3627,3126,6752,226,170,391,104,70,176,5373,4832,10200,7497,4295,11798,33474,26443,59915
RA55,200,24,229,0,0,0,7,0,3,0,0,0,6,3,10,0,0,0,31,4,39,0,0,0,3,0,3,0,0,0,0,0,0,46,9,55,10,0,14,0,0,0,55,10,71,200,19,216,455,58,514
RA59,650,443,1089,269,221,487,144,127,273,133,121,259,180,191,365,40,42,86,775,793,1565,27,17,42,30,25,58,3,12,8,0,0,0,1335,1324,2661,99,96,192,43,20,61,1743,1662,3403,2228,1281,3513,4620,3386,8005
