RA_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
RA50,145,492,1562,3290,6423,11827,15738,11273,4067,54820,12910,9354,10156,10317,8492,6625,5323,2849,883,66905,211,260,548,1085,2128,4935,8576,6702,2292,26734,3,19,22,44,98,295,963,2275,2012,5730,319,628,1291,3463,7150,11349,14240,8820,2426,49690,282,252,468,1136,3714,8981,14423,11454,4403,45106,214,154,253,499,725,1262,1944,2123,1062,8236,270,165,264,478,1153,2733,4624,3988,1481,15162,4146,9348,12356,11992,10867,8737,5776,2696,1004,66921,42,59,104,305,663,1436,2527,2688,1213,9039,9652,6027,6194,7728,9735,11109,10096,5474,2418,68446,164724,95372,105731,104236,83379,59372,33200,12374,2792,661175,13939,10221,13926,13378,12126,9264,5648,3303,1773,83581,203568,128278,147123,149710,133337,114846,89170,47410,15662,1029106,213,816,2318,5034,11507,20784,27921,20948,10187,99715,8944,10071,13552,13561,12168,11162,9562,5151,1856,86029,169,229,669,1907,4192,6600,8303,5605,2242,29920,12,21,15,28,57,259,892,2876,4178,8335,303,681,1336,2903,5374,8792,11127,7292,2963,40765,208,238,337,720,1810,4227,7542,7902,5239,28225
RA51,19,67,179,445,928,2000,2773,1706,505,8619,1824,928,896,1042,1008,914,830,428,109,7989,30,26,45,104,242,757,1299,906,254,3669,0,0,4,4,6,46,126,281,193,653,41,85,123,281,775,1403,2027,1127,262,6126,33,38,48,111,403,1131,2051,1519,518,5842,28,13,21,38,95,171,283,277,102,1037,31,22,36,43,156,460,804,619,154,2323,592,959,1100,1271,1426,1372,1000,411,114,8234,5,3,12,14,85,217,413,336,128,1232,1051,631,478,709,1013,1417,1362,697,229,7587,17049,8719,7816,8819,9119,7595,5044,1828,330,66321,2048,1643,2395,2485,2371,1864,1212,607,218,14837,22315,12683,12603,14470,15915,15831,13931,6760,1810,116314,36,90,258,691,1814,3347,4237,2666,1174,14312,1154,1012,1233,1564,1579,1568,1427,653,224,10417,26,14,68,215,512,917,1204,733,220,3922,0,0,4,3,9,43,137,307,433,942,35,62,155,289,601,1065,1440,834,346,4826,23,26,37,74,211,549,1043,929,581,3481
RA52,16,52,135,322,788,1624,2248,1423,463,7072,1299,839,758,800,777,863,692,328,87,6444,17,24,46,61,222,558,1055,799,244,3015,0,0,0,6,11,27,94,267,194,608,41,55,132,249,657,1337,1600,1022,235,5336,23,19,43,71,376,994,1604,1268,467,4862,20,9,29,25,86,163,230,231,114,913,31,12,10,24,132,414,677,482,146,1925,341,744,850,892,1091,1193,803,316,113,6345,8,5,13,17,58,153,292,306,115,962,796,450,399,536,806,1156,1022,580,213,5970,13142,6867,6852,6670,6884,6284,4028,1368,341,52431,2169,1356,1657,1688,1765,1651,1231,642,179,12341,17620,10078,10485,10765,12168,13319,11243,5682,1681,93046,24,57,198,476,1253,2557,3135,2167,921,10788,867,893,1096,1098,1289,1284,1087,562,182,8363,5,11,47,143,362,701,859,592,210,2941,0,3,6,3,18,37,95,293,414,870,22,47,127,265,575,1059,1235,747,249,4330,15,19,32,67,196,528,859,792,484,2992
RA53,6,13,58,147,288,603,583,300,91,2078,504,283,423,451,332,340,182,90,14,2612,3,5,15,42,86,222,256,175,50,861,0,0,3,0,3,12,27,34,28,112,21,27,64,138,323,522,464,235,48,1849,19,13,22,52,143,367,438,267,93,1403,10,9,25,26,36,64,78,53,17,320,17,5,9,18,46,140,194,107,30,576,122,232,329,378,390,355,191,52,14,2076,0,0,0,15,26,55,109,66,19,279,310,141,186,238,330,375,276,121,36,2006,7498,3079,4294,4537,3614,2703,1234,359,74,27390,1571,926,1272,1289,1212,1014,500,219,58,8062,9981,4631,6525,7038,6343,5758,3385,1405,368,45432,5,20,88,182,412,718,744,423,156,2746,355,280,540,554,492,431,305,122,35,3116,10,8,23,89,171,209,196,134,29,863,0,0,0,0,0,6,25,51,68,163,11,23,72,105,255,347,344,167,62,1393,19,16,21,28,96,179,215,152,84,821
RA54,4,10,37,82,176,301,323,120,21,1071,226,140,234,254,201,169,111,30,7,1369,0,3,8,15,53,143,131,66,9,437,0,0,0,0,5,6,14,27,11,78,5,26,59,151,303,398,309,122,17,1384,23,22,34,56,144,299,250,134,16,983,8,4,14,21,41,54,50,42,3,246,8,8,8,17,37,90,121,61,6,358,53,110,207,212,204,193,102,24,0,1105,0,0,3,8,22,36,40,34,5,150,170,76,119,175,213,233,163,42,12,1206,4492,2458,3897,3288,2661,1830,735,207,33,19595,1173,889,1797,1573,1367,1011,399,138,21,8360,6129,3691,6320,5656,5044,4137,2079,709,111,33874,3,12,36,93,215,338,317,160,32,1211,146,161,303,289,301,271,157,50,5,1675,0,7,14,33,68,119,81,44,7,383,0,0,0,0,3,9,22,42,22,110,5,27,60,167,298,361,233,101,28,1277,21,25,29,61,124,153,119,60,15,613
RA55,0,0,0,0,0,0,0,0,0,11,0,0,0,8,4,4,0,0,0,15,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,15,54,75,45,23,0,0,0,218,0,14,44,70,43,20,4,0,0,204,0,30,99,157,103,55,14,0,0,455,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,6,4,14,23,53,55,18,0,175,14,22,39,36,21,12,19,9,0,171,0,0,0,5,13,17,34,7,0,72,0,0,0,0,0,0,0,0,0,3,0,6,4,12,16,33,44,10,0,133,0,3,0,8,18,26,51,17,0,129,0,0,0,5,7,0,3,3,0,25,0,0,0,4,7,10,20,4,0,54,9,47,73,66,72,42,18,9,0,337,0,0,0,0,5,4,15,0,0,26,13,22,23,30,37,52,42,7,0,223,255,164,303,277,186,168,124,15,4,1496,101,176,396,530,514,334,158,50,10,2281,389,414,822,926,842,667,444,118,14,4639,0,0,4,22,34,70,80,10,6,222,11,33,41,38,28,29,21,3,0,200,0,0,4,5,9,19,20,4,0,59,0,0,0,0,0,0,0,0,0,0,0,4,10,8,14,15,24,0,6,74,0,0,8,3,10,13,18,3,0,57
