RA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
RA50,596877,1628379,79280,148499,30978,62508,110254,211009,18896,30483,14370,22805,16121,26200,9300,16017,792,1628,59476,97132,924,1302,974,1370,80,168,401,844,2383,3680,779,1507,769764,1941708,71626,..,841392,1941708
RA51,75597,190629,4875,7760,772,1465,5649,9225,665,1022,104,160,30,50,32,62,64,138,904,1439,443,686,439,696,75,142,75,158,1030,1679,248,473,83418,203448,16268,..,99690,203448
RA52,60728,147357,4725,7782,707,1382,5432,9166,534,799,20,20,0,3,0,0,39,74,595,900,356,522,340,498,71,134,79,132,842,1286,276,491,67865,159196,15706,..,83572,159196
RA53,23350,62520,2463,4908,696,1448,3163,6359,585,934,170,266,114,195,139,203,11,14,1016,1621,383,723,62,101,42,66,74,177,555,1070,297,602,28374,72171,8438,..,36816,72171
RA54,12482,36039,844,1603,110,201,959,1798,361,634,9,7,0,0,0,0,9,15,372,653,828,1607,49,104,72,174,107,313,1054,2198,430,884,15302,41554,6071,..,21371,41554
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,13,3,15,0,..,3,15
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
