RA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
RA50,11748,1340,463,9,5,13567,3894,452,171,4,0,4519,3491,450,221,0,0,4158,6176,920,400,12,3,7517,9025,1347,658,15,3,11046,33186,4916,2217,16,18,40349,49571,5846,2285,19,26,57753,70675,5857,1937,15,51,78538,32555,2327,772,3,14,35677,26114,1969,700,7,8,28802,20589,1263,497,9,16,22369,15809,1413,507,13,14,17752,282823,28119,10827,118,164,322052
RA51,1341,37,8,7,6,1391,622,25,5,5,0,656,582,25,7,0,0,614,1068,40,8,5,0,1122,1617,66,3,6,0,1698,5295,176,18,9,4,5505,6544,118,11,7,7,6693,7165,94,10,5,8,7283,2975,36,3,3,3,3018,2185,37,3,3,5,2229,1317,25,0,3,6,1356,1741,52,4,4,9,1802,32434,738,86,62,58,33376
RA52,1099,34,4,3,10,1139,600,13,0,0,0,616,560,27,4,0,0,592,1224,49,9,4,3,1286,1499,58,6,9,8,1576,4164,153,7,13,7,4349,3946,93,6,11,11,4064,3810,102,0,7,3,3923,1281,24,0,0,3,1313,997,28,0,0,0,1028,623,20,0,0,3,646,1232,21,5,8,5,1268,21028,621,46,60,50,21802
RA53,409,10,4,0,7,437,162,11,0,5,0,176,152,13,0,0,4,172,296,29,0,4,0,338,345,29,7,5,0,392,911,73,10,8,0,997,917,46,0,0,0,973,1132,62,5,16,0,1222,570,24,0,0,5,594,544,9,0,0,3,560,388,7,0,3,0,403,373,13,0,9,0,397,6207,325,38,57,20,6656
RA54,120,3,0,9,5,134,67,0,0,3,0,71,55,0,0,3,0,67,97,3,0,0,3,103,112,6,0,0,0,119,249,4,4,14,4,270,194,12,4,3,0,218,251,6,4,11,6,277,122,5,0,10,0,136,100,3,0,6,0,114,90,0,0,14,13,120,100,3,0,8,5,113,1565,47,8,83,33,1743
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
