RA_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
RA50,5171,7357,12530,2053,2585,4641,2383,6654,9037,2730,13248,15974,7856,30414,38274,9393,20199,29594,25844,13326,39169,24206,16592,40798,29676,19411,49079,34218,16460,50679,27446,14518,41968,29346,11322,40667,66457,20025,86486,52692,2524,55224,46391,5314,51702,30404,1090,31494,95978,7726,103702,52817,5507,58322,4900,5541,10433,549956,219810,769764
RA51,580,687,1271,285,284,571,295,773,1068,364,1641,2006,1157,4205,5363,1299,2473,3767,4093,1621,5711,3304,1880,5188,3918,1953,5871,4274,1427,5707,3042,1197,4239,3368,952,4313,7215,1536,8747,5549,159,5707,4478,399,4871,2672,72,2743,6292,456,6747,7546,429,7982,746,804,1549,60471,22948,83418
RA52,473,671,1143,236,284,520,274,798,1076,262,1467,1732,953,3745,4695,990,2248,3241,3225,1399,4626,2569,1861,4427,2883,1854,4734,3260,1296,4561,2351,1213,3560,2616,941,3555,5552,1576,7127,4232,130,4357,3442,376,3822,2014,63,2074,4915,474,5387,5297,332,5630,738,863,1598,46275,21590,67865
RA53,163,233,390,78,84,165,81,238,325,104,471,578,269,895,1165,277,509,788,717,401,1115,663,511,1175,805,704,1505,930,615,1539,729,631,1362,893,524,1417,2209,1104,3313,1809,96,1909,1896,350,2246,1246,71,1314,4156,506,4662,2564,199,2762,324,324,649,19909,8465,28374
RA54,79,143,223,49,52,97,104,251,355,117,321,438,357,486,843,254,239,494,604,221,823,511,303,809,567,361,924,571,391,963,417,363,779,495,348,842,1033,673,1711,848,49,898,824,168,990,517,25,536,1338,185,1521,1358,115,1473,281,294,575,10330,4970,15302
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
