RA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
RA50,3218,13647,19837,16852,14213,13538,14236,7867,2616,106022,2192,14997,28529,22319,19890,16933,12009,5054,1685,123606,1134,13225,37340,29954,25967,22458,11343,3589,988,146000,458,7946,31832,26337,22319,18027,7381,1966,489,116745,241,4371,28260,26017,22255,17340,5865,1568,537,106447,110,2015,19696,21572,18820,13233,3873,823,227,80369,116,2455,30965,44894,39571,25995,6308,1236,362,151910,26,369,6396,12055,10896,6760,1766,424,123,38822,69,313,5941,19197,21717,13227,3881,1195,324,65857,5760,8155,20563,17886,15140,12125,9860,8912,7678,106091,121530,130689,300403,303100,270009,236044,187175,101828,40566,1691327
RA51,584,1279,1792,1943,2134,2096,2175,1065,300,13366,373,1492,2424,2366,2564,2445,1641,635,168,14110,172,1189,2778,2880,3186,2945,1585,479,91,15308,58,710,2130,2297,2496,2270,843,222,49,11070,32,456,1767,2245,2465,2021,683,192,66,9940,24,238,1349,1779,2150,1651,429,88,20,7717,16,309,2212,3615,4123,3101,678,118,30,14216,4,37,476,906,1053,737,184,34,14,3448,18,35,361,1038,1405,964,346,96,33,4289,1066,1222,3046,3152,3034,2603,2050,1383,792,18354,13537,10528,24852,29343,32047,32193,27697,13733,4482,188402
RA52,502,1026,1491,1443,1509,1679,1579,819,229,10288,366,1221,1879,1810,2013,2117,1324,499,175,11405,206,1054,2345,2096,2417,2601,1231,360,90,12398,80,624,1720,1754,1858,1745,752,191,31,8764,59,458,1725,1632,1962,1750,576,190,65,8406,14,235,1242,1395,1588,1353,438,107,25,6402,23,288,1912,2657,3076,2381,644,121,31,11138,0,52,444,690,702,558,154,34,10,2644,4,31,354,724,913,712,314,98,28,3183,1104,1020,2495,2560,2623,2521,2157,1488,823,16796,10528,8776,20730,21911,24378,26343,21921,11411,3958,149948
RA53,202,373,618,558,548,473,394,178,51,3400,149,454,877,792,691,634,328,117,36,4078,129,494,1241,1081,970,943,403,96,17,5372,66,404,1053,966,885,741,245,48,17,4422,42,282,1183,1073,927,741,213,51,9,4530,18,160,979,955,808,629,207,33,10,3793,15,240,1725,2170,1840,1224,232,46,8,7500,5,42,543,650,521,375,77,15,3,2228,10,36,554,1069,814,507,158,56,7,3203,743,779,2227,2065,1868,1571,905,442,173,10765,4404,4280,13402,13702,11917,10505,6236,2719,815,67980
RA54,75,191,422,317,262,279,176,65,11,1789,89,281,594,407,362,356,182,62,13,2339,66,301,780,530,522,481,180,36,4,2902,42,274,728,520,510,401,135,21,0,2619,18,159,733,556,503,428,109,15,7,2522,17,155,613,534,484,386,89,7,0,2285,17,241,1393,1361,1143,850,186,13,4,5195,0,36,414,456,409,267,46,3,0,1630,0,24,334,531,408,262,54,13,6,1639,668,953,2717,2290,1958,1520,667,273,64,11105,2991,3963,11339,9719,8486,7161,3574,1286,258,48779
RA55,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,6,4,3,5,7,5,0,0,0,27,0,6,8,4,9,0,0,0,0,20,0,0,10,5,7,0,0,0,0,22,0,3,3,9,4,3,0,0,0,25,0,3,17,32,15,12,0,0,0,80,0,3,3,14,0,0,0,0,0,26,0,0,9,17,16,4,0,0,0,49,5,16,46,74,48,21,8,0,0,217,6,31,116,170,109,62,18,0,0,516
RA59,4,50,91,42,25,42,28,7,0,289,4,36,102,48,37,47,29,11,5,316,4,30,121,61,45,55,23,0,0,341,0,11,62,52,36,32,18,0,0,205,0,15,48,51,36,31,8,0,0,196,0,5,46,35,21,23,9,0,0,124,0,3,69,72,54,25,4,0,0,234,0,0,17,23,13,11,0,0,0,56,0,6,16,39,18,12,4,0,0,98,52,137,389,422,407,323,201,42,18,1991,261,562,1512,1543,1313,1144,758,155,30,7285
