RA_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
RA50,4268,816,1548,165,6796,1566,207,501,86,2367,1238,367,1103,135,2834,890,352,1976,84,3308,4543,842,3378,251,9018,3554,1266,5892,286,10995,18479,2671,6511,442,28103,13172,4067,8173,849,26266,14594,7416,9021,833,31862,16380,10999,7948,979,36308,9982,11801,6245,687,28716,11449,13075,5283,668,30467,25092,32882,8960,1248,68177,19036,29005,3949,750,52740,15228,27384,2786,472,45874,9433,18761,1112,260,29565,24817,63279,3258,436,91789,14738,30735,6454,347,52271,2518,1600,1080,130,5328,210984,257513,85179,9110,562783
RA51,474,65,111,8,660,241,20,49,3,315,180,26,120,4,329,154,31,245,8,436,779,68,449,18,1315,549,111,805,21,1493,3227,261,871,39,4402,2056,368,1059,81,3567,2214,749,1105,65,4136,2370,1218,859,69,4510,1262,1269,574,48,3153,1562,1408,455,44,3467,3131,3408,736,69,7351,2143,3055,315,35,5541,1643,2585,182,27,4437,855,1640,78,14,2580,2013,3689,156,25,5877,2197,4440,832,33,7497,449,201,136,18,802,27480,24619,9141,626,61871
RA52,363,58,95,14,531,182,20,52,11,259,137,32,127,14,304,91,16,209,3,320,588,61,385,19,1053,415,98,597,21,1125,2474,222,680,34,3413,1536,354,747,68,2703,1624,576,748,69,3009,1803,911,596,62,3373,963,958,443,39,2403,1208,1076,369,38,2679,2489,2561,529,65,5640,1785,2164,234,42,4225,1362,1845,163,32,3402,760,1112,65,7,1949,1753,2750,151,24,4670,1706,2920,599,42,5263,419,161,169,24,770,21650,17891,6938,620,47101
RA53,115,27,45,3,192,47,11,12,7,81,23,9,54,5,94,19,6,93,6,129,145,41,135,10,319,99,38,161,9,311,515,68,165,22,776,361,119,201,19,705,407,204,218,23,849,458,301,191,25,980,252,323,178,9,760,393,386,157,18,945,979,1014,268,28,2292,807,939,85,19,1847,789,1007,97,10,1911,499,690,36,10,1237,1404,2447,107,12,3970,803,1455,260,17,2538,150,99,94,11,353,8279,9185,2557,263,20280
RA54,64,17,23,3,105,20,16,20,0,58,24,20,152,8,208,20,17,157,5,198,204,160,196,35,593,63,121,172,24,376,317,225,198,41,779,172,191,180,38,584,184,195,185,28,592,240,187,136,17,580,133,138,109,10,385,189,194,93,20,497,436,459,133,11,1041,389,401,58,7,853,362,420,42,13,830,239,237,14,4,503,522,682,34,5,1253,389,692,212,22,1315,118,96,112,18,340,4094,4465,2226,312,11089
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
