RA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
RA50,39998,41946,23359,14856,19706,10519,6174,156563,12028,11263,6307,4134,5253,2172,1046,42209,12796,11985,6322,4078,4790,1903,991,42869,42599,40795,24647,16103,19235,7065,3293,153740,448,463,273,161,79,30,16,1465,107876,106454,60911,39337,49066,21692,11520,396848,2604,4608,3490,2629,3785,1914,1355,20397,2035,3020,2085,1493,1789,644,348,11407,1349,2279,1564,1214,1466,530,335,8729,7677,11478,7833,5794,6571,1815,1018,42181,497,548,330,173,125,42,21,1734,14164,21929,15307,11294,13736,4936,3076,84448,122036,128383,76217,50632,62803,26628,14593,481297
RA51,1262,1415,998,649,853,142,74,5395,892,1016,627,424,504,55,30,3550,1063,1203,659,409,493,68,19,3924,6371,7369,4532,3056,3438,411,147,25319,41,74,46,31,12,3,0,206,9632,11077,6861,4568,5296,682,276,38388,87,142,113,90,137,18,15,603,169,304,208,154,160,20,8,1014,134,227,172,134,177,15,0,857,1270,1934,1394,1047,1133,94,21,6897,62,75,39,41,19,0,0,242,1717,2684,1929,1471,1619,148,46,9611,11348,13763,8792,6037,6913,823,323,48002
RA52,1022,1157,697,477,557,76,40,4030,544,582,356,223,257,34,4,1992,803,763,414,295,286,26,4,2593,5482,5779,3398,2162,2261,187,31,19300,41,45,19,24,12,0,0,155,7898,8329,4890,3178,3381,316,80,28067,73,120,102,59,104,12,4,473,109,192,128,89,111,12,8,646,73,129,113,77,108,8,0,500,1081,1605,1142,834,821,67,15,5560,69,93,43,39,15,0,0,258,1404,2133,1521,1097,1157,99,28,7433,9300,10463,6409,4277,4535,415,102,35504
RA53,673,649,331,180,242,19,5,2101,354,333,151,87,68,3,0,994,564,546,254,115,106,4,0,1585,3272,3391,1877,1043,887,59,12,10540,31,33,3,11,4,0,0,81,4895,4947,2621,1431,1299,92,16,15305,35,41,25,23,44,5,0,169,39,66,32,27,33,7,0,206,38,64,39,37,35,8,0,213,475,692,455,328,309,18,3,2280,30,42,24,8,8,0,0,109,619,907,578,421,418,30,7,2980,5512,5854,3196,1854,1723,125,21,18282
RA54,291,259,134,70,67,0,0,828,170,128,57,29,33,4,0,427,258,191,84,37,26,5,0,590,1893,1872,1006,537,372,22,3,5714,20,21,17,10,4,0,0,72,2633,2475,1297,676,503,29,8,7627,8,14,21,14,15,0,0,70,10,21,14,3,10,0,0,65,7,25,9,8,4,0,0,51,632,810,496,279,218,19,3,2459,21,36,22,15,4,0,0,100,676,913,566,319,243,24,3,2746,3312,3394,1863,1000,751,52,15,10376
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
