RA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
RA50,..,192528,192528,233856,19227,253085,120863,5406,126272,125128,1803,126934,48455,575,49034,21655,265,21917,549956,219810,769764
RA51,..,20777,20777,29606,1741,31344,11570,288,11861,11759,102,11861,5164,17,5189,2368,25,2391,60471,22948,83418
RA52,..,19805,19805,23701,1461,25162,8710,242,8951,8170,55,8214,3813,19,3829,1889,16,1903,46275,21590,67865
RA53,..,7590,7590,8784,676,9461,3788,154,3936,4292,34,4323,2106,8,2111,944,8,951,19909,8465,28374
RA54,..,4489,4489,4261,346,4609,1962,76,2038,1963,32,1994,1096,17,1113,1051,14,1063,10330,4970,15302
RA55,..,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA59,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
