RA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
RA50,19042,17522,36567,63344,59451,122799,14453,14373,28822,12210,12094,24304,90150,86078,176234,41057,38193,79256,15114,14895,30007,15995,15629,31625,72247,68819,141071,4866,4572,9431,3919,6600,10519,6131,3575,9704,6935,11951,18883,96,89,186,21939,26781,48722,22332,28633,50970,8942,11815,20758,3731,4682,8416,8794,14481,23269,102,126,225,43901,59737,103641,65972,86643,152610,3139,3408,6546,5292,8207,13496,100,96,196,8529,11711,20243,56386,46191,102574,312331,316962,629290
RA51,1811,1753,3563,6664,5993,12657,1812,1760,3572,1458,1353,2810,9943,9116,19058,5090,4752,9837,1536,1614,3151,1394,1470,2866,8018,7847,15865,353,331,679,161,468,625,884,490,1378,586,1360,1944,14,7,28,2003,2649,4657,337,723,1059,185,582,763,100,223,321,402,1215,1620,0,3,11,1026,2755,3780,3036,5416,8445,237,264,504,386,702,1087,13,15,23,636,979,1613,11775,7117,18892,35216,32230,67446
RA52,1468,1404,2870,5214,4777,9999,1293,1304,2596,815,874,1687,7341,6967,14304,3885,3674,7565,1081,1202,2281,771,896,1663,5753,5782,11528,280,297,583,151,280,428,690,410,1101,555,1261,1822,11,4,19,1683,2259,3941,187,347,530,173,362,537,63,161,225,357,935,1291,7,7,10,792,1802,2593,2479,4067,6547,172,168,338,309,502,813,12,7,20,490,676,1168,9770,7972,17744,27304,26864,54167
RA53,777,743,1519,3372,3276,6648,547,484,1030,141,121,264,4063,3889,7953,1946,1843,3787,359,373,729,177,199,374,2484,2409,4901,86,86,173,59,77,134,229,174,407,304,670,974,12,8,12,692,1004,1698,59,154,209,57,192,249,20,66,88,205,497,703,0,4,6,344,908,1253,1039,1914,2951,64,71,135,131,250,375,3,3,3,197,320,519,6820,5498,12319,15380,14776,30157
RA54,458,432,887,1997,1787,3783,331,314,649,178,158,338,2517,2251,4766,926,906,1838,125,119,245,127,156,282,1183,1182,2367,60,37,92,38,47,83,78,65,146,175,269,443,0,0,6,344,417,763,21,61,83,41,71,114,13,39,50,143,283,424,0,0,0,220,454,673,567,877,1441,42,30,77,63,108,178,3,5,5,108,146,253,7545,4418,11957,12375,9308,21683
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,9,0,8,13,0,17,0,0,0,0,0,3,0,0,0,0,0,3,193,20,219,209,28,237
RA59,22,18,41,94,92,181,13,7,22,23,17,35,121,114,243,39,47,83,4,3,6,9,4,19,51,55,109,13,11,16,9,18,33,11,6,15,7,25,34,0,0,0,44,59,99,14,25,42,13,17,31,0,3,9,15,25,46,3,0,3,52,68,122,96,130,224,16,16,32,7,16,23,0,0,4,23,34,55,2227,1260,3489,2535,1623,4160
