RA_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
RA50,202,57,604,347,901,112,2221,4813,1043,11147,4640,19591,994,42226,1710,394,5170,3709,15703,759,27445,727,186,1695,815,2577,134,6134,1822,455,7237,6395,36081,1527,53522,911,179,2733,1636,5770,321,11548,1568,308,5612,3100,8520,729,19840,848,151,3793,3536,6333,608,15279,1815,429,5140,4598,8753,926,21665,436,117,1548,805,1176,109,4191,1373,584,4450,2086,1159,231,9884,419,136,1830,1189,1827,178,5578,8160,1762,20939,5347,4891,941,42038,791,209,2497,1615,4076,367,9559,3034,1454,7556,5235,7903,704,25887,5226,2379,8251,1781,2680,375,20687,5224,1362,11353,3252,4474,726,26397,485,153,1864,969,1875,190,5542,777,219,2055,1679,9946,384,15059,1807,312,4586,2483,8435,2210,19841,42146,11894,110073,55216,152666,12526,384521,122,47,483,255,388,90,1394,1712,607,4734,1627,2748,280,11708,754,288,2854,1782,2725,383,8798,380,137,968,398,592,61,2535,641,316,3069,2120,3289,391,9818,395,174,1664,962,1583,211,4997,1636,474,7194,4788,10121,1148,25362,931,250,4945,3521
RA51,48,22,296,260,831,111,1561,108,59,461,586,3981,136,5333,104,55,583,444,2713,127,4018,25,11,86,127,782,29,1059,45,26,316,570,5047,202,6201,11,13,77,96,554,19,770,29,13,220,207,1062,60,1586,41,10,205,227,761,64,1314,30,20,121,204,1016,76,1461,5,3,47,36,101,9,202,25,18,100,113,61,5,323,10,4,66,97,191,17,380,150,56,604,277,404,45,1538,8,6,112,88,543,41,796,110,74,426,443,985,51,2085,160,221,634,161,319,19,1507,249,74,640,231,480,43,1717,8,9,52,50,158,7,293,46,16,96,84,1266,33,1531,37,6,150,167,964,201,1526,1242,713,5284,4453,22223,1300,35208,30,33,260,178,382,79,955,38,23,193,165,462,46,922,45,48,392,249,599,54,1386,13,5,51,39,122,7,238,27,22,173,228,541,49,1037,4,10,66,79,198,23,372,54,37,431,471,1625,151,2772,40,36,418,394
RA52,70,22,594,463,1878,222,3249,170,40,462,335,3004,117,4132,35,11,178,144,1148,89,1595,7,0,25,51,400,11,498,13,11,127,304,2944,86,3485,9,3,91,88,678,22,898,25,7,127,132,884,50,1227,24,13,111,142,529,47,860,24,6,123,203,1038,59,1452,9,3,34,18,59,7,136,14,11,50,60,60,10,194,4,0,30,52,174,12,272,107,31,393,174,280,29,1013,11,3,38,73,314,22,459,98,72,331,420,887,67,1869,168,164,539,140,288,22,1327,206,64,522,205,399,58,1451,6,0,34,27,88,11,167,31,14,75,83,1191,29,1422,22,8,72,77,641,172,988,1038,494,3956,3186,16885,1137,26691,40,61,529,339,536,120,1633,68,23,212,148,384,40,864,18,12,103,105,267,46,554,7,3,18,26,45,5,97,11,3,81,141,301,21,550,3,14,64,45,209,11,342,36,28,250,294,1110,119,1845,32,24,270,246
RA53,24,8,303,193,940,84,1559,77,35,266,311,2503,81,3274,20,7,67,48,431,21,591,15,5,30,35,209,9,300,15,4,77,142,1468,76,1787,4,0,36,47,348,15,463,22,10,73,54,283,29,464,32,7,95,109,296,32,568,30,17,158,198,753,46,1197,0,0,18,16,29,0,64,3,4,20,12,15,0,53,4,3,22,21,95,5,156,25,14,126,57,105,7,335,8,5,38,41,210,14,312,48,39,201,224,380,36,933,66,79,229,64,135,19,594,83,21,182,71,157,18,545,9,0,18,16,29,4,71,15,5,41,37,519,24,642,25,8,71,61,431,112,699,506,273,2071,1766,9341,635,14599,18,38,323,171,263,59,869,33,24,188,156,415,28,844,4,0,44,34,73,15,166,6,3,26,20,45,0,98,5,4,47,68,150,19,293,0,0,37,21,98,12,171,35,9,170,132,362,58,764,23,8,218,161
RA54,9,3,94,87,343,50,589,111,39,400,344,2548,122,3557,3,5,25,18,105,4,150,5,0,11,12,99,5,133,20,4,65,74,792,40,999,3,0,15,11,115,5,149,7,0,42,29,155,28,256,13,4,94,78,280,23,485,14,9,48,71,216,13,377,0,0,3,6,18,0,29,6,0,0,0,4,0,10,5,0,15,18,45,6,81,23,3,52,37,117,7,238,9,3,34,29,164,6,251,43,18,115,138,273,28,611,43,48,178,26,122,8,426,37,10,121,36,116,13,336,0,0,22,9,50,8,84,14,0,23,22,236,7,305,3,0,34,23,193,87,342,361,151,1385,1062,6004,451,9416,21,15,115,72,133,18,377,42,17,162,130,343,28,722,3,0,13,11,32,6,66,0,0,3,4,11,3,24,3,5,25,34,64,4,132,0,0,8,5,15,4,39,17,6,95,72,147,26,367,28,5,176,93
RA55,0,0,5,0,12,5,23,4,0,8,9,30,3,54,0,0,0,0,3,0,4,0,0,0,0,4,0,9,0,0,0,0,19,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,15,4,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,4,22,5,3,33,18,106,13,179,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,7,7,15,0,35,3,0,13,9,68,8,104,0,0,3,6,17,0,27,0,0,0,0,3,0,3,0,0,8,3,70,0,80,0,0,0,0,0,0,6,4,0,6,4,11,0,23,4,0,15,15,26,0,62,0,0,3,8,20,0,37,0,0,0,0,0,0,3,0,0,0,0,3,0,9,0,0,0,0,0,0,0,3,3,25,5,8,0,40,0,0,5,0,14,0,23,5,0,7,5,9,0,25,5,0,3,5,4,0,18,0,4,7,4,6,0,32,0,0,9,0,3,0,7,0,0,5,0,21,0,27,4,0,0,0,14,8,32,34,12,123,81,324,19,595,5,0,16,7,5,0,32,0,0,3,6,9,0,29,0,0,8,5,6,0,14,0,0,3,0,0,0,5,0,0,0,0,5,0,13,0,0,0,0,0,0,7,4,0,9,7,11,0,32,10,0,24,16
