GCCSA_PEP_CODE_2021,Intact_fam_no_oth_ch_pres_Fam,Step_fam_no_oth_ch_pres_Fam,Blend_fam_no_oth_ch_pres_Fam,Intact_fam_oth_ch_pres_Fam,Step_fam_oth_ch_pres_Fam,Blended_fam_oth_ch_pres_Fam,Oth_coup_fam_oth_ch_only_Fam,Tot_Families
5GPER,213976,33794,9082,2119,419,127,1202,260717
5RWAU,40956,7987,2603,632,168,62,547,52952
59799,0,0,0,0,0,0,0,0
