GCCSA_PEP_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
5GPER,70,14,16,18,62976,63093,1317,82,43,30,64304,65776,41238,1977,1998,118,96762,142092,87448,5326,7567,213,44138,144688,81835,6468,13342,727,26520,128889,72779,5031,16291,1672,15533,111304,61263,3365,12981,3464,6382,87449,33740,1351,5214,4761,2010,47087,9232,273,978,4775,487,15749,1273,82,183,72,980,2590,390184,23969,58613,15856,320087,808711,72,21,10,19,60152,60270,2941,212,82,34,61135,64401,59213,3738,3548,206,85438,152136,96575,7413,11326,856,37686,153858,84938,7904,19775,2234,22266,137117,73136,5874,23652,5788,11829,120283,56115,3377,18875,13209,4970,96546,24928,1058,7853,18807,1702,54350,4834,178,1791,17594,628,25027,1057,63,179,384,748,2431,403812,29834,87092,59125,286544,866413,139,32,27,39,123128,123358,4254,300,130,59,125438,130185,100452,5717,5545,319,182199,294228,184031,12741,18892,1070,81824,298545,166774,14374,33116,2962,48785,266007,145913,10907,39942,7463,27361,231578,117376,6743,31858,16674,11343,183993,58670,2407,13073,23569,3717,101432,14059,448,2771,22370,1118,40773,2330,146,361,460,1727,5020,793993,53809,145701,74986,606632,1675126
5RWAU,55,6,10,12,15429,15511,519,38,10,17,14574,15160,11199,632,637,48,29478,41996,23870,1883,2522,95,16039,44414,25734,2566,5143,288,11541,45271,27223,2323,6981,818,6955,44303,23242,1464,5457,1533,2562,34267,10548,477,1746,1656,667,15090,2231,67,254,1199,142,3896,436,30,64,13,609,1156,125049,9504,22824,5681,97996,261059,75,4,3,0,14164,14250,701,62,18,11,12377,13177,12026,854,788,91,22497,36252,20591,1916,2555,272,11789,37134,21063,2289,5231,710,8210,37497,23911,1935,7171,1841,4491,39352,20114,1044,5071,3874,1438,31540,7464,255,1717,4948,379,14763,1104,45,337,3829,117,5424,175,20,38,49,480,753,107229,8425,22920,15629,75943,230139,128,16,12,13,29598,29767,1218,107,26,33,26953,28335,23220,1488,1429,142,51971,78245,44462,3806,5079,368,27827,81548,46798,4855,10372,997,19750,82774,51137,4260,14151,2663,11448,83651,43363,2508,10525,5409,3997,65803,18012,731,3457,6602,1049,29846,3333,107,592,5024,256,9315,607,52,99,63,1090,1906,232278,17932,45740,21305,173939,491193
59799,0,0,0,0,13,13,0,0,0,0,81,81,116,6,0,0,301,430,528,48,48,3,285,908,565,42,76,3,153,842,314,24,65,3,37,449,91,6,12,4,0,117,8,0,0,0,0,15,0,0,0,0,0,0,95,4,12,0,33,143,1728,131,216,13,908,3002,0,0,0,0,8,8,3,0,0,0,33,36,9,0,0,0,68,89,15,4,5,0,30,49,15,5,11,0,18,60,45,7,19,0,9,77,48,0,6,4,0,61,14,0,0,0,0,17,0,0,0,0,0,0,9,0,3,4,5,16,163,19,40,13,173,405,0,0,0,0,20,20,3,0,0,0,115,116,128,8,3,0,370,518,546,44,48,3,311,957,575,49,87,5,173,896,360,32,84,3,50,533,139,9,18,7,0,176,23,0,0,4,0,32,0,0,0,0,0,0,104,4,16,4,39,164,1892,147,262,29,1085,3410
