GCCSA_PEP_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
5GPER,5251,7681,12931,2099,2729,4824,2423,7149,9577,2781,13847,16627,7956,31118,39075,9514,20667,30180,26189,13758,39945,24497,17105,41603,30032,20006,50035,34623,16965,51586,27742,14928,42665,29699,11696,41385,67269,20783,88050,53325,2695,56021,46930,5640,52569,30768,1197,31967,96960,8431,105387,53954,5580,59534,5003,7431,12437,557005,229393,786404
5RWAU,1222,2143,3371,603,896,1496,719,2456,3178,802,4236,5040,2624,9761,12388,2709,5887,8597,8288,4836,13124,6755,5648,12401,7819,6318,14136,8636,5134,13765,6249,4261,10508,7020,3792,10812,15203,6920,22126,11798,1211,13010,10098,2284,12376,6077,650,6729,15718,3745,19461,15622,1192,16821,1974,4853,6836,129939,76236,206167
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,13,13
