GCCSA_PEP_CODE_2021,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
5GPER,12756,12128,24884,13045,12385,25436,13266,12554,25823,13533,12748,26284,13991,13042,27034,66604,62861,129457,14318,13383,27698,14000,13101,27105,13791,13317,27111,13990,13350,27337,13716,13314,27032,69818,66468,136284,13901,13341,27238,13910,13149,27057,13922,12847,26764,14005,13341,27344,13968,13029,26997,69702,65703,135405,13324,12611,25935,12763,12007,24770,12603,11768,24372,12124,11966,24092,12273,11917,24192,63093,60270,123358,13014,12503,25519,13163,12968,26133,13336,12919,26253,13095,12850,25948,13165,13163,26336,65776,64401,130185,13498,13357,26861,13896,13910,27805,13737,14242,27979,13449,14599,28046,13842,14795,28641,68427,70898,139327,14216,15719,29939,14723,15941,30666,14604,16407,31009,14964,16490,31459,15154,16674,31825,73665,81235,154901,15385,16736,32115,15559,16704,32258,15366,16560,31925,15412,16365,31775,14959,15662,30622,76675,82025,158701,14640,15453,30094,13917,14598,28513,13404,14349,27754,13189,13767,26959,12863,13668,26532,68014,71835,139850,12970,13616,26590,12699,13747,26451,12767,13627,26393,12969,13871,26841,13671,14516,28185,65086,69376,134460,13824,14779,28604,12998,13724,26722,12873,13677,26552,12220,12914,25142,11893,12644,24537,63806,67745,131548,11714,12514
5RWAU,3081,2875,5951,3295,3114,6401,3391,3091,6484,3420,3242,6673,3500,3370,6870,16685,15685,32377,3722,3498,7219,3757,3523,7278,3827,3615,7445,3840,3580,7420,3873,3609,7480,19020,17826,36845,3886,3532,7418,3845,3724,7571,3627,3474,7100,3665,3475,7130,3630,3499,7130,18652,17699,36348,3432,3367,6793,3321,3028,6347,3214,2954,6164,2855,2526,5386,2695,2377,5074,15511,14250,29767,2697,2240,4942,2813,2410,5222,3034,2672,5703,3204,2822,6025,3415,3026,6446,15160,13177,28335,3748,3140,6885,3895,3384,7280,3975,3522,7502,3962,3551,7516,4146,3463,7611,19734,17061,36798,4437,3793,8229,4332,3891,8226,4511,3855,8368,4474,3788,8261,4509,3860,8374,22263,19187,41448,4742,3968,8708,4485,3940,8425,4613,3854,8466,4618,3881,8491,4519,3822,8343,22971,19467,42441,4557,3747,8299,4262,3586,7842,4274,3595,7870,4194,3384,7576,4160,3356,7515,21438,17665,39102,4224,3455,7676,4255,3615,7863,4294,3603,7896,4622,3576,8198,4740,3983,8723,22127,18230,40357,5016,4115,9133,4601,3807,8410,4622,3897,8518,4501,3841,8342,4408,3609,8014,23144,19266,42411,4455,3752
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,0,4,0,0,0,4,3,8,6,4,12,13,8,20,0,5,8,20,4,21,21,14,34,28,4,36,14,6,23,81,36,116,27,8,35,26,4,29,24,7,33,34,9,45,39,15,48,152,43,196,35,11,44,57,11,71,56,10,65,62,9,65,63,5,74,283,40,327,86,11,90,75,10,82,94,8,109,108,0,108,78,3,85,441,29,470,105,5,107,90,4,97,108,0,111,98,3,96,66,9,74,465,24,483,90,3,90,83,4,88,86,5,95,80,3,83,83,6,89,418,23,440,100,8,110,86,6,96,85,3,89,68,6,79,74,13,85,418,36,453,79,0
