GCCSA_PEP_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Tot_M,Tot_F,Tot_P
5GPER,24233,11633,12501,24134,11877,12648,24523,11880,12637,24517,11520,12270,23797,58624,62569,121199,11289,12149,23437,10845,11935,22775,10482,11563,22044,10206,11159,21366,9857,10910,20760,52674,57704,110383,10076,10939,21010,9410,10656,20066,9014,10300,19320,8980,9963,18946,8748,9656,18400,46230,51513,97741,8631,9333,17963,8272,9089,17359,7942,8969,16913,8014,8607,16627,8362,9027,17390,41221,45028,86250,6496,6964,13462,6051,6616,12668,5827,6412,12241,4990,5668,10659,5020,5583,10604,28388,31244,59631,18697,23106,41802,10270,14638,24908,4373,7716,12085,1020,2318,3339,85,352,439,2777,2614,5399,1015022,1061633,2076653
5RWAU,8207,4411,3813,8227,4494,3924,8418,4653,4006,8657,4520,4128,8647,22538,19624,42157,4687,4136,8821,4400,3923,8325,4315,4060,8376,4137,3890,8028,4230,3721,7945,21766,19731,41495,4095,3799,7893,3791,3595,7386,3667,3405,7070,3499,3424,6920,3420,3268,6691,18479,17489,35963,3414,3064,6475,3266,2904,6173,3138,2753,5896,2972,2606,5573,3003,2724,5725,15788,14052,29840,2186,2115,4295,2132,1928,4059,1957,1839,3796,1598,1587,3186,1636,1577,3215,9505,9050,18558,5583,5708,11295,2630,3349,5978,1021,1567,2593,222,444,668,18,67,83,1198,785,1988,315466,281377,596836
59799,84,65,8,76,56,10,68,54,9,65,43,13,53,305,43,341,39,8,44,40,7,43,33,7,38,23,9,33,17,5,27,150,40,188,22,9,30,19,8,29,16,6,18,12,3,13,12,0,16,77,28,109,5,12,15,8,3,19,7,9,13,11,0,6,11,6,13,40,31,68,9,4,9,0,9,8,0,0,5,3,0,3,0,5,5,8,17,30,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,143,16,164,3003,413,3413
