GCCSA_PEP_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
5GPER,9,5,52,406,2089,1779,9045,10227,1732,1247,1175,1484,529,158,496,30434,202,88,170,364,2220,652,563,505,63,61,67,54,29,10,101,5150,69,138,437,1453,2357,2304,4555,1772,349,381,375,413,310,52,253,15223,19,84,416,1579,3512,5016,16111,6726,892,724,850,948,507,275,440,38097,46,73,178,375,831,819,2353,1987,258,252,286,674,299,24,115,8571,0,0,3,22,244,357,668,1165,150,151,210,290,55,15,74,3393,4,4,35,192,735,820,2735,1752,429,346,360,376,198,65,241,8302,2170,6445,35438,27949,29245,18993,44209,22722,2139,1734,1727,1852,1079,404,4089,200193,29,84,453,782,975,1073,1982,1390,287,274,307,406,324,139,226,8717,5,0,26,1631,4635,2739,2822,2138,509,517,435,586,306,76,684,17111,848,1387,6693,7414,11148,14117,32087,18105,4005,3767,4214,5503,2317,538,2279,114413,6386,20017,59136,58858,89800,78143,195021,126847,20245,18284,20356,25317,11771,3400,15432,749010
5RWAU,0,3,5,76,342,335,1970,2264,454,331,399,486,177,50,167,7053,38,24,26,34,180,37,47,39,11,9,9,3,3,0,13,468,7,15,63,112,122,94,184,55,10,9,16,22,4,0,14,735,5,26,108,244,489,710,2988,1199,111,162,153,241,138,58,101,6733,7,14,21,17,36,41,154,118,25,25,29,50,15,9,29,596,0,0,0,5,5,8,77,186,23,23,96,142,43,0,9,617,0,0,3,34,78,154,503,377,120,88,93,114,54,16,65,1695,691,2033,9241,6126,4587,2708,5188,2414,241,186,250,400,168,44,1317,35589,6,22,132,269,196,187,320,224,33,41,52,87,41,19,28,1648,0,0,3,44,148,114,158,193,42,40,36,46,34,10,83,955,159,306,1084,933,1255,1085,3344,1934,376,408,508,898,442,358,588,13690,1617,4542,12829,11034,12243,9453,23544,15358,2315,2213,2692,3938,1716,869,4029,108388
59799,0,0,0,0,0,7,14,10,0,7,3,0,0,0,14,60,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,9,0,0,0,0,0,5,0,0,22,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,7,0,0,24,33,37,32,66,36,5,4,7,5,0,0,3,255,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,11,8,16,15,27,12,4,0,0,0,3,0,0,94,0,4,37,59,82,108,208,115,17,6,18,14,10,3,28,717
