GCCSA_PEP_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
5GPER,28998,94318,77703,379137,4505,584658,586,2835,1774,33057,733,38995,101584,2268,4295,2999,524,111666,9440,2683,1446,7693,149,21419,21063,5791,3944,10583,197,41579,298330,84419,67657,313564,5715,769695,34265,542,2699,597,132,38239,9665,1116,958,2506,71,14315,23895,5279,4423,24898,375,58870,5973,2034,1067,5256,78,14404,3084,562,364,860,34,4896,67024,2307,1616,1753,192,72894,69436,15412,11325,85433,1047,182644,45955,15070,7379,46099,643,115154,7497,119,412,119,16,8164,1909,437,245,520,9,3119,6376,1104,696,2295,60,10535,1993,700,382,1388,25,4491,18405,2585,1686,806,185,23676,13093,5135,3066,1487,116,22898,11833,1894,1577,4214,104,19620,4451,367,615,757,42,6232,2268,318,106,60,19,2774,70196,17597,13638,77433,972,179837,6414,571,357,645,39,8027,23636,2259,1962,594,100,28555,7679,642,562,1775,56,10719,5467,478,309,365,31,6654,20602,517,947,416,73,22546,11702,2049,1445,4233,70,19503,249785,19497,19465,21049,1980,311781,12275,1025,857,5393,81926,101481,970903,167006,132874,703936,96537,2071253
5RWAU,4436,22701,19680,158514,2290,207618,135,1564,752,38893,861,42198,3944,191,299,718,46,5194,862,357,195,1222,31,2666,5398,1680,1043,3199,87,11401,58443,21822,18173,132664,2696,233799,7417,98,752,205,57,8531,1800,200,207,802,19,3027,5863,1511,1400,11079,180,20034,570,256,120,824,11,1782,450,123,64,188,6,831,3658,228,169,320,20,4403,11826,3757,2856,32699,457,51590,6023,2597,1189,12245,182,22239,475,9,63,14,5,555,176,34,22,72,6,310,366,93,56,274,5,789,312,166,78,288,3,842,5574,764,614,295,112,7363,3575,1466,930,505,61,6534,1936,442,337,1265,29,4008,572,56,101,233,12,973,462,48,25,21,8,562,13976,4593,3778,30689,413,53448,363,61,37,87,0,549,3854,390,352,152,14,4758,1146,114,96,530,13,1900,341,44,50,40,3,478,982,33,75,24,12,1126,2071,497,346,1412,16,4337,23963,3345,3340,6996,439,38085,1443,312,264,2903,69768,74683,135210,40406,32905,310260,76068,594855
59799,20,58,69,409,3,557,0,0,0,41,0,45,21,0,6,0,0,25,3,0,0,11,0,14,27,11,4,13,0,54,334,60,75,381,3,853,47,0,0,0,0,46,8,0,0,0,0,11,24,11,0,56,0,97,0,3,0,5,0,10,3,0,0,0,0,5,17,0,0,0,0,17,97,8,6,142,0,259,32,12,6,36,0,73,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,5,31,0,0,0,0,36,18,0,4,0,0,29,9,0,0,0,0,14,12,0,0,0,0,12,5,0,0,0,0,5,132,15,11,106,0,266,3,0,0,0,0,0,9,0,0,0,0,6,6,0,0,0,0,6,5,0,0,0,0,5,5,0,0,0,0,5,7,3,0,7,0,16,139,9,6,16,0,176,17,0,0,7,1357,1376,803,107,119,850,1369,3250
