GCCSA_PEP_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
5GPER,27555,19030,22156,20998,18815,14708,10689,7267,4701,145915,401152,253546,294228,298545,266007,231578,183993,101432,40773,2071253
5RWAU,13304,8815,14654,14321,14116,12274,7473,3374,1152,89478,105569,58094,78245,81548,82774,83651,65803,29846,9315,594855
59799,0,51,220,435,397,221,57,6,0,1396,3,137,518,957,896,533,176,32,0,3250
