GCCSA_PEP_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
5GPER,123091,245654,149680,126282,130649,83586,69235,89615,17284,1035077
5RWAU,37837,41725,50097,28022,27087,18074,31819,33340,4925,272925
59799,96,324,627,58,45,6,172,344,23,1697
