,Group,Count,Date,#,Prior month,Prior year,Prior year end,Note Monthly,Note Annual,Note Rolling average,Note prior year end,Note annual
0,Total,Applications,30 Sep 2023,19114,130.0,139.0,128.0,"Prior month data not available for total_applications - change calculated based on last figure, from 2.0 months ago.",,,,"Approximate prior year comparison only for total_applications data not available for same month prior year, nearby data point used as proxy (from nan months ago)."
1,Total,Individuals,30 Sep 2023,34117.0,174.0,582.0,339.0,"Prior month data not available for total_individuals - change calculated based on last figure, from 2.0 months ago.",,,,"Approximate prior year comparison only for total_individuals data not available for same month prior year, nearby data point used as proxy (from nan months ago)."
2,Priority,Applications,30 Sep 2023,4875,107.0,618.0,424.0,"Prior month data not available for priority_applications - change calculated based on last figure, from 2.0 months ago.",,,,"Approximate prior year comparison only for priority_applications data not available for same month prior year, nearby data point used as proxy (from nan months ago)."
3,Priority,Individuals,30 Sep 2023,9568.0,121.0,883.0,599.0,"Prior month data not available for priority_individuals - change calculated based on last figure, from 2.0 months ago.",,,,"Approximate prior year comparison only for priority_individuals data not available for same month prior year, nearby data point used as proxy (from nan months ago)."
