Date,Region,Population
31-03-2012,WA,2408108
30-06-2012,WA,2425507
31-12-2012,WA,2442876
31-12-2012,WA,2457489
31-03-2013,WA,2475242
30-06-2013,WA,2486944
31-12-2013,WA,2496285
31-12-2013,WA,2502188
31-03-2014,WA,2512556
30-06-2014,WA,2517608
31-12-2014,WA,2524042
31-12-2014,WA,2528619
31-03-2015,WA,2536604
30-06-2015,WA,2540672
31-12-2015,WA,2545509
31-12-2015,WA,2547745
31-03-2016,WA,2554506
30-06-2016,WA,2555978
31-12-2016,WA,2564492
31-12-2016,WA,2569606
31-03-2017,WA,2579276
30-06-2017,WA,2585720
31-12-2017,WA,2594138
31-12-2017,WA,2599928
31-03-2018,WA,2610320
30-06-2018,WA,2617792
31-12-2018,WA,2628121
31-12-2018,WA,2636404
31-03-2019,WA,2649641
30-06-2019,WA,2659625
31-12-2019,WA,2674246
31-12-2019,WA,2688799
31-03-2020,WA,2706350
30-06-2020,WA,2712912
31-12-2020,WA,2720001
31-12-2020,WA,2728187
31-03-2021,WA,2739105
30-06-2021,WA,2749365
31-12-2021,WA,2753214
31-12-2021,WA,2763015
31-03-2022,WA,2777252
30-06-2022,WA,2791432
31-12-2022,WA,2810391
31-12-2022,WA,2829589
31-03-2023,WA,2855594
31-03-2012,ACT,374853
30-06-2012,ACT,376539
31-12-2012,ACT,378586
31-12-2012,ACT,379812
31-03-2013,ACT,382082
30-06-2013,ACT,383257
31-12-2013,ACT,384690
31-12-2013,ACT,386318
31-03-2014,ACT,388190
30-06-2014,ACT,388799
31-12-2014,ACT,390654
31-12-2014,ACT,391981
31-03-2015,ACT,394491
30-06-2015,ACT,395813
31-12-2015,ACT,397540
31-12-2015,ACT,398874
31-03-2016,ACT,401673
30-06-2016,ACT,403104
31-12-2016,ACT,406040
31-12-2016,ACT,408878
31-03-2017,ACT,413017
30-06-2017,ACT,415046
31-12-2017,ACT,417964
31-12-2017,ACT,420226
31-03-2018,ACT,423810
30-06-2018,ACT,426081
31-12-2018,ACT,428417
31-12-2018,ACT,430758
31-03-2019,ACT,433801
30-06-2019,ACT,435730
31-12-2019,ACT,438633
31-12-2019,ACT,440267
31-03-2020,ACT,443035
30-06-2020,ACT,444903
31-12-2020,ACT,445749
31-12-2020,ACT,447650
31-03-2021,ACT,449573
30-06-2021,ACT,452508
31-12-2021,ACT,451828
31-12-2021,ACT,452670
31-03-2022,ACT,455657
30-06-2022,ACT,456889
31-12-2022,ACT,459637
31-12-2022,ACT,461042
31-03-2023,ACT,464601
31-03-2012,NT,234275
30-06-2012,NT,235915
31-12-2012,NT,237517
31-12-2012,NT,238728
31-03-2013,NT,240107
30-06-2013,NT,241722
31-12-2013,NT,242301
31-12-2013,NT,242304
31-03-2014,NT,242790
30-06-2014,NT,242894
31-12-2014,NT,243201
31-12-2014,NT,242753
31-03-2015,NT,243059
30-06-2015,NT,244692
31-12-2015,NT,244570
31-12-2015,NT,244090
31-03-2016,NT,244627
30-06-2016,NT,245678
31-12-2016,NT,246443
31-12-2016,NT,246065
31-03-2017,NT,246231
30-06-2017,NT,247412
31-12-2017,NT,247514
31-12-2017,NT,246862
31-03-2018,NT,246674
30-06-2018,NT,247095
31-12-2018,NT,247006
31-12-2018,NT,245920
31-03-2019,NT,246016
30-06-2019,NT,246559
31-12-2019,NT,246677
31-12-2019,NT,246213
31-03-2020,NT,246969
30-06-2020,NT,247428
31-12-2020,NT,247755
31-12-2020,NT,247819
31-03-2021,NT,248185
30-06-2021,NT,248151
31-12-2021,NT,248387
31-12-2021,NT,248125
31-03-2022,NT,249525
30-06-2022,NT,250233
31-12-2022,NT,250672
31-12-2022,NT,250540
